Estado,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Aguascalientes," 8,375.72 "," 5,001.09 "," 3,656.12 "," 189,257.70 "," 48,560.78 "," 67,630.12 "," 46,882.84 "
Baja California," 20,905.84 "," 10,990.99 "," 2,606.43 "," 228,516.00 "," 69,845.55 "," 100,429.92 "," 7,986.25 "
Baja California Sur," 8,487.02 "," 3,401.19 "," 37,936.12 "," 106,718.98 "," 57,553.93 "," 29,659.07 "," 2,014.68 "
Campeche," 16,806.32 "," 12,566.86 "," 107,399.38 "," 133,836.63 "," 38,008.52 "," 77,027.83 "," 7,998.91 "
Chiapas," 36,237.16 "," 28,659.82 "," 12,882.50 "," 372,122.28 "," 166,950.94 "," 1,329,961.93 "," 48,584.72 "
Chihuahua," 46,675.90 "," 31,403.16 "," 17,005.74 "," 512,225.95 "," 114,775.95 "," 170,982.59 "," 26,447.75 "
Ciudad de México," 8,677.79 "," 3,837.75 "," 1,261.13 "," 356,439.43 "," 75,534.57 "," 192,138.04 "," 15,154.09 "
Coahuila de Zaragoza," 37,864.90 "," 25,425.02 "," 211,651.63 "," 272,594.70 "," 124,349.32 "," 112,278.26 "," 16,030.82 "
Colima," 13,843.65 "," 10,073.97 "," 47,039.18 "," 92,434.94 "," 28,789.86 "," 107,185.42 "," 4,508.54 "
Durango," 18,537.98 "," 12,784.81 "," 22,922.16 "," 175,127.93 "," 50,645.55 "," 80,868.82 "," 43,723.99 "
Guanajuato," 37,366.48 "," 23,223.27 "," 17,971.68 "," 422,632.37 "," 152,642.75 "," 374,395.61 "," 35,699.30 "
Guerrero," 30,808.42 "," 25,038.80 "," 79,849.49 "," 408,744.52 "," 130,569.58 "," 674,737.61 "," 22,563.78 "
Hidalgo," 50,885.33 "," 29,115.41 "," 203,400.03 "," 380,103.19 "," 180,229.80 "," 216,698.31 "," 24,086.89 "
Jalisco," 66,306.75 "," 43,603.57 "," 14,576.43 "," 719,505.05 "," 194,518.88 "," 764,664.86 "," 95,375.03 "
México," 45,902.88 "," 32,197.50 "," 3,775.50 "," 1,059,073.68 "," 409,736.64 "," 614,166.55 "," 47,191.19 "
Michoacán de Ocampo," 39,481.59 "," 27,349.68 "," 12,796.08 "," 611,576.84 "," 167,916.52 "," 569,256.30 "," 24,759.47 "
Morelos," 12,093.63 "," 8,919.98 "," 1,231.24 "," 172,726.98 "," 99,570.80 "," 188,388.32 "," 9,968.49 "
Nayarit," 11,918.14 "," 9,080.69 ", 694.12 ," 145,206.44 "," 28,031.49 "," 133,006.32 "," 9,411.91 "
Nuevo León," 26,352.05 "," 12,351.31 "," 12,746.73 "," 374,314.46 "," 141,928.62 "," 200,062.90 "," 20,295.27 "
Oaxaca," 31,849.88 "," 24,452.97 "," 98,429.83 "," 288,183.92 "," 187,832.19 "," 1,840,024.49 "," 26,741.39 "
Puebla," 35,237.92 "," 26,494.54 "," 8,534.54 "," 404,353.85 "," 257,943.35 "," 655,676.17 "," 55,462.58 "
Querétaro," 17,071.44 "," 12,343.77 "," 5,152.02 "," 287,752.06 "," 163,883.97 "," 142,642.94 "," 42,410.35 "
Quintana Roo," 19,176.05 "," 9,772.01 ", 983.73 ," 199,698.15 "," 32,785.21 "," 148,151.65 "," 4,460.54 "
San Luis Potosí," 31,502.31 "," 21,220.40 "," 46,937.79 "," 267,349.14 "," 88,651.67 "," 201,334.29 "," 24,619.46 "
Sinaloa," 31,084.49 "," 16,748.85 "," 51,039.54 "," 288,060.54 "," 63,376.43 "," 441,739.42 "," 31,948.99 "
Sonora," 54,255.93 "," 30,501.75 "," 20,005.10 "," 315,806.52 "," 92,021.28 "," 177,808.14 "," 28,767.38 "
Tabasco," 19,358.21 "," 13,265.66 "," 109,149.25 "," 202,088.61 "," 108,490.27 "," 286,517.43 "," 10,138.22 "
Tamaulipas," 38,581.16 "," 22,708.89 "," 27,640.06 "," 315,806.58 "," 98,942.37 "," 182,444.71 "," 14,626.58 "
Tlaxcala," 6,627.91 "," 4,377.06 ", 835.60 ," 99,838.34 "," 65,980.46 "," 85,871.94 "," 6,063.45 "
Veracruz de Ignacio de la Llave," 84,230.48 "," 58,670.43 "," 114,651.14 "," 542,316.01 "," 282,538.44 "," 1,017,285.34 "," 74,832.04 "
Yucatán," 10,485.27 "," 8,334.63 "," 8,214.96 "," 201,092.00 "," 79,979.57 "," 472,180.52 "," 27,716.42 "
Zacatecas," 16,175.17 "," 7,604.45 ", 476.58 ," 124,224.45 "," 47,322.72 "," 148,436.69 "," 14,420.07 "
," 933,163.8 "," 611,520.3 "," 1,303,451.8 "," 10,269,728.2 "," 3,849,908.0 "," 11,803,652.5 "," 870,891.4 "
,,,,,,,
 Notas: ,,,,,,,
 Cantidades en toneladas anuales. ,,,,,,,
" Si se muestran espacios vacíos en la posición de cifras, representan valores no reportados o nulos. ",,,,,,,
" Los resultados incluyen las emisiones de fuentes fijas, fuentes de área, fuentes móviles y fuentes naturales. ",,,,,,,
 Datos definitivos Inventario Nacional de Emisiones de México de Contaminantes Criterio año base 2018. ,,,,,,,
