-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  21.88   longitude -102.29 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2082.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,5.2752
2011,1,2,3.1435
2011,1,3,4.5055
2011,1,4,5.191
2011,1,5,4.9363
2011,1,6,5.1449
2011,1,7,4.6956
2011,1,8,5.0981
2011,1,9,5.539
2011,1,10,5.5733
2011,1,11,4.7858
2011,1,12,5.0258
2011,1,13,5.136
2011,1,14,5.4209
2011,1,15,5.417
2011,1,16,5.7566
2011,1,17,5.8085
2011,1,18,5.7403
2011,1,19,5.7245
2011,1,20,5.2644
2011,1,21,5.694
2011,1,22,5.8462
2011,1,23,5.9294
2011,1,24,5.8142
2011,1,25,5.7838
2011,1,26,5.5351
2011,1,27,4.9608
2011,1,28,5.3587
2011,1,29,5.49
2011,1,30,5.9933
2011,1,31,5.999
2011,2,1,5.5889
2011,2,2,5.197
2011,2,3,3.4846
2011,2,4,5.7662
2011,2,5,4.907
2011,2,6,6.3703
2011,2,7,5.9544
2011,2,8,6.2172
2011,2,9,6.1858
2011,2,10,6.24
2011,2,11,6.4289
2011,2,12,6.4049
2011,2,13,6.4339
2011,2,14,6.539
2011,2,15,6.5722
2011,2,16,6.5899
2011,2,17,6.5986
2011,2,18,6.6007
2011,2,19,6.5942
2011,2,20,6.6701
2011,2,21,6.7142
2011,2,22,6.7128
2011,2,23,6.7646
2011,2,24,6.8244
2011,2,25,6.7877
2011,2,26,6.7906
2011,2,27,6.9605
2011,2,28,7.1357
2011,3,1,6.9941
2011,3,2,7.1671
2011,3,3,7.1146
2011,3,4,7.0867
2011,3,5,7.2619
2011,3,6,7.0277
2011,3,7,7.4006
2011,3,8,7.3762
2011,3,9,7.4052
2011,3,10,7.0202
2011,3,11,6.5928
2011,3,12,7.1623
2011,3,13,7.2103
2011,3,14,6.0893
2011,3,15,6.215
2011,3,16,6.0607
2011,3,17,6.1714
2011,3,18,6.9679
2011,3,19,7.4047
2011,3,20,7.35
2011,3,21,7.4244
2011,3,22,7.5694
2011,3,23,7.3903
2011,3,24,7.6651
2011,3,25,7.8341
2011,3,26,7.5778
2011,3,27,7.3385
2011,3,28,8.0983
2011,3,29,7.1405
2011,3,30,6.5311
2011,3,31,6.3962
2011,4,1,6.9679
2011,4,2,7.7318
2011,4,3,8.0182
2011,4,4,8.069
2011,4,5,7.4959
2011,4,6,7.4837
2011,4,7,7.013
2011,4,8,7.9886
2011,4,9,8.003
2011,4,10,7.9428
2011,4,11,8.1578
2011,4,12,7.518
2011,4,13,7.4155
2011,4,14,7.2449
2011,4,15,7.1069
2011,4,16,6.3511
2011,4,17,7.0975
2011,4,18,8.1701
2011,4,19,8.441
2011,4,20,8.5104
2011,4,21,7.9776
2011,4,22,8.0275
2011,4,23,8.3851
2011,4,24,8.3664
2011,4,25,8.3755
2011,4,26,8.736
2011,4,27,8.4682
2011,4,28,7.463
2011,4,29,6.8294
2011,4,30,7.8437
2011,5,1,8.2582
2011,5,2,8.1374
2011,5,3,6.1706
2011,5,4,7.3728
2011,5,5,7.5763
2011,5,6,6.9209
2011,5,7,7.9368
2011,5,8,4.7119
2011,5,9,7.4834
2011,5,10,8.0011
2011,5,11,8.544
2011,5,12,8.6695
2011,5,13,8.7612
2011,5,14,8.249
2011,5,15,8.5781
2011,5,16,8.6765
2011,5,17,8.7259
2011,5,18,8.7377
2011,5,19,8.6434
2011,5,20,8.7132
2011,5,21,8.3815
2011,5,22,8.155
2011,5,23,8.5978
2011,5,24,8.705
2011,5,25,8.2526
2011,5,26,7.6994
2011,5,27,7.3423
2011,5,28,7.5142
2011,5,29,7.5514
2011,5,30,7.6286
2011,5,31,8.3986
2011,6,1,8.3054
2011,6,2,8.646
2011,6,3,7.5394
2011,6,4,7.8324
2011,6,5,7.2499
2011,6,6,7.6481
2011,6,7,7.7566
2011,6,8,7.9675
2011,6,9,7.0085
2011,6,10,6.739
2011,6,11,7.3169
2011,6,12,7.8878
2011,6,13,7.9932
2011,6,14,7.5972
2011,6,15,7.7827
2011,6,16,7.613
2011,6,17,8.0604
2011,6,18,8.4792
2011,6,19,8.3782
2011,6,20,6.9521
2011,6,21,5.1766
2011,6,22,4.5238
2011,6,23,5.773
2011,6,24,5.4866
2011,6,25,6.6238
2011,6,26,6.5016
2011,6,27,5.8015
2011,6,28,7.4578
2011,6,29,5.8411
2011,6,30,5.2879
2011,7,1,3.1034
2011,7,2,3.5674
2011,7,3,3.1788
2011,7,4,4.4813
2011,7,5,5.5363
2011,7,6,7.3217
2011,7,7,7.2768
2011,7,8,5.5226
2011,7,9,5.305
2011,7,10,4.8864
2011,7,11,5.3333
2011,7,12,6.7738
2011,7,13,5.8378
2011,7,14,6.1709
2011,7,15,6.7063
2011,7,16,7.5528
2011,7,17,4.0015
2011,7,18,5.0662
2011,7,19,7.1429
2011,7,20,6.6245
2011,7,21,6.5534
2011,7,22,5.8867
2011,7,23,5.0129
2011,7,24,7.1165
2011,7,25,7.0841
2011,7,26,7.0723
2011,7,27,6.1908
2011,7,28,6.918
2011,7,29,5.5663
2011,7,30,4.4266
2011,7,31,6.2755
2011,8,1,5.9616
2011,8,2,7.0274
2011,8,3,7.3027
2011,8,4,4.6776
2011,8,5,5.9455
2011,8,6,6.9101
2011,8,7,7.4323
2011,8,8,6.7051
2011,8,9,6.9355
2011,8,10,7.2355
2011,8,11,6.7606
2011,8,12,6.36
2011,8,13,6.8407
2011,8,14,7.0939
2011,8,15,7.6646
2011,8,16,7.6954
2011,8,17,7.5542
2011,8,18,7.9543
2011,8,19,7.6145
2011,8,20,6.1882
2011,8,21,7.0483
2011,8,22,5.9554
2011,8,23,4.56
2011,8,24,6.7829
2011,8,25,6.9113
2011,8,26,6.113
2011,8,27,4.9234
2011,8,28,4.5842
2011,8,29,7.457
2011,8,30,7.4945
2011,8,31,4.9322
2011,9,1,3.2635
2011,9,2,5.2716
2011,9,3,3.2532
