-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  30.84   longitude -116.61 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 5.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,2.9753
2011,1,2,3.5467
2011,1,3,3.6526
2011,1,4,3.7639
2011,1,5,2.7718
2011,1,6,3.3991
2011,1,7,3.7082
2011,1,8,2.2342
2011,1,9,1.9428
2011,1,10,3.3751
2011,1,11,4.109
2011,1,12,4.0958
2011,1,13,4.1095
2011,1,14,4.169
2011,1,15,4.0807
2011,1,16,4.1539
2011,1,17,4.0286
2011,1,18,4.1162
2011,1,19,1.4942
2011,1,20,3.7745
2011,1,21,4.0286
2011,1,22,3.4438
2011,1,23,4.488
2011,1,24,4.5722
2011,1,25,4.0771
2011,1,26,4.6044
2011,1,27,4.6313
2011,1,28,4.4148
2011,1,29,4.0709
2011,1,30,2.9441
2011,1,31,4.3982
2011,2,1,4.0466
2011,2,2,4.9807
2011,2,3,4.9147
2011,2,4,4.8581
2011,2,5,3.3156
2011,2,6,4.3289
2011,2,7,4.6668
2011,2,8,2.7365
2011,2,9,5.0446
2011,2,10,5.1646
2011,2,11,5.3808
2011,2,12,5.3323
2011,2,13,4.5362
2011,2,14,5.2018
2011,2,15,5.1612
2011,2,16,3.1366
2011,2,17,5.3808
2011,2,18,2.0767
2011,2,19,4.3651
2011,2,20,5.2838
2011,2,21,4.7369
2011,2,22,5.4238
2011,2,23,5.4329
2011,2,24,4.3625
2011,2,25,4.6793
2011,2,26,2.5277
2011,2,27,5.8464
2011,2,28,6.0096
2011,3,1,5.4389
2011,3,2,5.6777
2011,3,3,5.7475
2011,3,4,4.8506
2011,3,5,5.7917
2011,3,6,5.2128
2011,3,7,5.4533
2011,3,8,5.7137
2011,3,9,6.3079
2011,3,10,6.1531
2011,3,11,3.8011
2011,3,12,4.4851
2011,3,13,4.1148
2011,3,14,6.125
2011,3,15,3.4596
2011,3,16,4.1498
2011,3,17,3.5834
2011,3,18,5.9033
2011,3,19,5.7444
2011,3,20,4.8648
2011,3,21,5.6777
2011,3,22,6.8885
2011,3,23,6.7351
2011,3,24,6.8323
2011,3,25,5.7737
2011,3,26,6.0202
2011,3,27,6.6691
2011,3,28,5.8862
2011,3,29,5.2322
2011,3,30,3.721
2011,3,31,5.4454
2011,4,1,6.6924
2011,4,2,2.5217
2011,4,3,5.9623
2011,4,4,6.7601
2011,4,5,5.7137
2011,4,6,5.711
2011,4,7,3.4416
2011,4,8,3.7932
2011,4,9,6.4358
2011,4,10,7.5926
2011,4,11,6.1675
2011,4,12,6.2698
2011,4,13,6.3893
2011,4,14,7.5768
2011,4,15,7.6279
2011,4,16,7.7558
2011,4,17,3.1814
2011,4,18,4.1527
2011,4,19,5.5531
2011,4,20,5.7355
2011,4,21,6.9228
2011,4,22,7.5439
2011,4,23,7.2341
2011,4,24,6.635
2011,4,25,7.399
2011,4,26,7.5096
2011,4,27,8.0592
2011,4,28,8.0741
2011,4,29,8.1686
2011,4,30,7.6058
2011,5,1,8.3621
2011,5,2,8.5358
2011,5,3,8.2277
2011,5,4,7.3073
2011,5,5,5.2565
2011,5,6,4.4971
2011,5,7,3.4889
2011,5,8,4.0714
2011,5,9,6.4212
2011,5,10,7.9524
2011,5,11,6.7872
2011,5,12,5.0866
2011,5,13,3.8671
2011,5,14,6.3924
2011,5,15,8.1665
2011,5,16,8.3525
2011,5,17,7.4203
2011,5,18,5.1547
2011,5,19,7.8082
2011,5,20,7.2031
2011,5,21,4.939
2011,5,22,4.1309
2011,5,23,4.7131
2011,5,24,7.3934
2011,5,25,7.559
2011,5,26,7.7839
2011,5,27,8.321
2011,5,28,8.4019
2011,5,29,7.3764
2011,5,30,8.5709
2011,5,31,5.9263
2011,6,1,6.3317
2011,6,2,8.7262
2011,6,3,7.2742
2011,6,4,7.0694
2011,6,5,8.5538
2011,6,6,8.6849
2011,6,7,8.1456
2011,6,8,5.5512
2011,6,9,5.2894
2011,6,10,3.473
