-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  32.65   longitude -115.47 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 156.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,3.6845
2011,1,2,3.2479
2011,1,3,3.0413
2011,1,4,3.5988
2011,1,5,3.6504
2011,1,6,3.5318
2011,1,7,3.6845
2011,1,8,3.6602
2011,1,9,3.505
2011,1,10,3.7303
2011,1,11,3.3029
2011,1,12,3.9012
2011,1,13,3.9031
2011,1,14,3.521
2011,1,15,3.9401
2011,1,16,3.2318
2011,1,17,3.805
2011,1,18,4.0262
2011,1,19,3.8119
2011,1,20,4.2562
2011,1,21,4.2322
2011,1,22,4.2374
2011,1,23,4.4501
2011,1,24,4.3243
2011,1,25,3.995
2011,1,26,4.1525
2011,1,27,4.4606
2011,1,28,4.4407
2011,1,29,4.477
2011,1,30,3.3619
2011,1,31,4.4566
2011,2,1,4.5149
2011,2,2,4.9186
2011,2,3,4.8562
2011,2,4,4.6536
2011,2,5,3.857
2011,2,6,4.5082
2011,2,7,4.734
2011,2,8,4.6886
2011,2,9,5.0558
2011,2,10,5.1682
2011,2,11,5.2591
2011,2,12,5.2358
2011,2,13,4.6243
2011,2,14,5.0933
2011,2,15,4.819
2011,2,16,3.7085
2011,2,17,5.2418
2011,2,18,3.4486
2011,2,19,3.4942
2011,2,20,5.1343
2011,2,21,4.9075
2011,2,22,5.281
2011,2,23,5.1826
2011,2,24,5.4235
2011,2,25,4.747
2011,2,26,3.2921
2011,2,27,5.8222
2011,2,28,5.8553
2011,3,1,5.4514
2011,3,2,5.0575
2011,3,3,5.5474
2011,3,4,5.6323
2011,3,5,5.8097
2011,3,6,4.7419
2011,3,7,5.7526
2011,3,8,6.09
2011,3,9,6.3185
2011,3,10,6.288
2011,3,11,6.2189
2011,3,12,6.155
2011,3,13,6.0262
2011,3,14,5.8699
2011,3,15,6.1123
2011,3,16,6.0538
2011,3,17,5.7271
2011,3,18,5.4288
2011,3,19,4.721
2011,3,20,4.639
2011,3,21,5.0558
2011,3,22,6.6972
2011,3,23,6.7363
2011,3,24,6.7716
2011,3,25,6.0115
2011,3,26,6.7488
2011,3,27,6.7349
2011,3,28,6.8472
2011,3,29,6.8287
2011,3,30,6.7754
2011,3,31,7.1011
2011,4,1,7.0961
2011,4,2,6.203
2011,4,3,7.0822
2011,4,4,7.4784
2011,4,5,6.2993
2011,4,6,5.1852
2011,4,7,7.2842
2011,4,8,3.5369
2011,4,9,6.7298
2011,4,10,7.5149
2011,4,11,6.4337
2011,4,12,7.4825
2011,4,13,7.6802
2011,4,14,7.7052
2011,4,15,7.5847
2011,4,16,7.703
2011,4,17,7.7827
2011,4,18,7.0212
2011,4,19,6.8758
2011,4,20,7.5646
2011,4,21,7.7995
2011,4,22,7.8149
2011,4,23,7.2958
2011,4,24,7.4088
2011,4,25,7.7892
2011,4,26,8.1206
2011,4,27,8.1638
2011,4,28,8.1149
2011,4,29,8.209
2011,4,30,8.5063
2011,5,1,8.5824
2011,5,2,8.6136
2011,5,3,8.4353
2011,5,4,7.7412
2011,5,5,8.1766
2011,5,6,8.3066
2011,5,7,8.2795
2011,5,8,7.4148
2011,5,9,8.2051
2011,5,10,8.2637
2011,5,11,8.2958
2011,5,12,8.3902
2011,5,13,8.0122
2011,5,14,8.3904
2011,5,15,8.4062
2011,5,16,8.4149
2011,5,17,7.5026
2011,5,18,6.3067
2011,5,19,8.3844
2011,5,20,8.4622
2011,5,21,8.2622
2011,5,22,8.4953
2011,5,23,8.5008
2011,5,24,8.5757
2011,5,25,8.6227
2011,5,26,8.6604
2011,5,27,8.4698
2011,5,28,8.429
2011,5,29,8.5913
2011,5,30,8.8219
2011,5,31,8.3945
2011,6,1,6.9055
2011,6,2,8.5678
2011,6,3,8.5884
2011,6,4,8.8094
2011,6,5,8.8243
2011,6,6,8.9107
2011,6,7,8.8212
2011,6,8,8.6498
2011,6,9,8.4886
2011,6,10,8.6918
2011,6,11,8.7674
2011,6,12,8.5056
2011,6,13,8.5661
2011,6,14,8.5051
2011,6,15,8.659
2011,6,16,8.695
2011,6,17,8.7881
2011,6,18,8.7144
2011,6,19,8.4614
2011,6,20,8.6338
2011,6,21,8.6417
2011,6,22,8.6333
2011,6,23,8.5836
2011,6,24,8.623
2011,6,25,8.6803
2011,6,26,8.7029
2011,6,27,8.6254
2011,6,28,8.4322
2011,6,29,8.515
2011,6,30,8.7986
2011,7,1,8.6993
2011,7,2,8.3726
2011,7,3,7.5362
2011,7,4,7.6368
2011,7,5,7.2125
2011,7,6,7.4664
2011,7,7,7.2173
2011,7,8,8.0405
2011,7,9,8.1732
2011,7,10,8.159
2011,7,11,8.5829
2011,7,12,8.6666
2011,7,13,8.5738
2011,7,14,8.4746
2011,7,15,8.5992
2011,7,16,8.6352
2011,7,17,8.5714
2011,7,18,8.2363
2011,7,19,8.2764
2011,7,20,8.3825
2011,7,21,8.4665
2011,7,22,8.2193
2011,7,23,7.836
2011,7,24,5.669
2011,7,25,7.6769
2011,7,26,8.0494
2011,7,27,7.9423
2011,7,28,7.8048
2011,7,29,6.522
2011,7,30,5.8198
2011,7,31,6.9761
2011,8,1,6.9751
2011,8,2,7.0594
2011,8,3,8.0129
2011,8,4,8.1869
2011,8,5,8.213
2011,8,6,8.4293
2011,8,7,8.0342
2011,8,8,7.686
2011,8,9,7.6334
2011,8,10,7.7916
2011,8,11,7.6634
2011,8,12,7.5317
2011,8,13,7.5679
2011,8,14,7.5886
2011,8,15,7.7095
2011,8,16,7.7558
2011,8,17,6.8227
2011,8,18,7.6454
2011,8,19,7.7383
2011,8,20,7.6666
2011,8,21,7.3721
2011,8,22,7.5869
2011,8,23,7.5166
2011,8,24,7.3582
2011,8,25,7.1165
