-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  24.14   longitude -110.31 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 162.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,3.7685
2011,1,2,4.3447
2011,1,3,4.5312
2011,1,4,4.2742
2011,1,5,2.513
2011,1,6,2.6462
2011,1,7,4.1374
2011,1,8,4.6378
2011,1,9,4.4813
2011,1,10,4.5919
2011,1,11,4.6176
2011,1,12,4.3462
2011,1,13,4.7345
2011,1,14,4.4947
2011,1,15,4.4592
2011,1,16,4.2382
2011,1,17,4.8564
2011,1,18,4.637
2011,1,19,4.8026
2011,1,20,4.7798
2011,1,21,4.8886
2011,1,22,4.8259
2011,1,23,4.5074
2011,1,24,4.9889
2011,1,25,4.7335
2011,1,26,3.4574
2011,1,27,2.0954
2011,1,28,2.0998
2011,1,29,5.0438
2011,1,30,5.1809
2011,1,31,4.4558
2011,2,1,5.1941
2011,2,2,4.9027
2011,2,3,5.095
2011,2,4,5.3311
2011,2,5,5.1746
2011,2,6,5.6215
2011,2,7,5.3964
2011,2,8,5.0719
2011,2,9,5.0489
2011,2,10,5.1842
2011,2,11,5.2999
2011,2,12,4.914
2011,2,13,5.0134
2011,2,14,5.1996
2011,2,15,5.2783
2011,2,16,5.4163
2011,2,17,5.1038
2011,2,18,5.7122
2011,2,19,5.6998
2011,2,20,5.8138
2011,2,21,5.6148
2011,2,22,5.7269
2011,2,23,5.669
2011,2,24,5.6263
2011,2,25,6.126
2011,2,26,5.4367
2011,2,27,5.885
2011,2,28,6.043
2011,3,1,6.1178
2011,3,2,5.8992
2011,3,3,6.1056
2011,3,4,6.1781
2011,3,5,6.3538
2011,3,6,6.5354
2011,3,7,5.9095
2011,3,8,6.5731
2011,3,9,6.1224
2011,3,10,6.4356
2011,3,11,6.197
2011,3,12,6.0677
2011,3,13,6.5184
2011,3,14,6.1193
2011,3,15,6.5628
2011,3,16,6.318
2011,3,17,6.3816
2011,3,18,5.5291
2011,3,19,6.5294
2011,3,20,4.4431
2011,3,21,5.5694
2011,3,22,6.1253
2011,3,23,6.7822
2011,3,24,6.9014
2011,3,25,6.4315
2011,3,26,7.0586
2011,3,27,6.9881
2011,3,28,6.8035
2011,3,29,6.8052
2011,3,30,6.569
2011,3,31,7.2902
2011,4,1,7.0944
2011,4,2,7.2036
2011,4,3,6.972
2011,4,4,5.9942
2011,4,5,7.2535
2011,4,6,6.5021
2011,4,7,7.0238
2011,4,8,6.7788
2011,4,9,7.0958
2011,4,10,7.3778
2011,4,11,7.5492
2011,4,12,7.3838
2011,4,13,6.0696
2011,4,14,7.1282
2011,4,15,7.457
2011,4,16,6.4961
2011,4,17,6.4908
2011,4,18,7.1765
2011,4,19,7.423
2011,4,20,7.2761
2011,4,21,7.7604
2011,4,22,7.1897
2011,4,23,7.331
2011,4,24,7.6066
2011,4,25,7.3301
2011,4,26,7.2682
2011,4,27,7.5286
2011,4,28,7.2353
2011,4,29,7.9104
2011,4,30,7.5146
2011,5,1,6.8023
2011,5,2,7.9044
2011,5,3,6.4958
2011,5,4,7.3294
2011,5,5,7.1791
2011,5,6,7.183
2011,5,7,6.7958
2011,5,8,6.8695
2011,5,9,6.3005
2011,5,10,7.2336
2011,5,11,7.7858
2011,5,12,7.4614
2011,5,13,7.2017
2011,5,14,7.3968
2011,5,15,7.7448
2011,5,16,7.7875
2011,5,17,7.4602
2011,5,18,7.9627
2011,5,19,7.8362
2011,5,20,7.8953
2011,5,21,7.9747
2011,5,22,6.9197
2011,5,23,7.9721
2011,5,24,7.98
2011,5,25,7.3229
2011,5,26,7.7993
2011,5,27,8.1235
2011,5,28,7.6296
2011,5,29,7.9985
2011,5,30,7.3469
2011,5,31,7.3654
2011,6,1,7.3567
2011,6,2,6.8882
2011,6,3,7.128
2011,6,4,7.0529
2011,6,5,7.434
2011,6,6,7.3118
2011,6,7,7.0987
2011,6,8,7.2977
2011,6,9,7.0598
2011,6,10,8.1977
2011,6,11,7.626
2011,6,12,7.2257
2011,6,13,7.1837
2011,6,14,6.8566
2011,6,15,7.0565
2011,6,16,6.948
2011,6,17,6.9096
2011,6,18,5.9503
2011,6,19,7.2365
2011,6,20,7.0123
2011,6,21,7.8209
2011,6,22,7.4338
2011,6,23,7.1462
2011,6,24,7.5036
2011,6,25,7.3608
2011,6,26,7.5629
2011,6,27,6.7154
2011,6,28,7.1741
2011,6,29,7.0291
2011,6,30,7.093
2011,7,1,7.2871
2011,7,2,7.1962
2011,7,3,6.3168
2011,7,4,3.9427
2011,7,5,6.1908
2011,7,6,7.1122
2011,7,7,7.6656
2011,7,8,7.5451
2011,7,9,7.3178
2011,7,10,7.4088
2011,7,11,7.1314
2011,7,12,7.6406
2011,7,13,6.9667
2011,7,14,7.1858
2011,7,15,7.319
2011,7,16,7.1542
2011,7,17,6.8422
2011,7,18,5.6921
2011,7,19,6.0881
2011,7,20,7.2353
2011,7,21,5.5327
2011,7,22,4.9579
2011,7,23,6.9804
2011,7,24,7.4035
2011,7,25,7.1978
2011,7,26,6.4207
2011,7,27,6.9233
2011,7,28,7.3135
2011,7,29,7.5055
2011,7,30,7.0066
2011,7,31,5.2162
2011,8,1,7.111
2011,8,2,7.2722
2011,8,3,7.0034
2011,8,4,6.6238
2011,8,5,5.9578
2011,8,6,6.9701
2011,8,7,6.2705
2011,8,8,4.6387
2011,8,9,4.3253
2011,8,10,6.4522
2011,8,11,7.1165
2011,8,12,6.7874
2011,8,13,6.4442
2011,8,14,4.6718
2011,8,15,6.9372
2011,8,16,6.8369
2011,8,17,6.9005
2011,8,18,4.9416
2011,8,19,5.159
2011,8,20,6.7927
2011,8,21,6.7286
2011,8,22,7.1035
2011,8,23,6.6305
2011,8,24,3.1594
2011,8,25,6.6821
2011,8,26,5.742
2011,8,27,5.815
2011,8,28,6.0876
2011,8,29,6.5772
2011,8,30,6.5806
2011,8,31,6.6593
2011,9,1,6.3732
2011,9,2,5.7043
2011,9,3,5.01
2011,9,4,4.3654
2011,9,5,6.1781
2011,9,6,6.3094
2011,9,7,6.1774
2011,9,8,6.2798
2011,9,9,6.4361
2011,9,10,6.0446
2011,9,11,6.0866
2011,9,12,6.5388
2011,9,13,5.6242
2011,9,14,6.2105
2011,9,15,6.222
2011,9,16,6.259
2011,9,17,5.9364
2011,9,18,5.8418
2011,9,19,5.8181
2011,9,20,6.0024
2011,9,21,5.9381
2011,9,22,5.9618
2011,9,23,6.2434
2011,9,24,5.5879
2011,9,25,6.0629
2011,9,26,6.0053
2011,9,27,5.2937
2011,9,28,5.633
2011,9,29,5.4931
2011,9,30,5.8891
2011,10,1,5.6122
2011,10,2,5.88
2011,10,3,5.3498
2011,10,4,5.6563
2011,10,5,5.579
2011,10,6,5.388
2011,10,7,5.6304
2011,10,8,5.3117
2011,10,9,5.7902
2011,10,10,5.3892
2011,10,11,5.7031
2011,10,12,4.7806
2011,10,13,5.2946
2011,10,14,5.8358
2011,10,15,5.1146
2011,10,16,4.721
2011,10,17,4.9411
2011,10,18,5.3916
2011,10,19,5.2289
2011,10,20,5.1137
2011,10,21,4.8878
2011,10,22,2.297
2011,10,23,4.9282
2011,10,24,4.6001
2011,10,25,5.1979
2011,10,26,4.8689
2011,10,27,4.9313
2011,10,28,4.835
2011,10,29,4.7184
2011,10,30,5.3515
2011,10,31,4.3958
2011,11,1,4.8377
2011,11,2,4.8401
2011,11,3,4.6536
2011,11,4,4.6692
2011,11,5,4.9351
2011,11,6,4.6685
2011,11,7,4.9243
2011,11,8,4.5662
2011,11,9,4.4129
2011,11,10,4.597
2011,11,11,4.6867
2011,11,12,4.2689
2011,11,13,1.8278
2011,11,14,4.5278
2011,11,15,4.7729
2011,11,16,4.7894
2011,11,17,4.7974
2011,11,18,4.6123
2011,11,19,4.0267
2011,11,20,4.4294
2011,11,21,4.679
2011,11,22,4.56
2011,11,23,4.1954
2011,11,24,4.159
2011,11,25,3.7663
2011,11,26,4.5684
2011,11,27,4.3531
2011,11,28,4.6618
2011,11,29,4.3721
2011,11,30,4.4669
2011,12,1,4.6486
2011,12,2,3.0859
2011,12,3,4.4282
2011,12,4,3.5916
2011,12,5,4.5122
2011,12,6,4.1705
2011,12,7,4.3942
2011,12,8,3.5232
2011,12,9,3.5213
2011,12,10,3.5086
2011,12,11,2.9098
2011,12,12,2.0251
2011,12,13,1.8228
2011,12,14,3.7922
2011,12,15,4.3358
2011,12,16,4.1026
2011,12,17,2.0906
2011,12,18,3.2647
2011,12,19,4.2262
2011,12,20,4.0013
2011,12,21,4.0378
2011,12,22,4.2286
2011,12,23,3.9552
2011,12,24,4.5972
2011,12,25,4.5943
2011,12,26,3.9792
2011,12,27,4.0322
2011,12,28,4.0284
2011,12,29,4.4249
2011,12,30,4.4851
2011,12,31,4.175
2012,1,1,4.2005
2012,1,2,4.2082
2012,1,3,3.769
2012,1,4,3.8652
2012,1,5,4.0862
2012,1,6,3.7838
2012,1,7,4.1561
2012,1,8,4.207
2012,1,9,4.3226
2012,1,10,3.9113
2012,1,11,4.187
2012,1,12,4.2773
2012,1,13,3.6161
2012,1,14,3.8707
2012,1,15,4.3327
2012,1,16,2.5637
2012,1,17,4.3226
2012,1,18,4.542
2012,1,19,3.0914
2012,1,20,3.3216
2012,1,21,2.0561
2012,1,22,3.8412
2012,1,23,4.5197
2012,1,24,4.607
2012,1,25,4.5449
2012,1,26,4.2866
2012,1,27,4.8494
2012,1,28,4.536
2012,1,29,4.6351
2012,1,30,4.4489
2012,1,31,4.6488
2012,2,1,4.5598
2012,2,2,4.9781
2012,2,3,3.9379
2012,2,4,4.3322
2012,2,5,4.8348
2012,2,6,5.0743
2012,2,7,5.1864
2012,2,8,2.8152
2012,2,9,4.7614
2012,2,10,4.8211
2012,2,11,4.3886
2012,2,12,5.0654
2012,2,13,4.6838
2012,2,14,5.1058
2012,2,15,5.0774
2012,2,16,5.0054
2012,2,17,5.2608
2012,2,18,4.8324
2012,2,19,5.0122
2012,2,20,4.5444
2012,2,21,5.5603
2012,2,22,5.6033
2012,2,23,5.7295
2012,2,24,5.1619
2012,2,25,6.215
2012,2,26,5.5843
2012,2,27,4.6918
2012,2,28,5.0124
2012,2,29,5.9969
2012,3,1,5.8944
2012,3,2,5.9107
2012,3,3,5.6844
2012,3,4,5.7641
2012,3,5,5.8025
2012,3,6,6.006
2012,3,7,5.3477
2012,3,8,5.7648
2012,3,9,6.7181
2012,3,10,6.1788
2012,3,11,6.1742
2012,3,12,6.217
2012,3,13,6.5669
2012,3,14,4.1606
2012,3,15,5.5558
2012,3,16,4.8178
2012,3,17,3.3365
2012,3,18,6.0365
2012,3,19,6.1212
2012,3,20,6.4318
2012,3,21,6.7567
2012,3,22,7.2254
2012,3,23,6.2911
2012,3,24,6.7656
2012,3,25,6.5004
2012,3,26,6.7202
2012,3,27,6.3703
2012,3,28,7.1263
2012,3,29,6.5978
2012,3,30,6.3466
2012,3,31,6.2218
2012,4,1,7.0315
2012,4,2,6.6953
2012,4,3,6.3415
2012,4,4,6.8856
2012,4,5,6.7922
2012,4,6,6.7459
2012,4,7,7.5998
2012,4,8,6.8964
2012,4,9,7.3114
2012,4,10,6.9
2012,4,11,5.9657
2012,4,12,6.7747
2012,4,13,7.0819
2012,4,14,7.0663
2012,4,15,7.3536
2012,4,16,7.2115
2012,4,17,7.2329
2012,4,18,7.6627
2012,4,19,7.5002
2012,4,20,7.4878
2012,4,21,7.0423
2012,4,22,6.6473
2012,4,23,7.2058
2012,4,24,7.5643
2012,4,25,5.7298
2012,4,26,5.9059
2012,4,27,7.6087
2012,4,28,5.8526
2012,4,29,7.2955
2012,4,30,7.3109
2012,5,1,7.2341
2012,5,2,4.7038
2012,5,3,7.0135
2012,5,4,5.6342
2012,5,5,6.5986
2012,5,6,6.6454
2012,5,7,7.2506
2012,5,8,7.0663
2012,5,9,7.6582
2012,5,10,7.255
2012,5,11,7.2382
2012,5,12,7.0262
2012,5,13,7.025
2012,5,14,7.2934
2012,5,15,8.1766
2012,5,16,7.1726
2012,5,17,7.554
2012,5,18,7.3994
2012,5,19,7.5094
2012,5,20,7.8002
2012,5,21,7.2658
2012,5,22,6.7798
2012,5,23,6.6936
2012,5,24,7.1978
2012,5,25,7.4078
2012,5,26,7.2626
2012,5,27,7.5552
2012,5,28,7.5974
2012,5,29,7.4623
2012,5,30,7.5965
2012,5,31,8.0489
2012,6,1,7.7839
2012,6,2,7.2175
2012,6,3,7.0824
2012,6,4,6.774
2012,6,5,7.038
2012,6,6,7.643
2012,6,7,7.5931
2012,6,8,7.393
2012,6,9,7.0519
2012,6,10,7.727
2012,6,11,7.1731
2012,6,12,7.4285
2012,6,13,7.5106
2012,6,14,7.2636
2012,6,15,7.2912
2012,6,16,7.6039
2012,6,17,7.3596
2012,6,18,7.1856
2012,6,19,7.2434
2012,6,20,7.4371
2012,6,21,7.6267
2012,6,22,7.1786
2012,6,23,7.2886
2012,6,24,7.374
2012,6,25,6.9374
2012,6,26,7.6682
2012,6,27,7.1119
2012,6,28,7.2802
2012,6,29,7.3368
2012,6,30,7.1088
2012,7,1,6.8863
2012,7,2,6.6526
2012,7,3,7.0344
2012,7,4,7.3466
2012,7,5,7.1808
2012,7,6,7.2962
2012,7,7,5.683
2012,7,8,7.2115
2012,7,9,6.8388
2012,7,10,6.7308
2012,7,11,6.7066
2012,7,12,7.0219
2012,7,13,6.3773
2012,7,14,5.2999
2012,7,15,6.8172
2012,7,16,6.7831
2012,7,17,6.6826
2012,7,18,6.9878
2012,7,19,6.7411
2012,7,20,6.8755
2012,7,21,7.429
2012,7,22,7.2358
2012,7,23,7.253
2012,7,24,6.9562
2012,7,25,7.2602
2012,7,26,6.9228
2012,7,27,7.2552
2012,7,28,6.2462
2012,7,29,6.377
2012,7,30,6.9706
2012,7,31,6.9348
2012,8,1,6.5249
2012,8,2,6.4615
2012,8,3,7.0392
2012,8,4,4.3507
2012,8,5,5.7077
2012,8,6,7.14
2012,8,7,6.7128
2012,8,8,6.803
2012,8,9,6.4303
2012,8,10,7.0798
2012,8,11,6.6365
2012,8,12,6.6982
2012,8,13,6.6331
2012,8,14,4.1604
2012,8,15,3.1126
2012,8,16,2.2819
2012,8,17,5.6758
2012,8,18,6.4968
2012,8,19,6.0778
