-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  19.84   longitude -90.53 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.6217
2011,1,2,4.0927
2011,1,3,4.753
2011,1,4,4.9774
2011,1,5,5.0546
2011,1,6,4.613
2011,1,7,4.9877
2011,1,8,5.0698
2011,1,9,4.9387
2011,1,10,4.4028
2011,1,11,4.0222
2011,1,12,2.0426
2011,1,13,3.4166
2011,1,14,4.5257
2011,1,15,5.1494
2011,1,16,4.703
2011,1,17,4.3459
2011,1,18,5.0952
2011,1,19,5.0246
2011,1,20,4.9531
2011,1,21,3.2959
2011,1,22,3.7018
2011,1,23,4.7047
2011,1,24,4.3289
2011,1,25,4.9303
2011,1,26,3.073
2011,1,27,3.672
2011,1,28,5.0856
2011,1,29,5.2682
2011,1,30,5.341
2011,1,31,5.4955
2011,2,1,5.557
2011,2,2,5.0203
2011,2,3,4.0118
2011,2,4,4.6507
2011,2,5,2.4473
2011,2,6,4.8384
2011,2,7,5.0357
2011,2,8,2.7389
2011,2,9,5.6928
2011,2,10,3.743
2011,2,11,1.2931
2011,2,12,3.5926
2011,2,13,3.113
2011,2,14,5.6059
2011,2,15,5.7319
2011,2,16,6.1104
2011,2,17,5.7864
2011,2,18,5.9974
2011,2,19,6.0514
2011,2,20,5.9786
2011,2,21,6.0655
2011,2,22,5.7665
2011,2,23,6.0132
2011,2,24,5.9642
2011,2,25,6.1714
2011,2,26,5.9203
2011,2,27,5.5966
2011,2,28,6.2062
2011,3,1,5.7598
2011,3,2,5.6129
2011,3,3,5.3309
2011,3,4,5.9494
2011,3,5,5.9582
2011,3,6,5.1336
2011,3,7,5.5649
2011,3,8,6.6818
2011,3,9,6.3898
2011,3,10,4.6944
2011,3,11,4.8955
2011,3,12,6.8868
2011,3,13,6.8621
2011,3,14,6.9576
2011,3,15,5.4835
2011,3,16,5.3808
2011,3,17,5.4811
2011,3,18,5.399
2011,3,19,6.3545
2011,3,20,6.0581
2011,3,21,6.8729
2011,3,22,6.9108
2011,3,23,6.1085
2011,3,24,6.1428
2011,3,25,5.886
2011,3,26,5.9422
2011,3,27,6.3953
2011,3,28,5.7374
2011,3,29,6.3062
2011,3,30,6.1944
2011,3,31,6.1099
2011,4,1,6.306
2011,4,2,6.0972
2011,4,3,5.6558
2011,4,4,6.781
2011,4,5,6.253
2011,4,6,6.0989
2011,4,7,6.9468
2011,4,8,6.9055
2011,4,9,6.947
2011,4,10,7.2334
2011,4,11,7.3284
2011,4,12,7.1434
2011,4,13,6.8006
2011,4,14,7.4911
2011,4,15,6.787
2011,4,16,6.571
2011,4,17,6.4798
2011,4,18,6.8777
2011,4,19,6.6698
2011,4,20,6.8887
2011,4,21,6.6014
2011,4,22,7.0099
2011,4,23,7.001
2011,4,24,6.565
2011,4,25,6.6907
2011,4,26,6.4411
2011,4,27,6.192
2011,4,28,5.533
2011,4,29,6.3156
2011,4,30,7.2634
2011,5,1,7.2845
2011,5,2,6.6869
2011,5,3,6.1265
2011,5,4,6.1109
2011,5,5,5.6167
2011,5,6,5.7132
2011,5,7,7.511
2011,5,8,7.3805
2011,5,9,7.344
2011,5,10,6.8407
2011,5,11,6.0206
2011,5,12,6.3602
2011,5,13,6.4538
2011,5,14,7.0133
2011,5,15,6.6586
2011,5,16,6.7392
2011,5,17,6.5911
2011,5,18,6.553
2011,5,19,6.0077
2011,5,20,7.1335
2011,5,21,7.2098
2011,5,22,7.4011
2011,5,23,6.5294
2011,5,24,7.1947
2011,5,25,7.307
2011,5,26,7.0992
2011,5,27,7.0562
2011,5,28,6.9607
2011,5,29,7.0651
2011,5,30,6.9948
2011,5,31,6.4522
2011,6,1,6.7154
2011,6,2,7.122
2011,6,3,6.4908
2011,6,4,6.2234
2011,6,5,4.3517
2011,6,6,5.7598
2011,6,7,6.4781
2011,6,8,6.6242
2011,6,9,7.1734
2011,6,10,7.045
2011,6,11,6.4651
2011,6,12,5.9729
2011,6,13,5.1091
2011,6,14,5.9246
2011,6,15,6.4548
2011,6,16,6.9211
2011,6,17,6.9881
2011,6,18,5.1833
2011,6,19,4.0214
2011,6,20,5.1655
2011,6,21,6.4258
2011,6,22,6.571
2011,6,23,6.5182
2011,6,24,6.4174
2011,6,25,6.3204
2011,6,26,5.0573
2011,6,27,2.1418
2011,6,28,1.4712
2011,6,29,4.3061
2011,6,30,4.8406
2011,7,1,4.7302
2011,7,2,4.985
2011,7,3,5.9498
2011,7,4,5.8997
2011,7,5,4.7088
2011,7,6,5.3275
2011,7,7,5.6832
2011,7,8,5.262
2011,7,9,4.9214
2011,7,10,5.13
2011,7,11,6.053
2011,7,12,4.4482
2011,7,13,6.013
2011,7,14,6.821
2011,7,15,5.7691
2011,7,16,6.0142
2011,7,17,6.9934
2011,7,18,7.0723
2011,7,19,7.0356
2011,7,20,6.7901
2011,7,21,7.128
2011,7,22,6.7903
2011,7,23,6.3043
2011,7,24,5.615
2011,7,25,6.5758
2011,7,26,6.198
2011,7,27,6.7128
2011,7,28,6.113
2011,7,29,5.8963
2011,7,30,5.143
2011,7,31,5.7734
2011,8,1,5.8644
2011,8,2,4.1916
2011,8,3,5.9647
2011,8,4,7.1071
2011,8,5,7.0519
2011,8,6,7.0171
2011,8,7,6.1534
2011,8,8,6.0905
2011,8,9,6.8578
2011,8,10,6.9533
2011,8,11,7.1179
2011,8,12,6.1303
2011,8,13,6.7658
2011,8,14,6.4589
2011,8,15,6.4762
2011,8,16,6.2976
2011,8,17,6.5436
2011,8,18,6.0617
2011,8,19,6.384
2011,8,20,5.6388
2011,8,21,5.543
2011,8,22,5.9126
2011,8,23,6.2743
2011,8,24,6.4154
2011,8,25,6.5232
2011,8,26,6.299
2011,8,27,5.4432
2011,8,28,5.4079
2011,8,29,5.5771
2011,8,30,5.5781
2011,8,31,4.463
2011,9,1,4.3884
2011,9,2,6.0014
2011,9,3,6.4142
2011,9,4,6.1183
2011,9,5,6.5525
2011,9,6,4.4942
2011,9,7,4.6718
2011,9,8,5.2812
2011,9,9,5.4379
2011,9,10,4.901
2011,9,11,4.9846
2011,9,12,4.0752
2011,9,13,5.9472
2011,9,14,6.4058
2011,9,15,6.6295
2011,9,16,6.7589
2011,9,17,6.3401
2011,9,18,5.6662
2011,9,19,5.9335
2011,9,20,5.5658
2011,9,21,6.3142
2011,9,22,5.9246
2011,9,23,5.6902
2011,9,24,5.4607
2011,9,25,5.4343
2011,9,26,5.3978
2011,9,27,5.1509
2011,9,28,6.019
2011,9,29,4.8605
2011,9,30,4.8696
2011,10,1,5.658
2011,10,2,5.9086
2011,10,3,4.8696
2011,10,4,3.9989
2011,10,5,5.6863
2011,10,6,5.4528
2011,10,7,6.2832
2011,10,8,6.0718
2011,10,9,6.1903
2011,10,10,5.6798
2011,10,11,5.7797
2011,10,12,4.9418
2011,10,13,2.0522
2011,10,14,4.0322
2011,10,15,3.8914
2011,10,16,3.7735
2011,10,17,4.1772
2011,10,18,4.547
2011,10,19,4.314
2011,10,20,4.6222
2011,10,21,5.4619
2011,10,22,5.7756
2011,10,23,5.9573
2011,10,24,5.8918
2011,10,25,5.7252
2011,10,26,4.3483
2011,10,27,4.4654
2011,10,28,5.2939
2011,10,29,2.575
2011,10,30,4.8086
2011,10,31,3.349
2011,11,1,3.823
2011,11,2,4.6742
2011,11,3,5.3333
2011,11,4,5.3954
2011,11,5,4.1952
2011,11,6,5.3477
2011,11,7,5.5944
2011,11,8,5.0686
2011,11,9,4.8617
2011,11,10,5.1845
2011,11,11,3.6132
2011,11,12,5.3779
2011,11,13,5.4142
2011,11,14,5.3208
2011,11,15,5.1077
2011,11,16,5.0645
2011,11,17,4.8742
2011,11,18,4.6481
2011,11,19,4.4928
2011,11,20,4.1753
2011,11,21,4.799
2011,11,22,4.8977
2011,11,23,5.2135
2011,11,24,5.0455
2011,11,25,4.9606
2011,11,26,4.9841
2011,11,27,4.289
2011,11,28,3.1723
2011,11,29,4.0087
2011,11,30,4.0721
2011,12,1,4.8014
2011,12,2,4.6589
2011,12,3,4.8624
2011,12,4,3.5191
2011,12,5,4.2182
2011,12,6,4.0166
2011,12,7,4.0445
2011,12,8,3.0211
2011,12,9,4.9913
2011,12,10,4.8898
2011,12,11,3.4505
2011,12,12,2.8279
2011,12,13,3.959
2011,12,14,3.485
2011,12,15,4.3291
2011,12,16,4.1664
2011,12,17,4.2518
2011,12,18,3.8969
2011,12,19,4.7136
2011,12,20,4.8869
2011,12,21,4.1628
2011,12,22,4.7242
2011,12,23,3.0492
2011,12,24,3.7476
2011,12,25,4.1863
2011,12,26,3.7572
2011,12,27,3.3466
2011,12,28,3.4994
2011,12,29,3.2251
2011,12,30,4.5362
2011,12,31,4.5746
2012,1,1,4.297
2012,1,2,3.1625
2012,1,3,4.14
2012,1,4,5.0182
2012,1,5,5.0465
2012,1,6,4.5665
2012,1,7,4.3339
2012,1,8,4.4767
2012,1,9,4.7678
2012,1,10,4.489
2012,1,11,3.1279
2012,1,12,3.8174
2012,1,13,3.6936
2012,1,14,3.209
2012,1,15,2.2697
2012,1,16,4.3922
2012,1,17,4.7743
2012,1,18,4.9524
2012,1,19,4.8888
2012,1,20,4.9913
2012,1,21,4.901
2012,1,22,4.8343
2012,1,23,5.0834
2012,1,24,4.8847
2012,1,25,5.0429
2012,1,26,4.3942
2012,1,27,2.0635
2012,1,28,4.494
2012,1,29,4.356
2012,1,30,2.4715
2012,1,31,4.0567
2012,2,1,2.7062
2012,2,2,2.7571
2012,2,3,4.1633
2012,2,4,5.1449
2012,2,5,5.249
2012,2,6,5.1874
2012,2,7,3.5376
2012,2,8,2.4936
2012,2,9,4.4225
2012,2,10,3.7428
2012,2,11,2.3731
2012,2,12,4.3586
2012,2,13,5.2632
2012,2,14,5.5236
2012,2,15,5.7773
2012,2,16,5.3914
2012,2,17,5.6743
2012,2,18,6.0898
2012,2,19,5.1101
2012,2,20,4.219
2012,2,21,5.8675
2012,2,22,6.0427
2012,2,23,6.2244
2012,2,24,5.9482
2012,2,25,4.5108
2012,2,26,3.3955
2012,2,27,5.6484
2012,2,28,5.7934
2012,2,29,6.0965
2012,3,1,6.0226
2012,3,2,5.7026
2012,3,3,6.5988
2012,3,4,3.3307
2012,3,5,5.4079
2012,3,6,4.2461
2012,3,7,5.2111
2012,3,8,5.5282
2012,3,9,5.9256
2012,3,10,5.5915
2012,3,11,6.0446
2012,3,12,5.4154
2012,3,13,6.3938
2012,3,14,6.1054
2012,3,15,6.4843
2012,3,16,6.4133
2012,3,17,5.9246
2012,3,18,6.0072
2012,3,19,5.4871
2012,3,20,6.0982
2012,3,21,6.1318
2012,3,22,5.4422
2012,3,23,6.1889
2012,3,24,6.7543
2012,3,25,5.8553
2012,3,26,6.666
2012,3,27,6.2076
2012,3,28,5.6597
2012,3,29,6.0394
2012,3,30,6.2916
2012,3,31,5.5212
2012,4,1,4.8317
2012,4,2,6.2035
2012,4,3,3.4205
2012,4,4,6.3235
2012,4,5,6.8434
2012,4,6,6.6017
2012,4,7,6.3034
2012,4,8,6.4174
2012,4,9,6.1224
2012,4,10,5.6306
2012,4,11,5.5507
2012,4,12,5.7737
2012,4,13,6.5309
2012,4,14,6.6408
2012,4,15,6.3818
2012,4,16,6.3614
2012,4,17,5.7689
2012,4,18,5.6227
2012,4,19,6.8167
2012,4,20,7.1854
2012,4,21,6.5028
2012,4,22,5.7286
2012,4,23,7.273
2012,4,24,6.9643
2012,4,25,7.111
2012,4,26,7.2511
2012,4,27,7.3157
2012,4,28,6.5882
2012,4,29,6.3053
2012,4,30,6.6617
2012,5,1,6.2498
2012,5,2,6.9655
2012,5,3,7.2108
2012,5,4,7.0937
2012,5,5,6.6271
2012,5,6,6.535
2012,5,7,6.7042
2012,5,8,6.9943
2012,5,9,6.4536
2012,5,10,6.5138
2012,5,11,6.9358
2012,5,12,5.1554
2012,5,13,4.7294
2012,5,14,2.7502
2012,5,15,3.3038
2012,5,16,4.0714
2012,5,17,5.1674
2012,5,18,6.12
2012,5,19,5.4523
