-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  16.75   longitude -93.11 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1034.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,5.5104
2011,1,2,2.5709
2011,1,3,3.0763
2011,1,4,5.2678
2011,1,5,5.526
2011,1,6,4.609
2011,1,7,5.3578
2011,1,8,5.3887
2011,1,9,5.5843
2011,1,10,5.5183
2011,1,11,3.3331
2011,1,12,2.9731
2011,1,13,3.2381
2011,1,14,4.3961
2011,1,15,5.219
2011,1,16,5.67
2011,1,17,5.5181
2011,1,18,5.8111
2011,1,19,4.3903
2011,1,20,5.6784
2011,1,21,4.2454
2011,1,22,2.9359
2011,1,23,5.5116
2011,1,24,5.4838
2011,1,25,5.5231
2011,1,26,3.0994
2011,1,27,3.2232
2011,1,28,3.4212
2011,1,29,5.3798
2011,1,30,5.8378
2011,1,31,5.7967
2011,2,1,6.0228
2011,2,2,3.2906
2011,2,3,3.1728
2011,2,4,4.0046
2011,2,5,4.4491
2011,2,6,5.9318
2011,2,7,4.6747
2011,2,8,4.11
2011,2,9,6.2227
2011,2,10,2.6954
2011,2,11,3.5258
2011,2,12,3.4406
2011,2,13,3.5376
2011,2,14,5.4566
2011,2,15,4.9541
2011,2,16,5.7744
2011,2,17,6.1166
2011,2,18,5.5594
2011,2,19,4.5667
2011,2,20,5.8106
2011,2,21,5.9549
2011,2,22,5.8433
2011,2,23,5.8027
2011,2,24,6.54
2011,2,25,6.461
2011,2,26,6.0636
2011,2,27,6.1884
2011,2,28,6.5496
2011,3,1,3.6986
2011,3,2,4.5442
2011,3,3,6.0106
2011,3,4,6.2676
2011,3,5,6.8558
2011,3,6,4.4179
2011,3,7,6.468
2011,3,8,6.8491
2011,3,9,6.9667
2011,3,10,4.4837
2011,3,11,4.0968
2011,3,12,6.7973
2011,3,13,6.7433
2011,3,14,6.6924
2011,3,15,5.9585
2011,3,16,5.3662
2011,3,17,5.1007
2011,3,18,6.3624
2011,3,19,6.3588
2011,3,20,6.7068
2011,3,21,5.9539
2011,3,22,7.3426
2011,3,23,6.6425
2011,3,24,6.7687
2011,3,25,6.1949
2011,3,26,6.9242
2011,3,27,7.2264
2011,3,28,6.913
2011,3,29,7.429
2011,3,30,7.3726
2011,3,31,7.2358
2011,4,1,6.8748
2011,4,2,6.4106
2011,4,3,6.8837
2011,4,4,6.8273
2011,4,5,4.8667
2011,4,6,6.4337
2011,4,7,6.8678
2011,4,8,6.295
2011,4,9,6.2095
2011,4,10,6.2748
2011,4,11,6.9106
2011,4,12,5.4379
2011,4,13,6.805
2011,4,14,6.5282
2011,4,15,3.4272
2011,4,16,5.5301
2011,4,17,4.6423
2011,4,18,5.4168
2011,4,19,3.2582
2011,4,20,4.2677
2011,4,21,5.6155
2011,4,22,6.2518
2011,4,23,6.7918
2011,4,24,7.0126
2011,4,25,7.2936
2011,4,26,6.5054
2011,4,27,5.1706
2011,4,28,6.1193
2011,4,29,5.329
2011,4,30,6.7625
2011,5,1,6.8059
2011,5,2,6.1802
2011,5,3,4.8768
2011,5,4,3.2297
2011,5,5,5.5032
2011,5,6,4.7338
2011,5,7,6.0979
2011,5,8,6.7423
2011,5,9,6.2962
2011,5,10,7.1309
2011,5,11,6.708
2011,5,12,6.9701
2011,5,13,6.2494
2011,5,14,5.9748
2011,5,15,5.9878
2011,5,16,5.5003
2011,5,17,4.8139
2011,5,18,5.7319
2011,5,19,7.0085
2011,5,20,7.0649
2011,5,21,7.4496
2011,5,22,6.6636
2011,5,23,6.6442
2011,5,24,7.0502
2011,5,25,7.2084
2011,5,26,6.1265
2011,5,27,5.9261
2011,5,28,5.6777
2011,5,29,6.5251
2011,5,30,5.9952
2011,5,31,5.9575
2011,6,1,4.2283
2011,6,2,6.5753
2011,6,3,6.2124
2011,6,4,4.1254
2011,6,5,3.4596
2011,6,6,6.5662
2011,6,7,6.7942
2011,6,8,5.5831
2011,6,9,5.5714
2011,6,10,6.0281
2011,6,11,6.5546
2011,6,12,6.0278
2011,6,13,6.1423
2011,6,14,5.9299
2011,6,15,6.5602
2011,6,16,5.3818
2011,6,17,4.8869
2011,6,18,4.6846
2011,6,19,2.6734
2011,6,20,4.141
2011,6,21,6.4471
2011,6,22,6.8484
2011,6,23,5.6782
2011,6,24,6.2818
2011,6,25,6.7147
2011,6,26,4.9248
2011,6,27,3.8076
2011,6,28,3.0094
2011,6,29,3.1582
2011,6,30,1.4904
2011,7,1,5.6611
2011,7,2,4.5619
2011,7,3,4.8814
2011,7,4,5.0098
2011,7,5,3.7056
2011,7,6,4.9555
2011,7,7,5.4022
2011,7,8,4.7918
2011,7,9,5.4787
2011,7,10,5.6429
2011,7,11,4.6795
2011,7,12,4.4165
2011,7,13,3.0907
2011,7,14,4.152
2011,7,15,4.4702
2011,7,16,4.6534
2011,7,17,5.423
2011,7,18,5.6326
2011,7,19,5.7214
2011,7,20,6.8242
2011,7,21,6.263
2011,7,22,6.6461
2011,7,23,5.9962
2011,7,24,6.7296
2011,7,25,6.6036
2011,7,26,6.6305
2011,7,27,6.2448
2011,7,28,5.4242
2011,7,29,5.3933
2011,7,30,5.2944
2011,7,31,5.4938
2011,8,1,4.4434
2011,8,2,3.7188
2011,8,3,6.0974
2011,8,4,6.504
2011,8,5,6.1452
2011,8,6,6.5971
2011,8,7,5.9064
2011,8,8,6.5707
2011,8,9,6.551
2011,8,10,7.2487
2011,8,11,6.9593
2011,8,12,5.9863
2011,8,13,6.3782
2011,8,14,6.0773
2011,8,15,4.1803
2011,8,16,5.5934
2011,8,17,6.2018
2011,8,18,6.3192
2011,8,19,6.5762
2011,8,20,5.5752
2011,8,21,3.2959
2011,8,22,5.8289
2011,8,23,5.8601
2011,8,24,5.7425
2011,8,25,6.0924
2011,8,26,5.1384
2011,8,27,4.4196
2011,8,28,4.9085
2011,8,29,4.56
2011,8,30,5.1852
2011,8,31,4.783
2011,9,1,3.9497
2011,9,2,6.4992
2011,9,3,5.6338
2011,9,4,4.4918
2011,9,5,4.9092
2011,9,6,3.4651
2011,9,7,3.39
2011,9,8,3.5311
2011,9,9,3.5107
2011,9,10,5.9309
2011,9,11,5.8361
2011,9,12,4.3742
2011,9,13,3.923
2011,9,14,4.5446
2011,9,15,5.117
2011,9,16,5.4461
2011,9,17,5.9237
2011,9,18,4.8794
2011,9,19,4.2598
2011,9,20,4.0111
2011,9,21,4.5338
2011,9,22,5.0338
2011,9,23,4.6817
2011,9,24,5.0297
2011,9,25,5.3422
2011,9,26,5.4386
2011,9,27,5.539
2011,9,28,4.7868
2011,9,29,5.1552
2011,9,30,4.5398
2011,10,1,3.8604
2011,10,2,3.4423
2011,10,3,4.5497
2011,10,4,3.15
2011,10,5,3.6566
2011,10,6,3.7457
2011,10,7,4.2809
2011,10,8,5.3825
2011,10,9,5.0424
2011,10,10,4.7815
2011,10,11,3.6115
2011,10,12,1.6682
2011,10,13,3.7769
2011,10,14,3.96
2011,10,15,2.587
2011,10,16,2.339
2011,10,17,2.3462
2011,10,18,4.5295
2011,10,19,3.4003
2011,10,20,5.1418
2011,10,21,6.3816
2011,10,22,6.0665
2011,10,23,6.5669
2011,10,24,6.3854
2011,10,25,5.9798
2011,10,26,6.373
2011,10,27,6.2945
2011,10,28,5.9666
2011,10,29,4.3099
2011,10,30,4.8929
2011,10,31,4.6596
2011,11,1,2.8694
2011,11,2,4.5082
2011,11,3,4.8974
2011,11,4,4.627
2011,11,5,5.6791
2011,11,6,5.4554
2011,11,7,4.2864
2011,11,8,5.5274
2011,11,9,5.0654
2011,11,10,3.1565
2011,11,11,3.3142
2011,11,12,5.1838
2011,11,13,5.9273
2011,11,14,5.899
2011,11,15,5.7934
2011,11,16,5.6297
2011,11,17,3.1685
2011,11,18,4.9164
2011,11,19,5.4588
2011,11,20,5.1257
2011,11,21,5.1641
2011,11,22,5.2841
2011,11,23,4.7479
2011,11,24,4.3601
2011,11,25,5.7996
2011,11,26,5.8157
2011,11,27,4.1858
2011,11,28,2.9098
2011,11,29,5.2061
2011,11,30,4.5238
2011,12,1,5.5754
2011,12,2,4.8612
2011,12,3,5.6698
2011,12,4,5.4811
2011,12,5,5.6465
2011,12,6,4.3978
2011,12,7,2.803
2011,12,8,3.336
2011,12,9,4.1554
2011,12,10,3.7709
2011,12,11,4.1765
2011,12,12,4.7381
2011,12,13,4.758
2011,12,14,4.6658
2011,12,15,5.3352
2011,12,16,3.5244
2011,12,17,5.0167
2011,12,18,4.3442
2011,12,19,5.4094
2011,12,20,5.4031
2011,12,21,5.0323
2011,12,22,5.3177
2011,12,23,4.0524
2011,12,24,3.8419
2011,12,25,3.4759
2011,12,26,3.0254
2011,12,27,3.2486
2011,12,28,3.3218
2011,12,29,4.0704
2011,12,30,5.4058
2011,12,31,4.3769
2012,1,1,4.2029
2012,1,2,3.9823
2012,1,3,3.4968
2012,1,4,5.1576
2012,1,5,3.2026
2012,1,6,5.4634
2012,1,7,5.5567
2012,1,8,5.4768
2012,1,9,5.4535
2012,1,10,5.1235
2012,1,11,4.4417
2012,1,12,5.2738
2012,1,13,3.1682
2012,1,14,2.6287
2012,1,15,3.576
2012,1,16,5.2286
2012,1,17,5.4127
2012,1,18,3.7738
2012,1,19,4.3354
2012,1,20,5.6902
2012,1,21,5.8411
2012,1,22,5.8322
2012,1,23,5.6818
2012,1,24,4.7712
2012,1,25,5.2565
2012,1,26,5.0122
2012,1,27,2.8433
2012,1,28,5.0321
2012,1,29,3.5738
2012,1,30,4.8137
2012,1,31,4.2658
2012,2,1,3.5203
2012,2,2,3.3689
2012,2,3,4.7846
2012,2,4,5.5214
2012,2,5,4.7765
2012,2,6,4.991
2012,2,7,3.3559
2012,2,8,1.4933
2012,2,9,4.1645
2012,2,10,2.9844
2012,2,11,3.2894
2012,2,12,3.7586
2012,2,13,6.0794
