-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  28.63   longitude -106.08 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1729.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.3601
2011,1,2,2.6808
2011,1,3,4.4119
2011,1,4,4.062
2011,1,5,3.528
2011,1,6,2.8426
2011,1,7,3.4728
2011,1,8,4.2982
2011,1,9,4.6342
2011,1,10,4.6982
2011,1,11,4.6538
2011,1,12,4.6327
2011,1,13,4.705
2011,1,14,4.7546
2011,1,15,4.5773
2011,1,16,4.2
2011,1,17,4.6447
2011,1,18,4.8161
2011,1,19,3.913
2011,1,20,4.8005
2011,1,21,4.9097
2011,1,22,4.9385
2011,1,23,4.9567
2011,1,24,5.051
2011,1,25,5.1168
2011,1,26,4.4402
2011,1,27,4.6186
2011,1,28,4.2634
2011,1,29,3.18
2011,1,30,5.1775
2011,1,31,5.2584
2011,2,1,5.4583
2011,2,2,5.3525
2011,2,3,2.9501
2011,2,4,5.561
2011,2,5,5.5994
2011,2,6,5.5447
2011,2,7,5.6177
2011,2,8,5.5301
2011,2,9,5.5838
2011,2,10,5.6952
2011,2,11,5.7511
2011,2,12,5.8894
2011,2,13,5.9467
2011,2,14,5.6928
2011,2,15,5.8198
2011,2,16,5.8788
2011,2,17,5.6616
2011,2,18,5.8555
2011,2,19,6.0578
2011,2,20,6.1733
2011,2,21,5.7154
2011,2,22,6.1824
2011,2,23,6.2957
2011,2,24,6.5047
2011,2,25,6.5556
2011,2,26,6.6067
2011,2,27,6.5503
2011,2,28,6.5054
2011,3,1,6.5117
2011,3,2,6.5398
2011,3,3,6.4039
2011,3,4,6.4937
2011,3,5,6.7651
2011,3,6,6.5042
2011,3,7,6.6974
2011,3,8,6.7634
2011,3,9,6.9432
2011,3,10,6.9449
2011,3,11,6.9691
2011,3,12,5.4026
2011,3,13,6.138
2011,3,14,7.1424
2011,3,15,7.1443
2011,3,16,7.2002
2011,3,17,6.6518
2011,3,18,6.9439
2011,3,19,7.2662
2011,3,20,5.1938
2011,3,21,4.2494
2011,3,22,7.5077
2011,3,23,7.5996
2011,3,24,7.1743
2011,3,25,7.7446
2011,3,26,7.6963
2011,3,27,7.909
2011,3,28,7.6147
2011,3,29,7.3075
2011,3,30,7.6207
2011,3,31,7.7016
2011,4,1,7.769
2011,4,2,7.3711
2011,4,3,7.369
2011,4,4,7.8398
2011,4,5,7.2406
2011,4,6,5.9594
2011,4,7,8.0201
2011,4,8,7.9582
2011,4,9,7.8835
2011,4,10,8.19
2011,4,11,8.3206
2011,4,12,7.9226
2011,4,13,6.5138
2011,4,14,8.4674
2011,4,15,8.3302
2011,4,16,8.1737
2011,4,17,8.3203
2011,4,18,8.1679
2011,4,19,8.4262
2011,4,20,8.5402
2011,4,21,8.3165
2011,4,22,8.6023
2011,4,23,5.6066
2011,4,24,8.4487
2011,4,25,8.4528
2011,4,26,8.6779
2011,4,27,8.6532
2011,4,28,8.616
2011,4,29,8.6892
2011,4,30,7.7371
2011,5,1,8.7331
2011,5,2,8.755
2011,5,3,7.9814
2011,5,4,5.0986
2011,5,5,5.4379
2011,5,6,6.8801
2011,5,7,8.6057
2011,5,8,8.0659
2011,5,9,7.2439
2011,5,10,8.4178
2011,5,11,8.9849
2011,5,12,9.1759
2011,5,13,8.2944
2011,5,14,8.5454
2011,5,15,9.0787
2011,5,16,9.1133
2011,5,17,9.0514
2011,5,18,8.857
2011,5,19,8.8258
2011,5,20,8.9256
2011,5,21,8.9263
2011,5,22,8.9364
2011,5,23,9.0581
2011,5,24,9.319
2011,5,25,9.3979
2011,5,26,9.061
2011,5,27,9.037
2011,5,28,8.9419
2011,5,29,8.9455
2011,5,30,8.826
2011,5,31,8.5961
2011,6,1,7.2403
2011,6,2,5.6318
2011,6,3,6.5827
2011,6,4,7.3032
2011,6,5,7.283
2011,6,6,7.3716
2011,6,7,7.3942
2011,6,8,7.1921
2011,6,9,8.5716
2011,6,10,8.9933
2011,6,11,8.935
2011,6,12,7.157
2011,6,13,6.6588
2011,6,14,7.8653
2011,6,15,7.5552
2011,6,16,7.614
2011,6,17,7.4568
2011,6,18,6.0662
2011,6,19,6.39
2011,6,20,8.6616
2011,6,21,8.5591
2011,6,22,8.2229
2011,6,23,8.707
2011,6,24,8.7406
2011,6,25,8.9143
2011,6,26,8.8447
2011,6,27,8.449
2011,6,28,8.6873
2011,6,29,8.275
2011,6,30,8.4802
2011,7,1,6.834
2011,7,2,3.8736
2011,7,3,6.0228
2011,7,4,6.2105
2011,7,5,8.0273
2011,7,6,7.8511
2011,7,7,7.8276
2011,7,8,8.0573
2011,7,9,7.7374
2011,7,10,5.7929
2011,7,11,5.0194
2011,7,12,4.8365
2011,7,13,6.2822
2011,7,14,7.7407
2011,7,15,7.6577
2011,7,16,7.4462
2011,7,17,7.0277
2011,7,18,6.427
2011,7,19,6.6958
2011,7,20,5.8711
2011,7,21,6.211
2011,7,22,5.9256
2011,7,23,3.9372
2011,7,24,5.2397
2011,7,25,6.8177
2011,7,26,7.1486
2011,7,27,6.4385
2011,7,28,6.5172
2011,7,29,6.2436
2011,7,30,7.2336
2011,7,31,6.2309
2011,8,1,8.0333
2011,8,2,8.1902
2011,8,3,6.8806
2011,8,4,7.0464
2011,8,5,7.4232
2011,8,6,6.8784
2011,8,7,7.4794
2011,8,8,7.3416
2011,8,9,6.9156
2011,8,10,6.7397
2011,8,11,7.7239
2011,8,12,7.1758
2011,8,13,5.2344
2011,8,14,4.253
2011,8,15,7.1664
2011,8,16,7.1815
2011,8,17,6.8206
2011,8,18,6.8527
2011,8,19,7.223
2011,8,20,6.9847
2011,8,21,7.5089
2011,8,22,7.3507
2011,8,23,7.0927
2011,8,24,6.882
2011,8,25,6.8789
2011,8,26,6.8767
2011,8,27,6.2213
2011,8,28,7.578
2011,8,29,7.253
2011,8,30,7.4014
2011,8,31,7.4021
2011,9,1,6.6984
2011,9,2,5.1038
2011,9,3,6.245
2011,9,4,6.1382
2011,9,5,5.712
2011,9,6,7.2502
2011,9,7,7.6598
2011,9,8,7.4263
2011,9,9,7.0519
2011,9,10,6.2633
2011,9,11,6.7567
2011,9,12,7.0795
2011,9,13,6.8369
2011,9,14,4.417
2011,9,15,5.5342
2011,9,16,6.0665
2011,9,17,6.2306
2011,9,18,6.4642
2011,9,19,6.1116
2011,9,20,5.6882
2011,9,21,5.6342
2011,9,22,5.4696
2011,9,23,6.4824
2011,9,24,6.8446
2011,9,25,5.2644
2011,9,26,5.268
2011,9,27,4.9183
2011,9,28,4.6558
2011,9,29,5.3131
2011,9,30,4.2866
2011,10,1,5.2306
2011,10,2,4.7561
2011,10,3,3.9439
2011,10,4,5.376
2011,10,5,6.4159
2011,10,6,6.6413
2011,10,7,6.5585
2011,10,8,6.1826
2011,10,9,6.5995
2011,10,10,6.3862
2011,10,11,6.2172
2011,10,12,6.2854
2011,10,13,6.2477
2011,10,14,6.1906
2011,10,15,6.1142
2011,10,16,6.0127
2011,10,17,6.0768
2011,10,18,6.0247
2011,10,19,5.9554
2011,10,20,5.8654
2011,10,21,5.6573
2011,10,22,5.3215
2011,10,23,5.5771
2011,10,24,5.0326
2011,10,25,4.5602
2011,10,26,4.6634
2011,10,27,5.7144
2011,10,28,5.7218
2011,10,29,5.2404
2011,10,30,5.531
2011,10,31,5.3126
2011,11,1,5.3578
2011,11,2,5.4142
2011,11,3,5.2315
2011,11,4,5.231
2011,11,5,5.2553
2011,11,6,5.3011
2011,11,7,5.273
2011,11,8,5.3527
2011,11,9,5.2361
2011,11,10,5.2078
2011,11,11,4.7146
2011,11,12,4.0318
2011,11,13,2.0232
2011,11,14,1.859
2011,11,15,4.9896
2011,11,16,5.0582
2011,11,17,4.9426
2011,11,18,4.9764
2011,11,19,4.7405
2011,11,20,4.7237
2011,11,21,4.8072
2011,11,22,4.9176
2011,11,23,4.8144
2011,11,24,3.7798
2011,11,25,4.4026
2011,11,26,4.8206
2011,11,27,4.9481
2011,11,28,4.8245
2011,11,29,4.6548
2011,11,30,4.6298
2011,12,1,3.2803
2011,12,2,2.6038
2011,12,3,3.847
2011,12,4,3.8381
2011,12,5,4.6656
2011,12,6,4.5686
2011,12,7,4.4069
2011,12,8,4.0956
2011,12,9,3.3024
2011,12,10,3.7399
2011,12,11,3.8734
2011,12,12,3.1006
2011,12,13,3.7159
2011,12,14,3.7363
2011,12,15,4.4134
2011,12,16,4.2566
2011,12,17,1.6534
2011,12,18,3.3077
2011,12,19,4.4762
2011,12,20,2.933
