-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  19.24   longitude -103.72 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 531.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.8096
2011,1,2,4.3716
2011,1,3,4.5936
2011,1,4,5.3129
2011,1,5,5.4086
2011,1,6,4.6375
2011,1,7,5.0594
2011,1,8,5.219
2011,1,9,5.5898
2011,1,10,5.5721
2011,1,11,5.2558
2011,1,12,4.9829
2011,1,13,4.8302
2011,1,14,4.8036
2011,1,15,5.2402
2011,1,16,5.8577
2011,1,17,5.9923
2011,1,18,5.9882
2011,1,19,5.8301
2011,1,20,5.814
2011,1,21,5.8123
2011,1,22,5.8327
2011,1,23,5.9458
2011,1,24,5.4355
2011,1,25,5.9594
2011,1,26,5.5771
2011,1,27,4.919
2011,1,28,5.5118
2011,1,29,5.2654
2011,1,30,6.0158
2011,1,31,6.1342
2011,2,1,5.5382
2011,2,2,5.9527
2011,2,3,3.4176
2011,2,4,5.7007
2011,2,5,4.8382
2011,2,6,6.1085
2011,2,7,5.4288
2011,2,8,6.1793
2011,2,9,6.1687
2011,2,10,6.0022
2011,2,11,6.3046
2011,2,12,6.0118
2011,2,13,5.9119
2011,2,14,6.4798
2011,2,15,6.4723
2011,2,16,6.4418
2011,2,17,6.444
2011,2,18,6.4176
2011,2,19,6.4471
2011,2,20,6.3547
2011,2,21,6.2362
2011,2,22,6.384
2011,2,23,6.133
2011,2,24,6.5796
2011,2,25,6.5957
2011,2,26,6.744
2011,2,27,6.9336
2011,2,28,6.9842
2011,3,1,6.4318
2011,3,2,6.7289
2011,3,3,7.0505
2011,3,4,7.0997
2011,3,5,7.1909
2011,3,6,7.1244
2011,3,7,7.3702
2011,3,8,7.5322
2011,3,9,7.4894
2011,3,10,6.8014
2011,3,11,5.9285
2011,3,12,6.864
2011,3,13,7.1354
2011,3,14,6.9804
2011,3,15,6.1087
2011,3,16,6.1397
2011,3,17,6.0322
2011,3,18,6.4858
2011,3,19,7.1719
2011,3,20,7.2055
2011,3,21,7.188
2011,3,22,7.3298
2011,3,23,7.4782
2011,3,24,7.3157
2011,3,25,7.3872
2011,3,26,7.441
2011,3,27,7.5091
2011,3,28,7.7762
2011,3,29,7.6459
2011,3,30,7.8523
2011,3,31,7.8564
2011,4,1,7.6738
2011,4,2,8.0342
2011,4,3,7.9318
2011,4,4,7.9298
2011,4,5,6.828
2011,4,6,7.2144
2011,4,7,7.003
2011,4,8,7.6752
2011,4,9,7.7006
2011,4,10,7.5902
2011,4,11,7.4616
2011,4,12,6.6163
2011,4,13,6.4726
2011,4,14,7.4578
2011,4,15,7.1455
2011,4,16,7.3601
2011,4,17,7.6008
2011,4,18,7.9174
2011,4,19,8.0429
2011,4,20,8.0117
2011,4,21,7.5346
2011,4,22,7.6829
2011,4,23,7.9507
2011,4,24,7.6814
2011,4,25,7.0181
2011,4,26,8.1314
2011,4,27,8.3326
2011,4,28,7.8182
2011,4,29,7.17
2011,4,30,7.4378
2011,5,1,7.4909
2011,5,2,7.8293
2011,5,3,6.816
2011,5,4,6.1303
2011,5,5,5.9426
2011,5,6,5.7446
2011,5,7,7.537
2011,5,8,5.4802
2011,5,9,6.9948
2011,5,10,7.0642
2011,5,11,7.3368
2011,5,12,7.9205
2011,5,13,8.1557
2011,5,14,7.7911
2011,5,15,7.751
2011,5,16,7.8869
2011,5,17,8.237
2011,5,18,7.8545
2011,5,19,7.7669
2011,5,20,7.9265
2011,5,21,7.9522
2011,5,22,7.1592
2011,5,23,7.7342
2011,5,24,7.5022
2011,5,25,7.2866
2011,5,26,7.6212
2011,5,27,7.7693
2011,5,28,7.9236
2011,5,29,7.8494
2011,5,30,7.5876
2011,5,31,7.361
2011,6,1,7.5509
2011,6,2,7.3846
2011,6,3,7.4861
2011,6,4,7.4294
2011,6,5,7.3495
2011,6,6,6.7706
2011,6,7,7.2984
2011,6,8,7.5571
2011,6,9,6.6559
2011,6,10,5.9371
2011,6,11,6.991
2011,6,12,6.0926
2011,6,13,7.1479
2011,6,14,6.5753
2011,6,15,5.7557
2011,6,16,5.4576
2011,6,17,6.5102
2011,6,18,6.5004
2011,6,19,6.0586
2011,6,20,4.4052
2011,6,21,2.561
2011,6,22,3.3996
2011,6,23,5.2658
2011,6,24,5.2483
2011,6,25,5.0268
2011,6,26,4.6229
2011,6,27,3.7378
2011,6,28,5.4197
2011,6,29,4.9265
2011,6,30,4.8286
2011,7,1,3.0067
2011,7,2,3.4272
2011,7,3,4.3411
2011,7,4,3.39
2011,7,5,4.8547
2011,7,6,5.6333
2011,7,7,3.8227
2011,7,8,5.6414
2011,7,9,3.827
2011,7,10,4.7453
2011,7,11,5.8438
2011,7,12,4.8425
2011,7,13,4.0574
2011,7,14,3.8222
2011,7,15,4.351
2011,7,16,4.1904
2011,7,17,3.9062
2011,7,18,5.1557
2011,7,19,6.1382
2011,7,20,5.1631
2011,7,21,6.1085
2011,7,22,7.4066
2011,7,23,6.3922
2011,7,24,5.7211
2011,7,25,5.6873
2011,7,26,5.9218
2011,7,27,5.1526
2011,7,28,6.8438
2011,7,29,4.8101
2011,7,30,5.2133
2011,7,31,6.5431
2011,8,1,6.4937
2011,8,2,5.526
2011,8,3,5.5044
2011,8,4,3.763
2011,8,5,6.1966
2011,8,6,5.6995
2011,8,7,6.0643
2011,8,8,6.7195
2011,8,9,6.245
2011,8,10,4.3334
2011,8,11,6.5268
2011,8,12,6.0936
2011,8,13,5.484
2011,8,14,5.6354
2011,8,15,5.7979
2011,8,16,5.6429
2011,8,17,5.5603
2011,8,18,6.6389
2011,8,19,5.3882
2011,8,20,6.3842
2011,8,21,6.4003
2011,8,22,5.5226
2011,8,23,3.8875
2011,8,24,5.4202
2011,8,25,5.9016
2011,8,26,4.1515
2011,8,27,6.5935
2011,8,28,4.4592
2011,8,29,5.0482
2011,8,30,5.9174
2011,8,31,2.8927
2011,9,1,1.9351
2011,9,2,3.7714
2011,9,3,3.1106
2011,9,4,4.1568
2011,9,5,4.1575
2011,9,6,5.0887
2011,9,7,6.1584
2011,9,8,7.0742
2011,9,9,7.2926
2011,9,10,7.4885
2011,9,11,6.5918
2011,9,12,5.5882
2011,9,13,6.4824
2011,9,14,6.6264
2011,9,15,4.5122
2011,9,16,4.0176
2011,9,17,5.6078
2011,9,18,6.245
2011,9,19,6.4987
2011,9,20,6.3667
2011,9,21,5.9417
2011,9,22,5.5673
2011,9,23,4.0387
2011,9,24,4.9454
2011,9,25,5.3995
2011,9,26,5.4583
2011,9,27,5.2615
2011,9,28,5.3947
2011,9,29,6.1298
2011,9,30,6.132
2011,10,1,5.9244
2011,10,2,6.1673
2011,10,3,5.8891
2011,10,4,5.8469
2011,10,5,5.7295
2011,10,6,5.185
2011,10,7,3.2405
2011,10,8,3.3449
2011,10,9,3.6406
2011,10,10,3.8798
2011,10,11,0.9905
2011,10,12,1.8389
2011,10,13,4.7477
2011,10,14,5.1101
2011,10,15,6.1846
2011,10,16,6.1435
2011,10,17,5.9892
2011,10,18,6.2942
2011,10,19,5.6347
2011,10,20,5.3995
2011,10,21,5.3405
2011,10,22,6.1711
2011,10,23,6.0408
2011,10,24,6.3833
2011,10,25,6.2573
2011,10,26,6.2081
