-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  23.22   longitude -106.42 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 90.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.829
2011,1,2,4.4609
2011,1,3,4.7002
2011,1,4,4.667
2011,1,5,4.3121
2011,1,6,3.7778
2011,1,7,3.7222
2011,1,8,3.3331
2011,1,9,5.2176
2011,1,10,5.1631
2011,1,11,5.1641
2011,1,12,4.837
2011,1,13,5.1811
2011,1,14,5.2162
2011,1,15,4.829
2011,1,16,5.2262
2011,1,17,5.1206
2011,1,18,5.129
2011,1,19,5.213
2011,1,20,5.2488
2011,1,21,5.3791
2011,1,22,5.3794
2011,1,23,5.2906
2011,1,24,5.3947
2011,1,25,5.5363
2011,1,26,4.553
2011,1,27,3.1786
2011,1,28,2.1058
2011,1,29,4.343
2011,1,30,5.5778
2011,1,31,3.2023
2011,2,1,5.4962
2011,2,2,5.8176
2011,2,3,5.6508
2011,2,4,5.9482
2011,2,5,6.0019
2011,2,6,6.0163
2011,2,7,6.0346
2011,2,8,5.9726
2011,2,9,5.573
2011,2,10,6.0643
2011,2,11,6.0113
2011,2,12,6.0425
2011,2,13,6.0005
2011,2,14,6.121
2011,2,15,6.1214
2011,2,16,5.801
2011,2,17,5.4994
2011,2,18,5.6273
2011,2,19,5.741
2011,2,20,6.3648
2011,2,21,6.3838
2011,2,22,6.3046
2011,2,23,6.3425
2011,2,24,6.557
2011,2,25,6.7843
2011,2,26,6.5652
2011,2,27,6.4958
2011,2,28,6.5393
2011,3,1,6.6372
2011,3,2,6.5225
2011,3,3,6.6785
2011,3,4,6.5294
2011,3,5,6.7166
2011,3,6,6.5484
2011,3,7,6.7498
2011,3,8,6.9766
2011,3,9,6.9096
2011,3,10,6.8839
2011,3,11,6.9372
2011,3,12,6.889
2011,3,13,5.9786
2011,3,14,7.3042
2011,3,15,7.1578
2011,3,16,6.9334
2011,3,17,6.0413
2011,3,18,7.0198
2011,3,19,7.0723
2011,3,20,6.5671
2011,3,21,6.7824
2011,3,22,7.2319
2011,3,23,7.4266
