-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  19.28   longitude -99.65 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,3.4613
2011,1,2,5.0326
2011,1,3,5.3441
2011,1,4,5.3532
2011,1,5,5.4437
2011,1,6,5.4343
2011,1,7,5.418
2011,1,8,5.1425
2011,1,9,5.6234
2011,1,10,5.4384
2011,1,11,5.0774
2011,1,12,5.3342
2011,1,13,4.7292
2011,1,14,5.2781
2011,1,15,3.8266
2011,1,16,5.5411
2011,1,17,5.6947
2011,1,18,5.9822
2011,1,19,5.8267
2011,1,20,5.8459
2011,1,21,5.7898
2011,1,22,5.5697
2011,1,23,5.8927
2011,1,24,5.5752
2011,1,25,5.8898
2011,1,26,5.6405
2011,1,27,5.3849
2011,1,28,4.933
2011,1,29,4.757
2011,1,30,5.9645
2011,1,31,6.1536
2011,2,1,5.4226
2011,2,2,5.9741
2011,2,3,4.4556
2011,2,4,4.0246
2011,2,5,3.7399
2011,2,6,4.4326
2011,2,7,5.9506
2011,2,8,5.9753
2011,2,9,6.427
2011,2,10,5.8894
2011,2,11,4.9906
2011,2,12,4.9102
2011,2,13,6.1063
2011,2,14,6.659
2011,2,15,6.522
2011,2,16,6.5834
2011,2,17,6.7346
2011,2,18,6.6739
2011,2,19,6.7198
2011,2,20,6.713
2011,2,21,6.2107
2011,2,22,6.486
2011,2,23,6.3398
2011,2,24,5.7857
2011,2,25,5.7821
2011,2,26,5.5966
2011,2,27,6.5974
2011,2,28,6.7718
2011,3,1,6.9847
2011,3,2,7.0685
2011,3,3,7.0678
2011,3,4,6.6516
2011,3,5,6.0137
2011,3,6,6.0302
2011,3,7,6.6391
2011,3,8,7.4198
2011,3,9,7.4234
2011,3,10,6.6881
2011,3,11,7.17
2011,3,12,6.8246
2011,3,13,6.0804
2011,3,14,5.2694
2011,3,15,4.1688
2011,3,16,6.3749
2011,3,17,6.8292
2011,3,18,7.3582
2011,3,19,7.409
2011,3,20,7.542
2011,3,21,7.8526
2011,3,22,7.5031
2011,3,23,7.3478
2011,3,24,7.7527
2011,3,25,7.4513
2011,3,26,6.9475
2011,3,27,6.6574
2011,3,28,6.9902
2011,3,29,6.1718
2011,3,30,6.8782
2011,3,31,7.3675
2011,4,1,6.42
2011,4,2,6.126
2011,4,3,6.5525
2011,4,4,6.8326
2011,4,5,7.273
2011,4,6,6.1099
2011,4,7,6.7207
2011,4,8,7.2816
2011,4,9,7.5994
2011,4,10,7.4633
2011,4,11,6.9094
2011,4,12,6.907
2011,4,13,7.4215
2011,4,14,6.8741
2011,4,15,5.305
2011,4,16,5.9412
2011,4,17,4.8823
2011,4,18,5.6057
2011,4,19,6.2282
2011,4,20,6.6331
2011,4,21,7.4558
2011,4,22,7.0392
2011,4,23,6.4591
2011,4,24,6.1368
2011,4,25,6.9466
2011,4,26,6.8681
2011,4,27,8.0222
2011,4,28,7.1722
2011,4,29,7.0627
2011,4,30,6.2635
2011,5,1,6.1618
2011,5,2,6.5909
2011,5,3,5.0671
2011,5,4,6.6302
2011,5,5,4.8038
2011,5,6,6.0418
2011,5,7,7.1006
2011,5,8,7.3668
2011,5,9,6.2352
2011,5,10,6.4325
2011,5,11,6.0888
2011,5,12,6.4987
2011,5,13,7.0872
2011,5,14,6.0396
2011,5,15,5.5558
2011,5,16,6.3802
2011,5,17,7.0135
2011,5,18,6.6742
2011,5,19,7.055
2011,5,20,6.9638
2011,5,21,6.5122
2011,5,22,6.4757
2011,5,23,7.0255
2011,5,24,7.7798
2011,5,25,7.3447
2011,5,26,6.5347
2011,5,27,6.9691
2011,5,28,7.715
2011,5,29,7.541
2011,5,30,6.972
2011,5,31,7.2264
2011,6,1,5.8711
2011,6,2,8.3095
2011,6,3,7.9776
2011,6,4,8.0477
2011,6,5,5.2817
2011,6,6,8.0424
2011,6,7,8.0311
2011,6,8,6.8045
2011,6,9,6.4366
2011,6,10,6.7416
2011,6,11,7.9003
2011,6,12,7.6178
2011,6,13,7.3385
2011,6,14,7.0375
2011,6,15,7.3781
2011,6,16,6.9278
2011,6,17,7.3272
2011,6,18,6.929
2011,6,19,7.4868
2011,6,20,4.6087
2011,6,21,3.3773
2011,6,22,4.0538
2011,6,23,4.254
2011,6,24,4.1294
2011,6,25,4.1654
2011,6,26,4.3558
2011,6,27,5.6352
2011,6,28,5.7473
2011,6,29,3.4685
2011,6,30,1.0675
2011,7,1,3.7958
2011,7,2,3.7589
2011,7,3,3.7354
2011,7,4,4.0994
2011,7,5,5.454
2011,7,6,5.2402
2011,7,7,4.4837
2011,7,8,4.315
2011,7,9,3.1817
2011,7,10,4.073
2011,7,11,5.0059
2011,7,12,5.4857
2011,7,13,3.959
2011,7,14,3.1066
2011,7,15,4.8264
2011,7,16,3.6814
2011,7,17,3.3156
2011,7,18,5.7031
2011,7,19,6.7402
2011,7,20,5.7725
2011,7,21,4.9106
2011,7,22,4.9368
2011,7,23,7.007
2011,7,24,5.7557
2011,7,25,6.3386
2011,7,26,5.1466
2011,7,27,4.8984
2011,7,28,5.55
2011,7,29,5.4158
2011,7,30,3.9365
2011,7,31,4.7323
2011,8,1,4.1693
2011,8,2,6.7433
2011,8,3,4.8871
2011,8,4,5.7607
2011,8,5,6.5062
2011,8,6,5.7043
2011,8,7,4.9469
2011,8,8,6.0665
2011,8,9,6.2124
2011,8,10,6.8177
2011,8,11,6.6557
2011,8,12,6.9305
2011,8,13,5.1499
2011,8,14,5.9962
2011,8,15,5.8354
2011,8,16,5.9306
2011,8,17,7.1885
2011,8,18,7.0706
2011,8,19,6.899
2011,8,20,6.444
2011,8,21,6.5179
2011,8,22,3.3967
2011,8,23,4.8554
2011,8,24,6.3912
2011,8,25,6.9002
2011,8,26,5.5457
2011,8,27,5.1281
2011,8,28,4.1489
2011,8,29,4.6082
2011,8,30,4.5842
2011,8,31,4.0963
2011,9,1,3.4457
2011,9,2,4.3262
2011,9,3,3.7087
2011,9,4,3.1265
2011,9,5,4.6603
2011,9,6,3.1934
2011,9,7,6.9329
2011,9,8,6.7303
2011,9,9,8.1197
2011,9,10,7.7009
2011,9,11,3.1442
2011,9,12,5.8783
2011,9,13,7.0034
2011,9,14,7.3582
2011,9,15,6.1303
2011,9,16,5.0772
2011,9,17,6.221
2011,9,18,7.1743
2011,9,19,6.9072
2011,9,20,6.505
2011,9,21,5.9177
2011,9,22,5.2567
2011,9,23,2.2834
2011,9,24,5.1821
2011,9,25,6.3022
2011,9,26,6.0631
2011,9,27,6.7008
2011,9,28,6.4399
2011,9,29,6.4649
2011,9,30,4.7422
2011,10,1,3.7723
2011,10,2,4.1285
2011,10,3,5.7235
2011,10,4,6.0706
2011,10,5,5.8987
2011,10,6,5.0323
2011,10,7,4.194
2011,10,8,4.8842
2011,10,9,3.7548
2011,10,10,3.2237
2011,10,11,3.3269
2011,10,12,4.1683
2011,10,13,3.1265
2011,10,14,5.9921
2011,10,15,6.7238
2011,10,16,6.3494
2011,10,17,6.474
2011,10,18,6.2141
2011,10,19,5.8846
2011,10,20,6.5506
2011,10,21,6.7608
2011,10,22,6.6698
2011,10,23,6.8477
2011,10,24,6.8827
2011,10,25,6.8849
2011,10,26,6.5035
2011,10,27,6.4702
2011,10,28,6.0614
2011,10,29,6.2746
2011,10,30,6.3655
2011,10,31,6.4121
2011,11,1,6.5338
2011,11,2,6.0463
2011,11,3,5.8685
2011,11,4,4.4755
2011,11,5,4.3937
2011,11,6,4.751
2011,11,7,4.5334
2011,11,8,4.674
2011,11,9,3.96
2011,11,10,3.6619
2011,11,11,4.5533
2011,11,12,4.9454
2011,11,13,5.3777
2011,11,14,5.3484
2011,11,15,5.9045
2011,11,16,5.7506
2011,11,17,4.2038
2011,11,18,4.0114
2011,11,19,4.8912
2011,11,20,4.9524
2011,11,21,4.9649
2011,11,22,5.1406
2011,11,23,4.7294
2011,11,24,5.4108
2011,11,25,5.2428
2011,11,26,2.3906
2011,11,27,2.2414
2011,11,28,5.4216
2011,11,29,5.8606
2011,11,30,5.7422
2011,12,1,5.6546
2011,12,2,5.5889
2011,12,3,5.5738
2011,12,4,5.4953
2011,12,5,5.4439
2011,12,6,5.1007
2011,12,7,5.3443
2011,12,8,5.1127
2011,12,9,5.1343
2011,12,10,5.1871
2011,12,11,5.1504
2011,12,12,5.3534
2011,12,13,5.4955
2011,12,14,5.4434
2011,12,15,5.2008
2011,12,16,4.8538
2011,12,17,3.8827
2011,12,18,5.1151
2011,12,19,5.2104
2011,12,20,5.2961
2011,12,21,5.3633
2011,12,22,5.2562
2011,12,23,5.2198
2011,12,24,5.2025
2011,12,25,4.8211
2011,12,26,4.9349
2011,12,27,4.9193
2011,12,28,4.6219
2011,12,29,3.9024
2011,12,30,4.2679
2011,12,31,3.5969
2012,1,1,4.469
2012,1,2,2.8404
2012,1,3,4.9363
2012,1,4,4.8473
2012,1,5,4.2514
2012,1,6,4.6805
2012,1,7,5.5591
2012,1,8,5.5334
2012,1,9,5.5951
2012,1,10,4.9051
2012,1,11,5.4079
2012,1,12,5.3335
2012,1,13,4.0322
2012,1,14,3.7152
2012,1,15,3.4044
2012,1,16,4.7299
2012,1,17,5.4014
2012,1,18,5.2166
2012,1,19,4.9855
2012,1,20,4.7285
2012,1,21,5.1509
2012,1,22,5.4038
2012,1,23,5.5207
2012,1,24,4.8782
2012,1,25,5.831
2012,1,26,5.0062
2012,1,27,5.5879
