-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  21.12   longitude -101.68 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1938.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,5.2217
2011,1,2,2.9537
2011,1,3,4.5528
2011,1,4,5.0518
2011,1,5,5.1319
2011,1,6,5.148
2011,1,7,4.7426
2011,1,8,5.1828
2011,1,9,5.5572
2011,1,10,5.6172
2011,1,11,4.7414
2011,1,12,4.5598
2011,1,13,4.8562
2011,1,14,5.3302
2011,1,15,5.0938
2011,1,16,5.7065
2011,1,17,5.8178
2011,1,18,5.7391
2011,1,19,5.7394
2011,1,20,5.4158
2011,1,21,5.6868
2011,1,22,5.8068
2011,1,23,5.9266
2011,1,24,5.7938
2011,1,25,5.7989
2011,1,26,5.4533
2011,1,27,4.8893
2011,1,28,5.196
2011,1,29,5.2274
2011,1,30,5.9815
2011,1,31,6.0485
2011,2,1,5.4982
2011,2,2,5.3299
2011,2,3,3.7454
2011,2,4,5.5711
2011,2,5,4.788
2011,2,6,6.4061
2011,2,7,6.1831
2011,2,8,6.215
2011,2,9,6.2393
2011,2,10,5.8274
2011,2,11,6.2532
2011,2,12,5.9033
2011,2,13,6.4272
2011,2,14,6.5861
2011,2,15,6.571
2011,2,16,6.5702
2011,2,17,6.5986
2011,2,18,6.5206
2011,2,19,6.5345
2011,2,20,6.7094
2011,2,21,6.7466
2011,2,22,6.749
2011,2,23,6.7327
2011,2,24,6.8335
2011,2,25,6.5095
2011,2,26,6.5436
2011,2,27,6.9881
2011,2,28,7.1215
2011,3,1,7.0498
2011,3,2,7.2569
2011,3,3,7.1194
2011,3,4,7.165
2011,3,5,7.1021
2011,3,6,6.7284
2011,3,7,7.3615
2011,3,8,7.5101
2011,3,9,7.4681
2011,3,10,7.2295
2011,3,11,6.6163
2011,3,12,6.7668
2011,3,13,7.0584
2011,3,14,5.9321
2011,3,15,5.9249
2011,3,16,5.9364
2011,3,17,6.0226
2011,3,18,6.4601
2011,3,19,7.3049
2011,3,20,7.2468
2011,3,21,7.5209
2011,3,22,7.6601
2011,3,23,7.0452
2011,3,24,7.3082
2011,3,25,7.7016
2011,3,26,7.705
2011,3,27,7.5734
2011,3,28,7.9951
2011,3,29,7.4203
2011,3,30,6.7649
2011,3,31,6.6569
2011,4,1,6.0706
2011,4,2,6.7015
2011,4,3,7.5876
2011,4,4,8.0813
2011,4,5,6.7961
2011,4,6,6.9773
2011,4,7,6.8285
2011,4,8,7.6932
2011,4,9,7.7798
2011,4,10,7.8442
2011,4,11,7.7402
2011,4,12,7.547
2011,4,13,6.4418
2011,4,14,7.1441
2011,4,15,6.263
2011,4,16,6.0367
2011,4,17,7.1666
2011,4,18,8.0246
2011,4,19,8.3158
2011,4,20,7.9296
2011,4,21,6.4169
2011,4,22,7.5374
2011,4,23,8.0902
2011,4,24,7.9994
2011,4,25,8.1283
2011,4,26,8.7122
2011,4,27,8.4914
2011,4,28,7.0562
2011,4,29,7.0212
2011,4,30,7.0769
2011,5,1,7.6313
2011,5,2,7.0414
2011,5,3,6.4745
2011,5,4,7.2948
2011,5,5,7.3613
2011,5,6,6.8597
2011,5,7,6.6898
2011,5,8,5.0556
2011,5,9,6.3475
2011,5,10,7.4198
2011,5,11,8.3194
2011,5,12,8.5481
2011,5,13,7.8938
2011,5,14,7.6349
2011,5,15,8.2056
2011,5,16,8.3086
2011,5,17,8.4955
2011,5,18,8.6436
2011,5,19,8.5702
2011,5,20,8.6563
2011,5,21,8.3273
2011,5,22,7.3387
2011,5,23,8.291
2011,5,24,8.0998
2011,5,25,7.943
2011,5,26,6.7505
2011,5,27,6.7214
2011,5,28,7.1856
2011,5,29,6.6881
2011,5,30,7.2221
2011,5,31,8.5282
2011,6,1,6.8582
2011,6,2,8.8176
2011,6,3,8.4084
2011,6,4,7.8739
2011,6,5,6.4822
2011,6,6,7.7316
2011,6,7,7.8996
2011,6,8,7.86
2011,6,9,7.5442
2011,6,10,6.9763
2011,6,11,7.7208
2011,6,12,8.3885
2011,6,13,8.2742
2011,6,14,8.1811
2011,6,15,7.3781
2011,6,16,8.291
2011,6,17,8.2349
2011,6,18,8.5646
2011,6,19,8.5565
2011,6,20,6.9814
2011,6,21,4.8346
2011,6,22,5.088
2011,6,23,5.9962
2011,6,24,4.3416
2011,6,25,6.085
2011,6,26,5.1394
2011,6,27,6.8011
2011,6,28,7.4378
2011,6,29,5.4842
2011,6,30,4.1573
2011,7,1,2.5046
2011,7,2,3.5947
2011,7,3,4.5341
2011,7,4,5.0342
2011,7,5,6.7498
2011,7,6,7.2506
2011,7,7,7.4021
2011,7,8,5.6266
2011,7,9,5.0561
2011,7,10,4.2377
2011,7,11,6.2194
2011,7,12,7.2845
2011,7,13,5.5838
2011,7,14,5.8781
2011,7,15,7.1801
2011,7,16,7.5617
2011,7,17,3.2124
2011,7,18,5.1917
2011,7,19,7.7088
2011,7,20,6.2681
2011,7,21,6.438
2011,7,22,5.094
2011,7,23,5.0098
2011,7,24,7.5761
2011,7,25,7.1702
2011,7,26,6.7829
2011,7,27,6.7793
2011,7,28,6.0972
2011,7,29,6.181
2011,7,30,4.5233
2011,7,31,5.4
