-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  20.1   longitude -98.75 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2338.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,3.0919
2011,1,2,3.2455
2011,1,3,4.746
2011,1,4,4.9562
2011,1,5,5.035
2011,1,6,4.9097
2011,1,7,5.1089
2011,1,8,4.7914
2011,1,9,4.6606
2011,1,10,4.9042
2011,1,11,2.7864
2011,1,12,2.6801
2011,1,13,2.633
2011,1,14,3.7673
2011,1,15,3.8424
2011,1,16,4.5427
2011,1,17,5.292
2011,1,18,5.6093
2011,1,19,5.4581
2011,1,20,5.6088
2011,1,21,3.8683
2011,1,22,4.1035
2011,1,23,5.5555
2011,1,24,4.9452
2011,1,25,4.1592
2011,1,26,3.5059
2011,1,27,3.4118
2011,1,28,3.5861
2011,1,29,4.4825
2011,1,30,5.5589
2011,1,31,5.7132
2011,2,1,5.0124
2011,2,2,3.499
2011,2,3,3.373
2011,2,4,3.2698
2011,2,5,3.3828
2011,2,6,4.9078
2011,2,7,4.3958
2011,2,8,5.7326
2011,2,9,5.977
2011,2,10,3.9554
2011,2,11,3.8498
2011,2,12,2.3762
2011,2,13,3.8971
2011,2,14,6.2374
2011,2,15,6.1543
2011,2,16,6.2038
2011,2,17,6.3449
2011,2,18,5.8884
2011,2,19,5.4598
2011,2,20,5.9422
2011,2,21,6.3487
2011,2,22,6.1265
2011,2,23,5.567
2011,2,24,6.0881
2011,2,25,5.191
2011,2,26,5.1778
2011,2,27,6.2722
2011,2,28,5.933
2011,3,1,6.8695
2011,3,2,6.8287
2011,3,3,6.7325
2011,3,4,6.7934
2011,3,5,4.7076
2011,3,6,5.9698
2011,3,7,6.5297
2011,3,8,7.0704
2011,3,9,7.0181
2011,3,10,5.8838
2011,3,11,7.1969
2011,3,12,7.1602
2011,3,13,6.7654
2011,3,14,5.7619
2011,3,15,5.0825
2011,3,16,5.8697
2011,3,17,6.229
2011,3,18,5.7893
2011,3,19,6.0408
2011,3,20,6.0307
2011,3,21,7.1177
2011,3,22,6.6953
2011,3,23,7.1177
2011,3,24,6.9238
2011,3,25,7.3224
2011,3,26,7.0157
2011,3,27,6.9686
2011,3,28,6.7025
2011,3,29,5.665
2011,3,30,5.6455
2011,3,31,6.9178
2011,4,1,5.1134
2011,4,2,5.4166
2011,4,3,6.4498
2011,4,4,7.038
2011,4,5,7.1998
2011,4,6,7.3368
2011,4,7,7.5235
2011,4,8,7.3354
2011,4,9,7.1362
2011,4,10,7.3774
2011,4,11,5.8654
2011,4,12,7.5101
2011,4,13,7.6243
2011,4,14,7.3853
2011,4,15,6.0638
2011,4,16,3.2059
2011,4,17,5.695
2011,4,18,6.9434
2011,4,19,7.123
2011,4,20,7.2768
2011,4,21,6.4486
2011,4,22,6.6766
2011,4,23,6.2174
2011,4,24,6.5021
2011,4,25,6.8328
2011,4,26,6.7015
2011,4,27,7.9452
2011,4,28,7.3824
2011,4,29,7.3894
2011,4,30,7.133
2011,5,1,6.865
2011,5,2,6.1534
2011,5,3,2.5207
2011,5,4,5.4982
2011,5,5,6.8153
2011,5,6,6.3504
2011,5,7,7.6354
2011,5,8,7.5684
2011,5,9,7.1717
2011,5,10,7.0565
2011,5,11,6.5395
2011,5,12,6.9636
2011,5,13,6.0079
2011,5,14,4.8924
2011,5,15,4.5146
2011,5,16,4.651
2011,5,17,5.5258
2011,5,18,6.9077
2011,5,19,6.8268
2011,5,20,7.2062
2011,5,21,6.7332
2011,5,22,6.3454
2011,5,23,7.4477
2011,5,24,7.6145
2011,5,25,7.6949
2011,5,26,6.5302
2011,5,27,6.8988
2011,5,28,7.7645
2011,5,29,7.272
2011,5,30,6.3941
2011,5,31,6.2575
2011,6,1,4.3003
2011,6,2,7.945
2011,6,3,7.6915
2011,6,4,6.9442
2011,6,5,4.4153
2011,6,6,7.4712
2011,6,7,7.4546
2011,6,8,6.99
2011,6,9,6.6614
2011,6,10,6.9622
2011,6,11,7.3195
2011,6,12,7.2799
2011,6,13,7.0476
2011,6,14,6.7284
2011,6,15,7.2029
2011,6,16,6.8186
2011,6,17,7.1258
2011,6,18,6.3938
2011,6,19,6.9946
2011,6,20,5.483
2011,6,21,3.7874
2011,6,22,3.4051
2011,6,23,4.4705
2011,6,24,4.7899
2011,6,25,4.1527
2011,6,26,4.3752
2011,6,27,5.6297
2011,6,28,3.7961
2011,6,29,2.3309
2011,6,30,1.1326
2011,7,1,2.6174
2011,7,2,2.681
2011,7,3,3.2806
2011,7,4,6.0718
2011,7,5,5.957
2011,7,6,5.8824
2011,7,7,6.8962
2011,7,8,5.514
2011,7,9,4.6378
2011,7,10,4.0956
2011,7,11,4.727
2011,7,12,5.633
2011,7,13,2.8896
2011,7,14,3.5534
2011,7,15,4.6385
2011,7,16,3.8758
2011,7,17,2.8349
2011,7,18,4.8732
2011,7,19,6.5496
2011,7,20,5.7082
2011,7,21,6.1363
2011,7,22,5.796
2011,7,23,7.0646
2011,7,24,6.1339
2011,7,25,6.8064
2011,7,26,6.6026
2011,7,27,6.0526
2011,7,28,5.8596
2011,7,29,4.9997
2011,7,30,4.4215
2011,7,31,3.4764
2011,8,1,3.5002
2011,8,2,5.6498
2011,8,3,3.9418
2011,8,4,4.7767
2011,8,5,6.5503
2011,8,6,6.0046
2011,8,7,5.4998
2011,8,8,6.4442
2011,8,9,6.353
2011,8,10,6.7195
2011,8,11,6.336
2011,8,12,6.625
2011,8,13,6.2635
2011,8,14,6.4193
2011,8,15,5.9609
2011,8,16,6.2477
2011,8,17,7.327
2011,8,18,6.9492
2011,8,19,7.3646
2011,8,20,6.8354
2011,8,21,4.7105
2011,8,22,3.7152
2011,8,23,4.7957
2011,8,24,6.7452
2011,8,25,6.8318
2011,8,26,6.1207
2011,8,27,5.9477
2011,8,28,5.4953
2011,8,29,5.0088
2011,8,30,4.1105
2011,8,31,4.5842
2011,9,1,4.4561
2011,9,2,5.4689
2011,9,3,5.1756
2011,9,4,4.1105
2011,9,5,4.525
2011,9,6,1.8564
2011,9,7,6.2786
2011,9,8,6.8131
2011,9,9,7.7962
2011,9,10,7.2857
2011,9,11,2.0294
2011,9,12,5.7252
2011,9,13,6.948
2011,9,14,7.0954
2011,9,15,5.509
2011,9,16,4.7328
2011,9,17,6.1615
2011,9,18,6.349
2011,9,19,6.546
2011,9,20,6.5621
2011,9,21,5.8344
2011,9,22,5.483
2011,9,23,4.4726
2011,9,24,5.941
2011,9,25,6.7687
2011,9,26,6.87
2011,9,27,6.8018
2011,9,28,6.1836
2011,9,29,6.2261
2011,9,30,3.5818
2011,10,1,2.4197
2011,10,2,2.4142
2011,10,3,4.5658
2011,10,4,3.841
2011,10,5,5.0054
2011,10,6,4.9128
2011,10,7,3.995
2011,10,8,4.9291
2011,10,9,3.8242
2011,10,10,2.55
