-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  20.67   longitude -103.35 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1655.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,5.1566
2011,1,2,3.732
2011,1,3,4.6884
2011,1,4,5.1698
2011,1,5,5.3002
2011,1,6,4.8065
2011,1,7,4.8684
2011,1,8,5.0959
2011,1,9,5.4694
2011,1,10,5.514
2011,1,11,4.7642
2011,1,12,5.185
2011,1,13,4.8814
2011,1,14,5.1962
2011,1,15,5.2126
2011,1,16,5.8296
2011,1,17,5.857
2011,1,18,5.8387
2011,1,19,5.7223
2011,1,20,5.6705
2011,1,21,5.7494
2011,1,22,5.8344
2011,1,23,5.9549
2011,1,24,5.6306
2011,1,25,5.9374
2011,1,26,5.4329
2011,1,27,4.9759
2011,1,28,5.4946
2011,1,29,5.0674
2011,1,30,5.9966
2011,1,31,5.9376
2011,2,1,5.2094
2011,2,2,5.8361
2011,2,3,3.3974
2011,2,4,5.5766
2011,2,5,5.2222
2011,2,6,6.2297
2011,2,7,5.3962
2011,2,8,6.2062
2011,2,9,6.1414
2011,2,10,6.1001
2011,2,11,6.3576
2011,2,12,6.2177
2011,2,13,6.157
2011,2,14,6.4752
2011,2,15,6.5045
2011,2,16,6.5146
2011,2,17,6.5554
2011,2,18,6.5765
2011,2,19,6.523
2011,2,20,6.5791
2011,2,21,6.4889
2011,2,22,6.6197
2011,2,23,6.5666
2011,2,24,6.6631
2011,2,25,6.6881
2011,2,26,6.7591
2011,2,27,6.9612
2011,2,28,7.0152
2011,3,1,6.642
2011,3,2,6.9749
2011,3,3,7.0781
2011,3,4,7.0056
2011,3,5,7.2312
2011,3,6,7.0692
2011,3,7,7.3723
2011,3,8,7.4962
2011,3,9,7.4222
2011,3,10,6.8402
2011,3,11,6.2522
2011,3,12,7.0822
2011,3,13,7.2598
2011,3,14,7.0567
2011,3,15,6.0588
2011,3,16,5.9609
2011,3,17,6.0415
2011,3,18,6.6408
2011,3,19,7.2355
2011,3,20,7.3145
2011,3,21,7.3572
2011,3,22,7.3997
2011,3,23,7.6058
2011,3,24,7.5526
2011,3,25,7.6615
2011,3,26,7.5204
2011,3,27,7.5235
2011,3,28,7.9238
2011,3,29,7.4582
2011,3,30,7.201
2011,3,31,6.797
2011,4,1,7.5336
2011,4,2,7.9162
2011,4,3,8.011
2011,4,4,7.9608
2011,4,5,7.1318
