-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  19.7   longitude -101.19 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1879.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.2466
2011,1,2,4.7626
2011,1,3,4.2972
2011,1,4,5.316
2011,1,5,5.3861
2011,1,6,5.3206
2011,1,7,5.2572
2011,1,8,5.1218
2011,1,9,5.6441
2011,1,10,5.5469
2011,1,11,5.4883
2011,1,12,5.2843
2011,1,13,5.1523
2011,1,14,5.0887
2011,1,15,4.1261
2011,1,16,5.7562
2011,1,17,5.9599
2011,1,18,5.987
2011,1,19,5.837
2011,1,20,5.857
2011,1,21,5.8174
2011,1,22,5.8764
2011,1,23,5.9438
2011,1,24,5.7379
2011,1,25,6.0137
2011,1,26,5.4986
2011,1,27,5.429
2011,1,28,5.4024
2011,1,29,5.1804
2011,1,30,6.065
2011,1,31,6.1644
2011,2,1,5.574
2011,2,2,6.047
2011,2,3,3.6946
2011,2,4,4.8989
2011,2,5,3.8381
2011,2,6,5.8027
2011,2,7,5.9119
2011,2,8,6.0202
2011,2,9,6.2189
2011,2,10,5.2723
2011,2,11,5.6446
2011,2,12,5.5975
2011,2,13,5.8718
2011,2,14,6.5822
2011,2,15,6.6557
2011,2,16,6.5916
2011,2,17,6.5976
2011,2,18,6.6538
2011,2,19,6.5021
2011,2,20,6.5731
2011,2,21,6.1502
2011,2,22,6.5774
2011,2,23,6.2374
2011,2,24,6.2141
2011,2,25,6.3696
2011,2,26,6.6521
2011,2,27,6.9749
2011,2,28,6.9811
2011,3,1,6.1502
2011,3,2,6.9053
2011,3,3,7.0817
2011,3,4,6.9206
2011,3,5,6.859
2011,3,6,6.9293
2011,3,7,7.3234
2011,3,8,7.5161
2011,3,9,7.5847
2011,3,10,6.4639
2011,3,11,6.2069
2011,3,12,6.5633
2011,3,13,6.5753
2011,3,14,6.2506
2011,3,15,5.1806
2011,3,16,6.2285
2011,3,17,6.3991
2011,3,18,6.7476
2011,3,19,7.271
2011,3,20,7.3709
2011,3,21,7.3183
2011,3,22,7.4328
2011,3,23,7.2571
2011,3,24,7.3188
2011,3,25,7.5422
2011,3,26,6.9739
2011,3,27,7.5168
2011,3,28,7.4995
2011,3,29,7.0658
2011,3,30,7.6745
2011,3,31,7.673
2011,4,1,7.2578
2011,4,2,7.8446
2011,4,3,7.7064
2011,4,4,7.5562
2011,4,5,6.9554
2011,4,6,7.0176
2011,4,7,6.6494
2011,4,8,7.4546
2011,4,9,7.7213
2011,4,10,7.3769
2011,4,11,7.3848
2011,4,12,6.2676
2011,4,13,6.492
2011,4,14,7.399
2011,4,15,6.7901
2011,4,16,6.1735
2011,4,17,6.2556
2011,4,18,7.0656
2011,4,19,7.7803
2011,4,20,7.4285
2011,4,21,6.7646
