-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  18.92   longitude -99.23 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2067.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.5679
2011,1,2,5.2517
2011,1,3,5.2944
2011,1,4,5.4127
2011,1,5,5.4139
2011,1,6,5.25
2011,1,7,5.2805
2011,1,8,5.0806
2011,1,9,5.4458
2011,1,10,5.6676
2011,1,11,5.4214
2011,1,12,5.5493
2011,1,13,5.316
2011,1,14,5.5366
2011,1,15,4.7726
2011,1,16,5.5994
2011,1,17,5.7298
2011,1,18,5.107
2011,1,19,5.7708
2011,1,20,5.8373
2011,1,21,5.772
2011,1,22,5.8277
2011,1,23,5.8582
2011,1,24,5.539
2011,1,25,5.9964
2011,1,26,5.8099
2011,1,27,5.8574
2011,1,28,5.273
2011,1,29,4.872
2011,1,30,5.8939
2011,1,31,6.1111
2011,2,1,5.9971
2011,2,2,5.9194
2011,2,3,4.9164
2011,2,4,4.0037
2011,2,5,4.5151
2011,2,6,5.1732
2011,2,7,6.0434
2011,2,8,5.7338
2011,2,9,6.2366
2011,2,10,5.5416
2011,2,11,5.9513
2011,2,12,5.7775
2011,2,13,6.2681
2011,2,14,6.3151
2011,2,15,6.3602
2011,2,16,6.4255
2011,2,17,6.5453
2011,2,18,6.5808
2011,2,19,6.6862
2011,2,20,6.6605
2011,2,21,6.605
2011,2,22,6.5208
2011,2,23,6.1385
2011,2,24,6.407
2011,2,25,6.4601
2011,2,26,6.4716
2011,2,27,6.8832
2011,2,28,6.6643
2011,3,1,6.7046
2011,3,2,7.0123
2011,3,3,6.9998
2011,3,4,6.9146
2011,3,5,6.7006
2011,3,6,6.1793
2011,3,7,6.7946
2011,3,8,7.3382
2011,3,9,7.3978
2011,3,10,6.4339
2011,3,11,7.2161
2011,3,12,7.0548
2011,3,13,7.0742
2011,3,14,6.505
2011,3,15,5.9645
2011,3,16,6.7308
2011,3,17,7.0361
2011,3,18,7.1246
2011,3,19,7.181
2011,3,20,7.3262
2011,3,21,7.465
2011,3,22,7.0006
2011,3,23,7.3495
2011,3,24,7.6154
2011,3,25,7.4429
2011,3,26,7.3327
2011,3,27,7.3548
2011,3,28,7.3474
2011,3,29,7.1299
2011,3,30,7.4753
2011,3,31,7.8096
2011,4,1,7.6236
2011,4,2,7.6627
2011,4,3,7.5492
2011,4,4,7.4249
2011,4,5,6.9886
2011,4,6,7.0879
2011,4,7,7.4309
2011,4,8,7.2122
2011,4,9,7.1059
2011,4,10,6.9552
2011,4,11,6.2448
2011,4,12,6.7382
2011,4,13,7.3253
2011,4,14,7.3229
2011,4,15,6.5134
2011,4,16,6.7505
2011,4,17,6.7946
2011,4,18,7.0171
2011,4,19,7.4093
2011,4,20,7.6188
2011,4,21,7.5074
2011,4,22,7.4357
2011,4,23,7.2062
2011,4,24,6.8309
2011,4,25,6.984
2011,4,26,6.8885
2011,4,27,7.8247
2011,4,28,7.4938
2011,4,29,7.5526
2011,4,30,7.2019
2011,5,1,6.6127
2011,5,2,7.1878
2011,5,3,6.7291
2011,5,4,7.6109
2011,5,5,6.2071
2011,5,6,6.3792
2011,5,7,7.1107
2011,5,8,7.1021
2011,5,9,7.1873
2011,5,10,7.2367
2011,5,11,6.5762
2011,5,12,6.4337
2011,5,13,6.8482
2011,5,14,6.6094
2011,5,15,6.403
2011,5,16,7.0798
2011,5,17,7.2418
2011,5,18,7.3949
2011,5,19,7.223
2011,5,20,7.5134
2011,5,21,6.8642
2011,5,22,6.8914
2011,5,23,6.9319
2011,5,24,7.4813
2011,5,25,7.5254
2011,5,26,6.8935
2011,5,27,7.3289
2011,5,28,7.524
2011,5,29,7.4088
2011,5,30,6.4111
2011,5,31,6.7471
2011,6,1,7.1626
2011,6,2,7.4702
2011,6,3,7.1976
2011,6,4,7.0226
2011,6,5,6.4262
2011,6,6,7.0068
2011,6,7,7.2509
2011,6,8,6.8246
2011,6,9,6.2688
2011,6,10,6.1848
2011,6,11,7.2396
2011,6,12,6.6617
2011,6,13,6.8378
2011,6,14,5.0338
2011,6,15,7.0942
2011,6,16,7.1196
2011,6,17,7.6706
2011,6,18,7.3219
2011,6,19,7.5643
2011,6,20,3.8174
2011,6,21,2.7814
2011,6,22,5.1962
2011,6,23,6.1207
2011,6,24,4.8624
2011,6,25,5.6158
2011,6,26,5.2531
2011,6,27,5.8745
2011,6,28,6.4848
2011,6,29,3.8738
2011,6,30,1.6716
2011,7,1,3.5683
2011,7,2,5.2253
2011,7,3,6.0065
2011,7,4,4.8158
2011,7,5,7.0841
2011,7,6,6.1651
2011,7,7,6.419
2011,7,8,5.9462
2011,7,9,3.9281
2011,7,10,6.215
2011,7,11,5.7636
2011,7,12,6.4337
2011,7,13,5.5013
2011,7,14,4.2643
2011,7,15,6.3874
2011,7,16,5.3148
2011,7,17,4.295
2011,7,18,5.9429
2011,7,19,7.1186
2011,7,20,6.8947
2011,7,21,6.5326
2011,7,22,6.7145
2011,7,23,7.7323
2011,7,24,6.9526
2011,7,25,7.6634
