-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  21.5   longitude -104.9 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 498.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.8108
2011,1,2,4.9882
2011,1,3,4.4354
2011,1,4,4.7508
2011,1,5,4.4806
2011,1,6,4.3049
2011,1,7,4.8125
2011,1,8,4.8528
2011,1,9,5.5154
2011,1,10,5.4934
2011,1,11,5.1674
2011,1,12,4.68
2011,1,13,5.1557
2011,1,14,5.3352
2011,1,15,5.4156
2011,1,16,5.6892
2011,1,17,5.7406
2011,1,18,5.6827
2011,1,19,5.6551
2011,1,20,5.6129
2011,1,21,5.6347
2011,1,22,5.8541
2011,1,23,5.8354
2011,1,24,5.7581
2011,1,25,5.6995
2011,1,26,5.2039
2011,1,27,5.1718
2011,1,28,4.8876
2011,1,29,5.6436
2011,1,30,5.905
2011,1,31,5.7535
2011,2,1,5.569
2011,2,2,4.872
2011,2,3,3.7034
2011,2,4,5.9482
2011,2,5,5.4125
2011,2,6,6.3967
2011,2,7,5.6023
2011,2,8,6.1387
2011,2,9,6.1051
2011,2,10,6.2954
2011,2,11,6.263
2011,2,12,6.3871
2011,2,13,6.3415
2011,2,14,6.4642
2011,2,15,6.4579
2011,2,16,6.4486
2011,2,17,6.4037
2011,2,18,6.413
2011,2,19,6.4685
2011,2,20,6.5964
2011,2,21,6.6444
2011,2,22,6.5138
2011,2,23,6.6113
2011,2,24,6.7337
2011,2,25,6.8474
2011,2,26,6.7241
2011,2,27,6.7541
2011,2,28,6.9619
2011,3,1,6.8683
2011,3,2,6.9857
2011,3,3,6.9864
2011,3,4,7.0447
2011,3,5,7.1158
2011,3,6,7.0416
2011,3,7,7.225
2011,3,8,7.3445
2011,3,9,7.3673
2011,3,10,6.847
2011,3,11,6.6869
2011,3,12,7.2386
2011,3,13,7.2619
2011,3,14,7.3274
2011,3,15,7.1818
2011,3,16,6.8628
2011,3,17,6.1826
2011,3,18,7.0874
2011,3,19,7.224
2011,3,20,7.1122
2011,3,21,7.2648
2011,3,22,7.4558
2011,3,23,7.6231
2011,3,24,7.6502
2011,3,25,7.704
2011,3,26,7.4198
2011,3,27,7.525
2011,3,28,7.7981
2011,3,29,6.8186
2011,3,30,6.1193
2011,3,31,6.9725
2011,4,1,8.0479
2011,4,2,7.9325
2011,4,3,8.0678
2011,4,4,8.0854
2011,4,5,7.6044
2011,4,6,7.2586
2011,4,7,7.1244
2011,4,8,7.873
2011,4,9,7.529
2011,4,10,7.6212
2011,4,11,8.0635
2011,4,12,7.6656
2011,4,13,7.4117
2011,4,14,7.5199
2011,4,15,7.3022
2011,4,16,7.7114
2011,4,17,7.8338
2011,4,18,7.9409
2011,4,19,8.3556
2011,4,20,8.5277
2011,4,21,8.393
2011,4,22,8.1715
2011,4,23,8.2531
2011,4,24,8.1763
2011,4,25,8.0832
2011,4,26,8.5474
2011,4,27,8.5037
2011,4,28,8.3676
2011,4,29,7.3181
2011,4,30,7.9164
2011,5,1,8.0798
2011,5,2,7.669
2011,5,3,6.4819
2011,5,4,6.5866
2011,5,5,7.3147
2011,5,6,6.4836
2011,5,7,8.0172
2011,5,8,8.0141
2011,5,9,7.7479
2011,5,10,7.7119
2011,5,11,8.3297
2011,5,12,8.5092
2011,5,13,8.5783
2011,5,14,8.2162
2011,5,15,8.3959
2011,5,16,8.4984
2011,5,17,8.6028
2011,5,18,8.6026
2011,5,19,8.3923
2011,5,20,8.3136
2011,5,21,8.3942
2011,5,22,8.1737
2011,5,23,8.346
2011,5,24,8.2848
2011,5,25,7.9618
2011,5,26,7.8605
2011,5,27,7.7422
2011,5,28,7.974
2011,5,29,7.8804
2011,5,30,8.0717
2011,5,31,7.8494
2011,6,1,8.1941
2011,6,2,7.4196
2011,6,3,7.7659
2011,6,4,7.8593
2011,6,5,7.5938
2011,6,6,7.1868
2011,6,7,7.3747
2011,6,8,7.9049
2011,6,9,7.6934
2011,6,10,7.3781
2011,6,11,7.2062
2011,6,12,7.0277
2011,6,13,7.1318
2011,6,14,7.1606
2011,6,15,7.4158
2011,6,16,7.4198
2011,6,17,7.505
2011,6,18,7.7923
2011,6,19,7.4851
2011,6,20,5.7866
2011,6,21,4.3531
2011,6,22,4.0956
2011,6,23,5.9849
2011,6,24,6.1978
2011,6,25,6.8741
2011,6,26,7.3342
2011,6,27,5.329
2011,6,28,6.743
2011,6,29,4.7544
2011,6,30,5.8258
2011,7,1,4.5209
2011,7,2,4.1148
2011,7,3,3.8395
2011,7,4,3.4075
2011,7,5,3.359
2011,7,6,6.45
2011,7,7,6.3434
2011,7,8,5.3196
2011,7,9,5.0278
2011,7,10,3.9547
2011,7,11,5.9179
2011,7,12,6.3286
2011,7,13,5.6342
2011,7,14,5.7622
2011,7,15,6.2287
2011,7,16,7.5581
2011,7,17,4.8823
2011,7,18,4.7028
2011,7,19,7.4426
2011,7,20,6.7709
2011,7,21,6.3242
2011,7,22,7.0877
2011,7,23,5.2145
2011,7,24,7.3646
2011,7,25,7.5202
2011,7,26,5.8819
2011,7,27,6.7906
2011,7,28,6.2354
2011,7,29,5.0678
2011,7,30,5.7288
2011,7,31,6.637
2011,8,1,7.103
2011,8,2,7.1304
2011,8,3,5.5286
2011,8,4,5.3777
2011,8,5,6.5458
2011,8,6,6.8652
2011,8,7,7.2283
2011,8,8,6.5126
2011,8,9,7.2036
2011,8,10,5.3993
2011,8,11,6.0588
2011,8,12,6.8059
2011,8,13,6.6305
2011,8,14,7.0685
2011,8,15,7.2454
2011,8,16,6.0982
2011,8,17,7.3049
2011,8,18,6.8194
2011,8,19,6.4169
2011,8,20,6.1711
2011,8,21,6.4046
2011,8,22,6.996
2011,8,23,5.1718
2011,8,24,5.9237
2011,8,25,6.4517
2011,8,26,6.3679
2011,8,27,5.8999
2011,8,28,3.9358
2011,8,29,7.3229
2011,8,30,6.529
2011,8,31,5.7583
2011,9,1,3.4435
2011,9,2,4.9716
2011,9,3,3.2858
2011,9,4,4.9438
2011,9,5,7.0234
2011,9,6,5.7341
2011,9,7,6.882
2011,9,8,7.4585
2011,9,9,7.2288
2011,9,10,7.3294
2011,9,11,7.1604
2011,9,12,5.9083
2011,9,13,6.1102
2011,9,14,6.4051
2011,9,15,5.2843
2011,9,16,3.9516
2011,9,17,5.9366
2011,9,18,6.3482
2011,9,19,5.7955
2011,9,20,6.3391
2011,9,21,6.6626
2011,9,22,6.5278
2011,9,23,6.0086
2011,9,24,4.931
2011,9,25,5.231
2011,9,26,4.4681
2011,9,27,5.2471
2011,9,28,3.8057
2011,9,29,6.2309
2011,9,30,6.6583
2011,10,1,6.203
2011,10,2,6.6744
2011,10,3,6.5052
2011,10,4,6.1082
2011,10,5,6.2263
2011,10,6,5.9736
2011,10,7,5.6736
2011,10,8,5.1053
2011,10,9,4.8737
2011,10,10,3.1958
2011,10,11,2.1943
2011,10,12,1.7203
2011,10,13,4.427
2011,10,14,6.2549
2011,10,15,6.1908
2011,10,16,6.4922
2011,10,17,6.0905
2011,10,18,6.3024
2011,10,19,6.2616
2011,10,20,5.586
2011,10,21,5.533
2011,10,22,5.2519
2011,10,23,5.832
2011,10,24,6.096
2011,10,25,6.1466
2011,10,26,5.5682
2011,10,27,5.574
2011,10,28,5.676
2011,10,29,5.3006
2011,10,30,5.8442
2011,10,31,5.651
2011,11,1,5.8666
2011,11,2,5.3926
2011,11,3,5.767
2011,11,4,5.5402
2011,11,5,5.0866
2011,11,6,5.3482
2011,11,7,5.3364
2011,11,8,5.6074
2011,11,9,5.6633
2011,11,10,5.4838
2011,11,11,5.4953
2011,11,12,5.3638
2011,11,13,5.4895
2011,11,14,5.1506
2011,11,15,5.0774
2011,11,16,5.5325
2011,11,17,5.46
2011,11,18,5.2224
2011,11,19,4.9958
2011,11,20,5.2855
2011,11,21,4.7352
2011,11,22,5.2301
2011,11,23,5.1086
2011,11,24,5.1168
2011,11,25,4.9697
2011,11,26,4.7609
2011,11,27,5.1571
2011,11,28,5.4418
2011,11,29,5.55
2011,11,30,5.2718
2011,12,1,5.2207
2011,12,2,5.051
2011,12,3,5.0218
2011,12,4,5.0282
2011,12,5,5.0321
2011,12,6,4.8732
2011,12,7,5.0693
2011,12,8,5.0225
2011,12,9,5.0033
2011,12,10,4.92
2011,12,11,4.9397
2011,12,12,4.5583
2011,12,13,4.8691
2011,12,14,5.0748
2011,12,15,5.0249
2011,12,16,5.0162
2011,12,17,4.9908
2011,12,18,4.6428
2011,12,19,4.9846
2011,12,20,4.7302
2011,12,21,4.5115
2011,12,22,4.4472
2011,12,23,5.022
2011,12,24,5.0724
2011,12,25,4.92
2011,12,26,4.3013
2011,12,27,3.9144
2011,12,28,4.9824
2011,12,29,4.2437
2011,12,30,4.9476
2011,12,31,5.0436
2012,1,1,4.8022
2012,1,2,4.8826
2012,1,3,4.1316
2012,1,4,5.1641
2012,1,5,5.0558
2012,1,6,4.3658
2012,1,7,5.0561
2012,1,8,4.3382
2012,1,9,4.1578
2012,1,10,4.7918
2012,1,11,5.1451
2012,1,12,5.2308
2012,1,13,4.2283
2012,1,14,3.0122
2012,1,15,5.2387
2012,1,16,4.9954
2012,1,17,5.2488
2012,1,18,4.5199
2012,1,19,3.241
2012,1,20,4.3409
2012,1,21,4.8715
2012,1,22,5.1694
2012,1,23,5.4506
2012,1,24,4.6716
2012,1,25,5.6926
2012,1,26,5.7958
2012,1,27,5.7602
2012,1,28,5.8217
2012,1,29,3.7478
2012,1,30,4.0298
2012,1,31,4.3994
2012,2,1,5.5193
2012,2,2,5.6345
2012,2,3,4.8331
2012,2,4,5.6155
2012,2,5,4.5684
2012,2,6,4.9522
2012,2,7,4.1959
2012,2,8,5.1005
2012,2,9,4.4275
2012,2,10,2.5378
2012,2,11,1.1647
2012,2,12,3.3974
2012,2,13,5.0534
2012,2,14,4.0841
2012,2,15,3.2582
2012,2,16,2.9184
2012,2,17,3.2306
2012,2,18,6.576
2012,2,19,4.4623
2012,2,20,4.6092
2012,2,21,5.3782
2012,2,22,5.7017
2012,2,23,4.2778
2012,2,24,6.5827
2012,2,25,6.9636
2012,2,26,6.2455
2012,2,27,5.2214
2012,2,28,5.9148
2012,2,29,5.802
2012,3,1,6.6173
2012,3,2,6.0679
2012,3,3,6.8863
2012,3,4,6.5765
2012,3,5,6.5563
2012,3,6,6.8794
2012,3,7,6.8633
2012,3,8,7.1282
2012,3,9,7.1539
2012,3,10,7.0596
2012,3,11,7.0963
2012,3,12,7.3282
2012,3,13,7.3152
2012,3,14,7.253
2012,3,15,7.2866
2012,3,16,6.5995
2012,3,17,5.213
2012,3,18,3.4486
2012,3,19,7.3855
2012,3,20,7.5132
2012,3,21,7.643
2012,3,22,7.571
2012,3,23,7.6661
2012,3,24,7.5533
2012,3,25,7.4539
2012,3,26,7.5797
2012,3,27,6.5366
2012,3,28,7.4568
2012,3,29,6.9326
2012,3,30,7.6207
2012,3,31,6.3802
2012,4,1,7.9754
2012,4,2,8.0474
2012,4,3,8.1677
2012,4,4,8.1427
2012,4,5,3.9041
2012,4,6,7.8142
2012,4,7,8.1701
2012,4,8,8.1214
2012,4,9,8.1182
2012,4,10,8.1343
2012,4,11,8.2435
2012,4,12,7.5922
2012,4,13,8.2375
2012,4,14,8.1698
2012,4,15,8.2757
2012,4,16,8.447
2012,4,17,8.2865
2012,4,18,7.921
2012,4,19,7.9447
2012,4,20,8.4862
2012,4,21,8.2056
2012,4,22,7.6862
2012,4,23,7.7184
2012,4,24,7.7621
2012,4,25,7.9411
2012,4,26,7.6637
2012,4,27,7.4458
2012,4,28,6.8194
2012,4,29,7.5269
2012,4,30,7.1393
2012,5,1,8.1583
2012,5,2,7.9946
2012,5,3,7.4148
2012,5,4,7.2086
2012,5,5,7.5029
2012,5,6,7.6927
2012,5,7,8.1442
2012,5,8,8.1758
2012,5,9,7.7633
2012,5,10,7.4722
2012,5,11,8.5277
2012,5,12,8.4245
2012,5,13,7.2007
2012,5,14,7.6054
2012,5,15,8.0249
2012,5,16,7.7021
2012,5,17,7.3512
2012,5,18,7.6843
2012,5,19,7.9613
2012,5,20,7.8211
2012,5,21,8.0018
2012,5,22,8.1058
2012,5,23,7.9728
2012,5,24,6.1416
2012,5,25,4.2634
2012,5,26,6.2448
2012,5,27,7.8782
2012,5,28,8.1314
2012,5,29,7.8317
2012,5,30,7.6608
2012,5,31,7.9514
2012,6,1,7.7705
2012,6,2,8.2054
2012,6,3,8.267
2012,6,4,8.2541
2012,6,5,7.8883
2012,6,6,7.5614
2012,6,7,7.8132
2012,6,8,7.9574
2012,6,9,7.4441
2012,6,10,7.6061
2012,6,11,7.6663
2012,6,12,7.7705
2012,6,13,6.2844
2012,6,14,6.1387
2012,6,15,7.1714
2012,6,16,7.0673
2012,6,17,6.4344
2012,6,18,6.7824
2012,6,19,7.2298
2012,6,20,6.3984
2012,6,21,5.208
2012,6,22,5.1979
2012,6,23,6.0958
2012,6,24,4.098
2012,6,25,5.5001
2012,6,26,6.0725
2012,6,27,6.5522
2012,6,28,5.929
2012,6,29,6.2798
2012,6,30,6.2134
2012,7,1,4.6742
2012,7,2,5.2498
2012,7,3,5.2236
2012,7,4,6.5412
2012,7,5,6.3612
2012,7,6,7.3634
2012,7,7,5.436
2012,7,8,6.6418
2012,7,9,7.2732
2012,7,10,6.143
2012,7,11,6.3893
2012,7,12,5.7089
2012,7,13,5.5939
2012,7,14,6.1294
2012,7,15,5.4622
2012,7,16,4.9889
2012,7,17,6.7394
2012,7,18,6.6934
2012,7,19,6.2928
2012,7,20,5.5747
2012,7,21,7.1357
2012,7,22,7.2562
2012,7,23,7.0226
2012,7,24,5.7727
2012,7,25,5.8517
2012,7,26,6.4181
2012,7,27,3.2186
