-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  25.67   longitude -100.31 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 786.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.5463
2011,1,2,4.5722
2011,1,3,3.8237
2011,1,4,4.1347
2011,1,5,4.5293
2011,1,6,4.3709
2011,1,7,4.2881
2011,1,8,4.0522
2011,1,9,5.0621
2011,1,10,4.9697
2011,1,11,2.3081
2011,1,12,2.112
2011,1,13,2.3902
2011,1,14,3.9732
2011,1,15,3.0619
2011,1,16,4.8619
2011,1,17,5.033
2011,1,18,5.0854
2011,1,19,4.7659
2011,1,20,5.0155
2011,1,21,5.0995
2011,1,22,5.2253
2011,1,23,5.16
2011,1,24,5.1562
2011,1,25,5.2416
2011,1,26,5.0558
2011,1,27,3.402
2011,1,28,4.2708
2011,1,29,4.7107
2011,1,30,5.0652
2011,1,31,4.6567
2011,2,1,5.345
2011,2,2,4.0001
2011,2,3,3.919
2011,2,4,5.7192
2011,2,5,5.849
2011,2,6,5.8877
2011,2,7,5.8752
2011,2,8,5.7768
2011,2,9,5.0854
2011,2,10,5.441
2011,2,11,5.8582
2011,2,12,5.6124
2011,2,13,6.031
2011,2,14,6.1274
2011,2,15,6.0986
2011,2,16,6.0026
2011,2,17,5.9047
2011,2,18,5.6734
2011,2,19,5.7722
2011,2,20,6.071
2011,2,21,6.3391
2011,2,22,5.4377
2011,2,23,5.9237
2011,2,24,6.4565
2011,2,25,5.1134
2011,2,26,6.2942
2011,2,27,6.5239
2011,2,28,6.462
2011,3,1,6.5556
2011,3,2,6.6334
2011,3,3,6.5938
2011,3,4,6.3427
2011,3,5,3.733
2011,3,6,6.2765
2011,3,7,6.773
2011,3,8,7.0039
2011,3,9,6.0377
2011,3,10,6.8789
2011,3,11,6.8088
2011,3,12,6.5465
2011,3,13,5.0638
2011,3,14,5.4559
2011,3,15,5.729
2011,3,16,6.4466
2011,3,17,6.1625
2011,3,18,6.4217
2011,3,19,5.7146
2011,3,20,5.5728
2011,3,21,6.0526
2011,3,22,6.9641
2011,3,23,7.1021
2011,3,24,6.043
2011,3,25,6.8926
2011,3,26,7.025
2011,3,27,7.525
2011,3,28,5.6146
2011,3,29,6.354
2011,3,30,5.0441
2011,3,31,7.7801
2011,4,1,7.6874
2011,4,2,6.803
2011,4,3,6.3163
2011,4,4,7.6327
2011,4,5,7.5134
2011,4,6,6.9816
2011,4,7,5.9141
2011,4,8,6.5234
2011,4,9,7.4297
2011,4,10,7.3642
2011,4,11,7.9939
2011,4,12,7.9613
2011,4,13,7.4242
2011,4,14,7.6186
2011,4,15,7.6565
2011,4,16,6.4927
2011,4,17,7.0666
2011,4,18,7.3342
2011,4,19,7.8425
2011,4,20,6.7154
2011,4,21,5.9338
2011,4,22,6.354
2011,4,23,6.7241
2011,4,24,6.5191
2011,4,25,8.3232
2011,4,26,8.4732
2011,4,27,8.1156
2011,4,28,7.7542
2011,4,29,6.6799
2011,4,30,7.2797
2011,5,1,8.0177
2011,5,2,4.8706
2011,5,3,6.1313
2011,5,4,5.5411
2011,5,5,7.5386
2011,5,6,6.8122
2011,5,7,6.6718
2011,5,8,5.1658
2011,5,9,6.3581
2011,5,10,6.5645
2011,5,11,7.771
2011,5,12,7.2835
2011,5,13,7.0663
2011,5,14,4.0702
2011,5,15,4.6253
2011,5,16,5.2843
2011,5,17,7.6147
2011,5,18,8.3186
2011,5,19,8.5939
2011,5,20,8.6071
2011,5,21,7.4038
2011,5,22,6.9022
2011,5,23,8.1566
2011,5,24,7.5874
2011,5,25,7.4546
2011,5,26,6.6211
2011,5,27,7.5221
2011,5,28,7.2406
2011,5,29,5.7466
2011,5,30,6.2042
2011,5,31,6.5004
2011,6,1,7.7098
2011,6,2,8.179
2011,6,3,8.0959
2011,6,4,7.4011
2011,6,5,7.4446
2011,6,6,8.6868
2011,6,7,8.2363
2011,6,8,8.4089
2011,6,9,8.0455
2011,6,10,7.9598
2011,6,11,7.9286
2011,6,12,8.4245
2011,6,13,8.3724
2011,6,14,7.8274
2011,6,15,8.3674
2011,6,16,7.975
2011,6,17,8.1523
2011,6,18,8.5044
2011,6,19,8.4794
2011,6,20,7.8725
2011,6,21,6.667
2011,6,22,4.9555
2011,6,23,5.7247
2011,6,24,7.7861
2011,6,25,7.7803
2011,6,26,6.9965
2011,6,27,8.082
2011,6,28,7.5478
2011,6,29,6.0005
2011,6,30,3.0449
2011,7,1,2.7547
2011,7,2,3.5522
2011,7,3,5.55
2011,7,4,6.8338
2011,7,5,7.1066
2011,7,6,7.3642
2011,7,7,6.9454
2011,7,8,7.1945
2011,7,9,6.1106
2011,7,10,5.1379
2011,7,11,6.1174
2011,7,12,7.2089
2011,7,13,7.903
2011,7,14,7.0248
2011,7,15,7.7995
2011,7,16,7.3303
2011,7,17,6.5542
2011,7,18,7.5811
2011,7,19,6.9643
2011,7,20,6.2213
2011,7,21,4.6514
2011,7,22,5.4552
2011,7,23,6.3679
2011,7,24,7.4338
2011,7,25,7.9037
2011,7,26,7.4849
2011,7,27,7.2329
2011,7,28,6.7382
2011,7,29,7.2804
2011,7,30,5.0364
2011,7,31,7.4926
2011,8,1,8.0059
2011,8,2,7.4666
2011,8,3,7.7522
2011,8,4,7.0822
2011,8,5,7.374
2011,8,6,6.8616
2011,8,7,6.9257
2011,8,8,6.3648
2011,8,9,6.3163
2011,8,10,6.8352
2011,8,11,6.4534
2011,8,12,6.703
2011,8,13,7.1105
2011,8,14,7.3243
2011,8,15,7.2982
2011,8,16,7.5758
2011,8,17,7.6426
2011,8,18,7.7657
2011,8,19,7.4494
2011,8,20,7.6445
2011,8,21,7.3526
2011,8,22,6.7138
2011,8,23,6.9228
2011,8,24,7.248
2011,8,25,6.3646
2011,8,26,4.5487
2011,8,27,6.5854
2011,8,28,7.6404
2011,8,29,7.6927
2011,8,30,7.7004
2011,8,31,5.7655
2011,9,1,5.676
2011,9,2,5.1324
2011,9,3,5.0938
2011,9,4,5.6683
2011,9,5,3.9451
2011,9,6,7.3406
2011,9,7,7.6771
2011,9,8,7.4117
2011,9,9,7.0997
2011,9,10,7.2029
2011,9,11,7.3502
2011,9,12,6.9528
2011,9,13,6.5275
2011,9,14,6.5762
2011,9,15,5.207
2011,9,16,5.1084
2011,9,17,5.6542
2011,9,18,3.8407
2011,9,19,5.9364
2011,9,20,6.0732
2011,9,21,6.5575
2011,9,22,6.9204
2011,9,23,5.7713
2011,9,24,6.8563
2011,9,25,6.3962
2011,9,26,6.8383
2011,9,27,6.7255
2011,9,28,5.6141
2011,9,29,4.8374
2011,9,30,4.1647
2011,10,1,4.9128
2011,10,2,4.8826
2011,10,3,4.9435
2011,10,4,4.8026
2011,10,5,5.5068
2011,10,6,6.2206
2011,10,7,6.2018
2011,10,8,4.7328
2011,10,9,4.7436
2011,10,10,3.6113
2011,10,11,2.1101
2011,10,12,4.423
2011,10,13,5.9194
2011,10,14,6.1147
2011,10,15,6.3665
2011,10,16,6.3206
2011,10,17,6.293
2011,10,18,6.145
2011,10,19,6.3578
2011,10,20,6.0674
2011,10,21,6.059
2011,10,22,5.7334
2011,10,23,5.7782
2011,10,24,5.9335
2011,10,25,5.8925
2011,10,26,5.8555
2011,10,27,5.676
2011,10,28,5.1091
2011,10,29,5.6791
2011,10,30,5.6114
2011,10,31,5.7048
2011,11,1,5.6654
2011,11,2,5.5932
2011,11,3,4.7921
2011,11,4,5.2514
2011,11,5,5.0232
2011,11,6,5.1972
2011,11,7,4.3858
2011,11,8,5.2015
2011,11,9,2.4089
2011,11,10,4.6505
2011,11,11,5.2358
2011,11,12,5.1005
2011,11,13,5.1612
2011,11,14,4.8706
2011,11,15,5.1912
2011,11,16,5.2603
2011,11,17,3.3922
2011,11,18,4.3262
2011,11,19,4.9056
2011,11,20,4.6639
2011,11,21,3.7423
2011,11,22,4.9193
2011,11,23,4.9303
2011,11,24,4.8658
2011,11,25,4.3795
2011,11,26,2.8534
2011,11,27,5.1533
2011,11,28,5.2488
2011,11,29,5.047
2011,11,30,4.9272
2011,12,1,4.825
2011,12,2,4.399
2011,12,3,3.2928
2011,12,4,3.0614
2011,12,5,3.3974
2011,12,6,2.7077
2011,12,7,4.363
2011,12,8,4.5674
2011,12,9,4.3999
2011,12,10,1.2144
2011,12,11,1.847
2011,12,12,2.9021
2011,12,13,3.5544
2011,12,14,4.2883
2011,12,15,3.6826
2011,12,16,2.3544
