-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  17.07   longitude -96.72 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1953.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.8202
2011,1,2,3.2681
2011,1,3,4.7796
2011,1,4,5.046
2011,1,5,5.5286
2011,1,6,5.118
2011,1,7,5.4775
2011,1,8,5.3921
2011,1,9,4.6375
2011,1,10,4.92
2011,1,11,3.2318
2011,1,12,1.8883
2011,1,13,2.2212
2011,1,14,2.7017
2011,1,15,4.4887
2011,1,16,4.9495
2011,1,17,5.3167
2011,1,18,5.891
2011,1,19,5.0206
2011,1,20,5.5459
2011,1,21,3.9024
2011,1,22,3.2297
2011,1,23,5.4403
2011,1,24,5.1619
2011,1,25,4.577
2011,1,26,3.4699
2011,1,27,3.8328
2011,1,28,3.4322
2011,1,29,5.1086
2011,1,30,5.5046
2011,1,31,5.5296
2011,2,1,5.8889
2011,2,2,3.1788
2011,2,3,4.1294
2011,2,4,3.925
2011,2,5,4.2842
2011,2,6,5.472
2011,2,7,3.4632
2011,2,8,5.3203
2011,2,9,5.7266
2011,2,10,4.1052
2011,2,11,4.2254
2011,2,12,3.3857
2011,2,13,4.4446
2011,2,14,6.1368
2011,2,15,5.555
2011,2,16,6.1987
2011,2,17,6.3754
2011,2,18,6.0554
2011,2,19,4.7066
2011,2,20,5.7012
2011,2,21,6.347
2011,2,22,6.2035
2011,2,23,5.9777
2011,2,24,6.7075
2011,2,25,5.4053
2011,2,26,5.8063
2011,2,27,6.2755
2011,2,28,6.6619
2011,3,1,5.3172
2011,3,2,6.9494
2011,3,3,6.7699
2011,3,4,6.743
2011,3,5,6.6703
2011,3,6,2.7785
2011,3,7,5.7286
2011,3,8,6.4901
2011,3,9,6.619
2011,3,10,2.0717
2011,3,11,7.0918
2011,3,12,7.1978
2011,3,13,7.1071
2011,3,14,5.7221
2011,3,15,5.9686
2011,3,16,6.7154
2011,3,17,5.5798
2011,3,18,5.0638
2011,3,19,6.155
2011,3,20,6.8357
2011,3,21,5.388
2011,3,22,6.3746
2011,3,23,6.9365
2011,3,24,4.8454
2011,3,25,5.5534
2011,3,26,7.3858
2011,3,27,7.0301
2011,3,28,6.5736
2011,3,29,6.3082
2011,3,30,6.5381
2011,3,31,5.2442
2011,4,1,5.6304
2011,4,2,5.9388
2011,4,3,5.7607
2011,4,4,6.163
2011,4,5,4.1014
2011,4,6,7.4513
2011,4,7,7.6008
2011,4,8,6.8239
2011,4,9,7.1352
2011,4,10,6.8441
2011,4,11,6.647
2011,4,12,5.0172
2011,4,13,7.549
2011,4,14,7.4998
2011,4,15,7.0298
2011,4,16,4.1316
2011,4,17,5.3724
2011,4,18,5.9311
2011,4,19,6.5366
2011,4,20,7.0435
2011,4,21,5.7132
2011,4,22,6.8513
2011,4,23,6.6998
2011,4,24,6.8707
2011,4,25,6.7133
2011,4,26,5.9052
2011,4,27,7.1388
2011,4,28,5.9904
2011,4,29,6.1555
2011,4,30,6.8755
2011,5,1,7.0294
2011,5,2,6.438
2011,5,3,2.6875
2011,5,4,2.9038
2011,5,5,6.3089
2011,5,6,5.7602
2011,5,7,6.2909
2011,5,8,6.7498
2011,5,9,6.4529
2011,5,10,6.269
2011,5,11,5.2308
2011,5,12,5.6254
2011,5,13,4.3973
2011,5,14,4.2029
2011,5,15,4.8185
2011,5,16,5.0386
2011,5,17,5.8858
2011,5,18,7.0186
2011,5,19,6.7925
2011,5,20,7.29
2011,5,21,6.5611
2011,5,22,6.954
2011,5,23,7.1165
2011,5,24,7.541
2011,5,25,7.8454
2011,5,26,7.0219
2011,5,27,6.8179
2011,5,28,7.2778
2011,5,29,7.0493
2011,5,30,5.6338
2011,5,31,4.8547
2011,6,1,3.9734
2011,6,2,6.4939
2011,6,3,7.0474
2011,6,4,7.1491
2011,6,5,5.8654
2011,6,6,7.057
2011,6,7,6.523
2011,6,8,5.0148
2011,6,9,4.9058
2011,6,10,5.4682
2011,6,11,5.3047
2011,6,12,5.5903
2011,6,13,6.33
2011,6,14,6.6204
2011,6,15,5.6674
2011,6,16,5.5193
2011,6,17,5.9304
2011,6,18,4.4686
2011,6,19,3.8042
2011,6,20,3.6655
2011,6,21,4.3985
2011,6,22,5.7874
2011,6,23,6.7094
2011,6,24,6.3178
2011,6,25,6.174
2011,6,26,5.2927
2011,6,27,5.1358
2011,6,28,4.7508
2011,6,29,3.6175
2011,6,30,2.3028
2011,7,1,3.9679
2011,7,2,3.7702
2011,7,3,3.138
2011,7,4,3.7519
2011,7,5,3.9394
2011,7,6,3.9962
2011,7,7,5.6177
2011,7,8,5.0599
2011,7,9,4.1052
2011,7,10,5.3441
2011,7,11,4.265
2011,7,12,3.972
2011,7,13,4.2442
2011,7,14,4.0795
2011,7,15,2.9962
2011,7,16,2.1617
2011,7,17,3.4706
2011,7,18,4.29
2011,7,19,3.4716
2011,7,20,6.5057
2011,7,21,7.033
2011,7,22,5.4074
2011,7,23,6.1289
2011,7,24,5.6376
2011,7,25,6.294
2011,7,26,6.713
2011,7,27,6.2899
2011,7,28,5.6762
2011,7,29,3.5998
2011,7,30,4.4611
2011,7,31,2.9842
2011,8,1,3.1092
2011,8,2,3.1613
2011,8,3,4.2329
2011,8,4,6.1049
2011,8,5,6.6775
2011,8,6,5.9064
2011,8,7,6.3929
2011,8,8,6.4411
2011,8,9,7.0447
2011,8,10,7.313
2011,8,11,6.9458
2011,8,12,6.4022
2011,8,13,6.2333
2011,8,14,4.9702
2011,8,15,2.8778
2011,8,16,3.805
2011,8,17,6.144
2011,8,18,5.1554
2011,8,19,6.9763
2011,8,20,6.0679
2011,8,21,3.7786
2011,8,22,3.858
2011,8,23,5.2642
2011,8,24,6.2453
2011,8,25,5.2346
2011,8,26,5.1809
2011,8,27,4.9339
2011,8,28,4.7813
2011,8,29,4.6399
2011,8,30,4.9639
2011,8,31,5.029
2011,9,1,4.4129
2011,9,2,5.4298
2011,9,3,5.1562
2011,9,4,5.4432
2011,9,5,3.0989
2011,9,6,2.7802
2011,9,7,4.6934
2011,9,8,4.0728
2011,9,9,6.7668
2011,9,10,4.6918
2011,9,11,3.7082
2011,9,12,3.1008
2011,9,13,2.5714
2011,9,14,3.8417
2011,9,15,4.3963
2011,9,16,4.9445
2011,9,17,5.2982
2011,9,18,5.8044
2011,9,19,3.3653
2011,9,20,2.9458
2011,9,21,2.8332
2011,9,22,4.266
2011,9,23,4.6447
2011,9,24,5.9527
2011,9,25,6.5436
2011,9,26,5.7173
2011,9,27,6.0487
2011,9,28,5.1962
2011,9,29,5.5238
2011,9,30,4.1362
2011,10,1,2.4732
2011,10,2,2.6083
2011,10,3,2.6266
2011,10,4,3.7114
2011,10,5,3.3322
2011,10,6,4.151
2011,10,7,5.3906
2011,10,8,4.9385
2011,10,9,4.7902
2011,10,10,3.4939
2011,10,11,4.2962
2011,10,12,3.8417
2011,10,13,2.8457
2011,10,14,4.4954
2011,10,15,3.7661
2011,10,16,2.1547
2011,10,17,4.0534
2011,10,18,6.235
2011,10,19,1.481
2011,10,20,6.5122
2011,10,21,6.7757
2011,10,22,6.7068
2011,10,23,6.235
2011,10,24,5.0666
2011,10,25,6.1831
2011,10,26,6.4378
2011,10,27,6.385
2011,10,28,5.5524
2011,10,29,2.4048
2011,10,30,5.1091
2011,10,31,4.8943
2011,11,1,4.4378
2011,11,2,4.4635
2011,11,3,4.2792
2011,11,4,2.4192
2011,11,5,5.3383
2011,11,6,5.287
2011,11,7,5.0796
2011,11,8,5.6993
2011,11,9,4.9094
2011,11,10,2.1274
2011,11,11,3.119
2011,11,12,5.4058
2011,11,13,6.0072
2011,11,14,6.0142
2011,11,15,5.9674
2011,11,16,5.7288
2011,11,17,1.4902
2011,11,18,2.1804
2011,11,19,5.5906
2011,11,20,4.7894
2011,11,21,4.3363
2011,11,22,5.6086
2011,11,23,3.5851
2011,11,24,2.8757
2011,11,25,5.4379
2011,11,26,5.4233
2011,11,27,2.1194
2011,11,28,5.4994
2011,11,29,5.8901
2011,11,30,5.6506
2011,12,1,5.7482
2011,12,2,5.4571
2011,12,3,5.6088
2011,12,4,5.7038
2011,12,5,5.6246
2011,12,6,4.8919
2011,12,7,3.0701
2011,12,8,4.2005
2011,12,9,4.9226
2011,12,10,3.6655
2011,12,11,3.9725
2011,12,12,5.1893
2011,12,13,4.1767
2011,12,14,5.3114
2011,12,15,5.4526
2011,12,16,4.7011
2011,12,17,2.2394
2011,12,18,3.8784
2011,12,19,5.4382
2011,12,20,5.2946
2011,12,21,5.0933
2011,12,22,4.776
2011,12,23,3.7116
2011,12,24,4.0541
2011,12,25,2.1845
2011,12,26,3.9509
2011,12,27,3.954
2011,12,28,4.5053
2011,12,29,3.8448
2011,12,30,4.8672
2011,12,31,4.8182
2012,1,1,2.2927
2012,1,2,1.5211
2012,1,3,2.1617
2012,1,4,4.4105
2012,1,5,3.4685
2012,1,6,4.8691
2012,1,7,5.2454
2012,1,8,5.1833
2012,1,9,5.3916
2012,1,10,3.7783
2012,1,11,4.1825
2012,1,12,4.752
2012,1,13,3.3962
2012,1,14,3.2323
2012,1,15,1.6862
2012,1,16,3.989
2012,1,17,5.3813
2012,1,18,4.3644
2012,1,19,5.2142
2012,1,20,5.4482
2012,1,21,5.5034
2012,1,22,5.6618
2012,1,23,5.3856
2012,1,24,5.2363
2012,1,25,5.7281
2012,1,26,3.3826
2012,1,27,4.5288
2012,1,28,4.1182
2012,1,29,1.9978
2012,1,30,2.707
2012,1,31,4.5977
2012,2,1,2.7226
2012,2,2,4.4328
2012,2,3,5.3354
2012,2,4,5.5193
2012,2,5,4.7774
2012,2,6,3.9139
2012,2,7,2.9558
2012,2,8,3.4848
2012,2,9,4.0418
2012,2,10,2.8733
2012,2,11,2.7504
2012,2,12,2.891
2012,2,13,5.0249
2012,2,14,5.0878
2012,2,15,5.3851
2012,2,16,4.8734
2012,2,17,5.0357
2012,2,18,5.8889
2012,2,19,2.6962
2012,2,20,5.946
2012,2,21,4.9632
2012,2,22,6.1003
