-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  19.04   longitude -98.2 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2146.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,3.0761
2011,1,2,5.0501
2011,1,3,5.3556
2011,1,4,5.3659
2011,1,5,5.4252
2011,1,6,5.4254
2011,1,7,5.5092
2011,1,8,5.2147
2011,1,9,5.4581
2011,1,10,5.4806
2011,1,11,4.9649
2011,1,12,5.023
2011,1,13,4.115
2011,1,14,5.3837
2011,1,15,4.23
2011,1,16,5.4578
2011,1,17,5.6705
2011,1,18,5.905
2011,1,19,5.807
2011,1,20,5.8745
2011,1,21,5.7763
2011,1,22,5.5176
2011,1,23,5.8579
2011,1,24,5.6904
2011,1,25,5.8082
2011,1,26,5.2884
2011,1,27,5.1218
2011,1,28,4.9466
2011,1,29,4.7863
2011,1,30,5.7811
2011,1,31,6.1433
2011,2,1,5.8975
2011,2,2,5.8812
2011,2,3,5.0153
2011,2,4,4.345
2011,2,5,4.4234
2011,2,6,4.5134
2011,2,7,6.025
2011,2,8,5.983
2011,2,9,6.3965
2011,2,10,6.0725
2011,2,11,4.8638
2011,2,12,4.9411
2011,2,13,6.0631
2011,2,14,6.5825
2011,2,15,6.5215
2011,2,16,6.5482
2011,2,17,6.6799
2011,2,18,6.6758
2011,2,19,6.7154
2011,2,20,6.7301
2011,2,21,6.4063
2011,2,22,6.4267
2011,2,23,6.2004
2011,2,24,6.257
2011,2,25,5.7043
2011,2,26,5.4749
2011,2,27,6.5628
2011,2,28,6.5887
2011,3,1,7.1069
2011,3,2,6.9295
2011,3,3,7.0406
2011,3,4,6.9782
2011,3,5,6.0197
2011,3,6,6.0194
2011,3,7,6.4181
2011,3,8,7.2917
2011,3,9,7.1933
2011,3,10,6.6842
2011,3,11,7.4798
2011,3,12,7.2763
2011,3,13,6.6602
2011,3,14,5.4466
2011,3,15,5.1298
2011,3,16,6.432
2011,3,17,6.6667
2011,3,18,7.3661
2011,3,19,7.5422
2011,3,20,7.5562
2011,3,21,7.872
2011,3,22,7.5792
2011,3,23,7.5442
2011,3,24,7.6378
2011,3,25,7.5626
2011,3,26,7.0306
2011,3,27,6.4099
2011,3,28,6.84
2011,3,29,6.2657
2011,3,30,6.7661
2011,3,31,7.3229
2011,4,1,6.468
2011,4,2,5.8654
2011,4,3,6.2765
2011,4,4,6.6233
2011,4,5,6.7922
2011,4,6,6.7394
2011,4,7,7.5166
2011,4,8,7.2768
2011,4,9,7.5094
2011,4,10,7.5055
2011,4,11,6.9014
2011,4,12,7.4796
2011,4,13,7.7414
2011,4,14,7.4261
2011,4,15,4.9774
2011,4,16,5.1382
2011,4,17,5.5267
2011,4,18,5.8843
2011,4,19,6.0746
2011,4,20,6.4502
2011,4,21,7.307
2011,4,22,7.2574
2011,4,23,6.1987
2011,4,24,5.897
2011,4,25,6.4152
2011,4,26,6.876
2011,4,27,7.7945
2011,4,28,7.4263
2011,4,29,7.325
2011,4,30,6.7493
2011,5,1,5.9386
2011,5,2,6.695
2011,5,3,5.4115
2011,5,4,6.5045
2011,5,5,5.4802
2011,5,6,6.8575
2011,5,7,7.1957
2011,5,8,7.5869
2011,5,9,6.4822
2011,5,10,6.6586
2011,5,11,5.9657
2011,5,12,6.6163
2011,5,13,6.8568
2011,5,14,5.605
2011,5,15,5.4463
2011,5,16,6.6977
2011,5,17,6.8918
2011,5,18,6.912
2011,5,19,6.5134
2011,5,20,6.8105
2011,5,21,5.7062
2011,5,22,7.0481
2011,5,23,7.3764
2011,5,24,7.8929
2011,5,25,7.6802
2011,5,26,7.0498
2011,5,27,6.9487
2011,5,28,7.8578
2011,5,29,7.3579
2011,5,30,6.7289
2011,5,31,7.4647
2011,6,1,6.0336
2011,6,2,8.5512
2011,6,3,7.9954
2011,6,4,7.8919
2011,6,5,5.5834
2011,6,6,7.681
2011,6,7,8.1295
2011,6,8,7.3145
2011,6,9,6.6862
2011,6,10,7.2713
2011,6,11,7.8235
2011,6,12,7.6958
2011,6,13,6.7483
2011,6,14,6.187
2011,6,15,7.1779
2011,6,16,6.5623
2011,6,17,7.2826
2011,6,18,6.5854
2011,6,19,7.195
2011,6,20,5.2613
2011,6,21,3.3835
2011,6,22,4.1628
2011,6,23,4.0399
2011,6,24,4.2425
2011,6,25,4.6867
2011,6,26,5.3119
2011,6,27,5.6028
2011,6,28,5.01
2011,6,29,2.7878
2011,6,30,0.8722
2011,7,1,3.5743
2011,7,2,3.7286
2011,7,3,4.1923
2011,7,4,4.8113
2011,7,5,5.5942
2011,7,6,5.5896
2011,7,7,5.6381
2011,7,8,4.0738
2011,7,9,4.0126
2011,7,10,3.7992
2011,7,11,5.1986
2011,7,12,5.3335
2011,7,13,2.9455
2011,7,14,3.1615
2011,7,15,5.1514
2011,7,16,3.4157
2011,7,17,3.3322
2011,7,18,4.595
2011,7,19,6.2825
2011,7,20,6.1884
2011,7,21,4.8677
2011,7,22,5.1562
2011,7,23,7.0769
2011,7,24,5.6815
2011,7,25,6.9012
2011,7,26,5.4874
2011,7,27,5.771
2011,7,28,5.8958
2011,7,29,5.2243
2011,7,30,4.5782
2011,7,31,4.1177
2011,8,1,4.1587
2011,8,2,6.4241
2011,8,3,4.44
2011,8,4,6.0878
2011,8,5,6.9528
2011,8,6,5.5538
2011,8,7,6.6348
2011,8,8,6.6146
2011,8,9,6.2983
2011,8,10,7.1273
2011,8,11,6.0269
2011,8,12,6.9125
2011,8,13,5.7756
2011,8,14,6.0444
2011,8,15,5.8001
2011,8,16,5.1113
2011,8,17,7.4386
2011,8,18,7.0457
2011,8,19,7.391
2011,8,20,6.6902
2011,8,21,5.9654
2011,8,22,3.8686
2011,8,23,5.3736
2011,8,24,6.6878
2011,8,25,6.9677
2011,8,26,6.1126
2011,8,27,6.1517
2011,8,28,4.489
2011,8,29,4.5612
2011,8,30,4.4345
2011,8,31,4.5125
2011,9,1,3.9732
2011,9,2,4.421
2011,9,3,3.5604
2011,9,4,3.4073
2011,9,5,4.6183
2011,9,6,3.6514
2011,9,7,6.4195
2011,9,8,5.8159
2011,9,9,8.1737
2011,9,10,7.3334
2011,9,11,2.7941
2011,9,12,5.4353
2011,9,13,6.6502
2011,9,14,7.3862
2011,9,15,6.0168
2011,9,16,5.4912
2011,9,17,6.7894
