-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  21.16   longitude -86.85 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.2283
2011,1,2,4.307
2011,1,3,4.296
2011,1,4,4.3985
2011,1,5,4.3022
2011,1,6,4.4179
2011,1,7,4.8994
2011,1,8,4.859
2011,1,9,4.297
2011,1,10,4.2065
2011,1,11,4.0934
2011,1,12,1.7513
2011,1,13,1.1983
2011,1,14,2.5949
2011,1,15,3.5906
2011,1,16,3.2482
2011,1,17,3.816
2011,1,18,4.3524
2011,1,19,4.3555
2011,1,20,4.8355
2011,1,21,4.3301
2011,1,22,3.8117
2011,1,23,3.9686
2011,1,24,3.9605
2011,1,25,4.315
2011,1,26,2.382
2011,1,27,2.4394
2011,1,28,4.469
2011,1,29,5.0662
2011,1,30,4.7885
2011,1,31,4.981
2011,2,1,4.7273
2011,2,2,4.6342
2011,2,3,4.9702
2011,2,4,4.8787
2011,2,5,3.3559
2011,2,6,5.1242
2011,2,7,5.1506
2011,2,8,2.8435
2011,2,9,4.3692
2011,2,10,3.9084
2011,2,11,3.4946
2011,2,12,1.0538
2011,2,13,4.8149
2011,2,14,5.0268
2011,2,15,4.411
2011,2,16,5.2553
2011,2,17,5.4919
2011,2,18,5.5769
2011,2,19,5.6806
2011,2,20,5.6326
2011,2,21,5.6129
2011,2,22,5.833
2011,2,23,5.8858
2011,2,24,5.9998
2011,2,25,6.1447
2011,2,26,3.8777
2011,2,27,5.7406
2011,2,28,5.9436
2011,3,1,6.0845
2011,3,2,5.6966
2011,3,3,5.4595
2011,3,4,5.575
2011,3,5,5.7994
2011,3,6,4.2883
2011,3,7,5.5987
2011,3,8,6.06
2011,3,9,6.0382
2011,3,10,5.1492
2011,3,11,5.5601
2011,3,12,6.6365
2011,3,13,6.4944
2011,3,14,6.3358
2011,3,15,6.0413
2011,3,16,6.2201
2011,3,17,6.5119
2011,3,18,6.396
2011,3,19,6.2554
2011,3,20,6.6331
2011,3,21,6.7296
2011,3,22,6.4166
2011,3,23,6.1949
2011,3,24,6.6228
2011,3,25,6.4289
2011,3,26,6.6178
2011,3,27,5.9414
2011,3,28,6.1639
2011,3,29,6.4642
2011,3,30,6.7162
2011,3,31,6.5074
2011,4,1,6.0062
2011,4,2,6.4954
2011,4,3,6.4399
2011,4,4,6.5335
2011,4,5,6.3252
2011,4,6,6.8328
2011,4,7,6.5371
2011,4,8,6.9115
2011,4,9,6.7898
2011,4,10,7.0332
2011,4,11,7.1256
2011,4,12,7.0061
2011,4,13,6.6396
2011,4,14,7.0723
2011,4,15,7.1935
2011,4,16,6.9605
2011,4,17,7.0874
2011,4,18,6.7363
2011,4,19,6.8045
2011,4,20,7.099
2011,4,21,7.3133
2011,4,22,6.803
2011,4,23,6.4445
2011,4,24,7.1664
2011,4,25,7.3325
2011,4,26,6.8438
2011,4,27,6.612
2011,4,28,6.6132
2011,4,29,6.779
2011,4,30,7.0898
2011,5,1,7.0058
2011,5,2,7.0795
2011,5,3,6.8246
2011,5,4,6.8196
2011,5,5,7.0656
2011,5,6,7.1021
2011,5,7,7.0289
2011,5,8,7.135
2011,5,9,7.2
2011,5,10,7.0442
2011,5,11,7.0973
2011,5,12,7.2022
2011,5,13,6.9355
2011,5,14,6.3977
2011,5,15,6.9677
2011,5,16,7.2674
2011,5,17,5.9016
2011,5,18,6.4954
2011,5,19,6.8842
2011,5,20,7.0867
2011,5,21,6.3768
2011,5,22,6.6276
2011,5,23,6.9079
2011,5,24,7.2588
2011,5,25,6.9907
2011,5,26,7.2166
2011,5,27,7.1988
2011,5,28,7.3068
2011,5,29,7.303
2011,5,30,6.9811
2011,5,31,6.9338
2011,6,1,7.3625
2011,6,2,7.4198
2011,6,3,7.069
2011,6,4,6.6091
2011,6,5,2.5606
2011,6,6,3.2611
2011,6,7,7.1597
2011,6,8,6.7147
2011,6,9,6.629
2011,6,10,6.263
2011,6,11,6.6547
2011,6,12,6.4435
2011,6,13,3.7999
2011,6,14,7.0538
2011,6,15,6.5414
2011,6,16,6.9533
2011,6,17,6.8575
2011,6,18,2.1173
2011,6,19,1.6874
2011,6,20,4.453
2011,6,21,6.7438
2011,6,22,7.2958
2011,6,23,7.2278
2011,6,24,7.1645
2011,6,25,6.403
2011,6,26,2.015
2011,6,27,0.828
2011,6,28,4.2041
2011,6,29,5.4679
2011,6,30,5.9062
2011,7,1,6.972
2011,7,2,6.2388
2011,7,3,6.4718
2011,7,4,4.8403
2011,7,5,5.7499
2011,7,6,4.505
2011,7,7,2.5363
2011,7,8,2.6626
2011,7,9,3.5333
2011,7,10,6.684
2011,7,11,6.2563
2011,7,12,6.8412
2011,7,13,6.9842
2011,7,14,7.2382
2011,7,15,7.2019
2011,7,16,7.2859
2011,7,17,6.7954
2011,7,18,7.1299
2011,7,19,7.0884
2011,7,20,7.1146
2011,7,21,7.1525
2011,7,22,6.8088
2011,7,23,7.1647
2011,7,24,6.8873
2011,7,25,7.0848
2011,7,26,7.0802
2011,7,27,0.4944
2011,7,28,4.9046
2011,7,29,6.9278
2011,7,30,6.0766
2011,7,31,6.5849
2011,8,1,6.7586
2011,8,2,6.959
2011,8,3,7.1023
2011,8,4,6.6398
2011,8,5,7.0762
2011,8,6,6.9562
2011,8,7,6.9478
2011,8,8,6.702
2011,8,9,6.8088
2011,8,10,6.8371
2011,8,11,7.0344
2011,8,12,6.2659
2011,8,13,6.0641
2011,8,14,6.9041
2011,8,15,7.1429
2011,8,16,6.9946
2011,8,17,6.8302
2011,8,18,6.6996
2011,8,19,6.2354
2011,8,20,3.4721
2011,8,21,5.3827
2011,8,22,6.9295
2011,8,23,6.4337
2011,8,24,6.1925
2011,8,25,6.0979
2011,8,26,6.3389
2011,8,27,6.4241
2011,8,28,4.3217
2011,8,29,6.3101
2011,8,30,6.3055
2011,8,31,3.0761
2011,9,1,3.8038
2011,9,2,6.0686
2011,9,3,6.2023
2011,9,4,6.5611
2011,9,5,6.2023
2011,9,6,5.1758
2011,9,7,5.6436
2011,9,8,5.8006
2011,9,9,6.6329
2011,9,10,6.5904
2011,9,11,5.9906
2011,9,12,5.2661
2011,9,13,6.2959
2011,9,14,6.3463
2011,9,15,6.4536
2011,9,16,6.5266
2011,9,17,6.3946
2011,9,18,6.0278
2011,9,19,6.1541
2011,9,20,6.4313
2011,9,21,5.8296
2011,9,22,4.5955
2011,9,23,5.4727
2011,9,24,5.9467
2011,9,25,3.678
2011,9,26,5.2778
2011,9,27,6.1195
2011,9,28,5.7744
2011,9,29,6.0857
2011,9,30,5.6594
2011,10,1,4.9524
2011,10,2,4.05
2011,10,3,3.3982
2011,10,4,4.4424
2011,10,5,5.1797
2011,10,6,4.8211
2011,10,7,5.8747
2011,10,8,5.6383
2011,10,9,6.0259
2011,10,10,5.9282
2011,10,11,6.0682
2011,10,12,5.6614
2011,10,13,1.7105
2011,10,14,1.7652
2011,10,15,2.3741
2011,10,16,0.726
2011,10,17,2.5853
2011,10,18,3.8134
2011,10,19,2.8805
2011,10,20,4.661
2011,10,21,5.0299
2011,10,22,5.2901
2011,10,23,5.0275
2011,10,24,4.1364
2011,10,25,2.424
2011,10,26,3.9082
2011,10,27,1.2485
2011,10,28,4.2986
2011,10,29,4.165
2011,10,30,2.665
2011,10,31,3.8446
2011,11,1,2.0966
2011,11,2,5.0518
2011,11,3,4.8082
2011,11,4,5.4425
2011,11,5,5.1869
2011,11,6,5.2003
2011,11,7,4.4554
2011,11,8,5.118
2011,11,9,4.5895
2011,11,10,3.0931
2011,11,11,2.2637
2011,11,12,4.8943
2011,11,13,4.1362
2011,11,14,4.177
2011,11,15,4.4359
2011,11,16,4.5072
2011,11,17,4.6265
2011,11,18,4.6949
2011,11,19,4.5161
2011,11,20,4.5622
2011,11,21,4.6416
2011,11,22,4.4945
2011,11,23,4.8912
2011,11,24,4.4566
2011,11,25,3.9163
2011,11,26,4.2437
2011,11,27,4.2194
2011,11,28,2.8858
2011,11,29,2.9162
2011,11,30,3.5762
2011,12,1,4.2288
2011,12,2,4.5715
2011,12,3,4.5814
2011,12,4,4.4676
2011,12,5,4.2432
2011,12,6,4.477
2011,12,7,3.8798
2011,12,8,3.6686
2011,12,9,3.8045
2011,12,10,3.9235
2011,12,11,3.473
2011,12,12,4.338
2011,12,13,4.3243
2011,12,14,4.2958
2011,12,15,3.8806
2011,12,16,3.1906
2011,12,17,3.5722
2011,12,18,3.9797
