-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  22.15   longitude -100.98 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2151.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,5.155
2011,1,2,2.0683
2011,1,3,4.32
2011,1,4,4.8578
2011,1,5,4.9752
2011,1,6,4.8737
2011,1,7,3.7474
2011,1,8,4.8118
2011,1,9,5.3906
2011,1,10,5.3407
2011,1,11,2.1715
2011,1,12,2.4766
2011,1,13,2.3443
2011,1,14,4.3843
2011,1,15,4.134
2011,1,16,5.3803
2011,1,17,5.5668
2011,1,18,5.4902
2011,1,19,5.4893
2011,1,20,5.4847
2011,1,21,4.8883
2011,1,22,5.5534
2011,1,23,5.7744
2011,1,24,5.4953
2011,1,25,5.3856
2011,1,26,4.0848
2011,1,27,3.5606
2011,1,28,3.7896
2011,1,29,5.1343
2011,1,30,5.8265
2011,1,31,5.6707
2011,2,1,4.8638
2011,2,2,2.6976
2011,2,3,2.6201
2011,2,4,4.5962
2011,2,5,4.4563
2011,2,6,6.2518
2011,2,7,6.1003
2011,2,8,5.9818
2011,2,9,6.1387
2011,2,10,4.7345
2011,2,11,6.0605
2011,2,12,2.5442
2011,2,13,5.8298
2011,2,14,6.42
2011,2,15,6.4078
2011,2,16,6.4613
2011,2,17,6.4368
2011,2,18,6.3372
2011,2,19,6.1855
2011,2,20,6.5424
2011,2,21,6.624
2011,2,22,6.5482
2011,2,23,6.4886
2011,2,24,6.6835
2011,2,25,5.2459
2011,2,26,6.2652
2011,2,27,6.8136
2011,2,28,6.7135
2011,3,1,6.9595
2011,3,2,7.0874
2011,3,3,6.991
2011,3,4,6.8098
2011,3,5,6.5215
2011,3,6,6.5083
2011,3,7,7.2346
2011,3,8,7.3433
2011,3,9,7.2737
2011,3,10,5.7403
2011,3,11,6.9907
2011,3,12,6.8417
2011,3,13,6.5441
2011,3,14,6.0281
2011,3,15,6.2662
2011,3,16,6.6924
2011,3,17,6.3708
2011,3,18,6.7908
2011,3,19,6.9317
2011,3,20,7.0908
2011,3,21,7.3013
2011,3,22,7.5252
2011,3,23,7.1558
2011,3,24,7.3584
2011,3,25,7.4402
2011,3,26,7.1796
2011,3,27,7.3586
2011,3,28,7.8593
2011,3,29,7.1969
2011,3,30,6.1452
2011,3,31,6.9578
2011,4,1,6.1855
2011,4,2,5.3887
2011,4,3,6.7867
2011,4,4,7.9841
2011,4,5,7.2794
2011,4,6,7.2804
2011,4,7,6.9682
2011,4,8,7.4621
2011,4,9,7.5533
2011,4,10,7.6068
2011,4,11,7.5955
2011,4,12,7.6723
2011,4,13,7.171
2011,4,14,6.9137
2011,4,15,4.8274
2011,4,16,5.7713
2011,4,17,6.961
2011,4,18,8.005
2011,4,19,7.981
2011,4,20,7.884
2011,4,21,6.0576
2011,4,22,7.3582
2011,4,23,7.7426
2011,4,24,7.8394
2011,4,25,8.0107
2011,4,26,8.4355
2011,4,27,8.4151
2011,4,28,7.4477
2011,4,29,7.2509
2011,4,30,6.7207
2011,5,1,7.3562
2011,5,2,6.133
2011,5,3,3.9787
2011,5,4,7.1762
2011,5,5,7.8086
2011,5,6,7.5394
2011,5,7,7.2226
2011,5,8,5.2399
2011,5,9,6.3434
2011,5,10,7.0349
2011,5,11,8.1686
2011,5,12,8.483
2011,5,13,7.0042
2011,5,14,7.0073
2011,5,15,6.8803
2011,5,16,7.111
2011,5,17,8.0537
2011,5,18,8.0081
2011,5,19,8.6755
2011,5,20,8.683
2011,5,21,8.1178
2011,5,22,6.8472
2011,5,23,8.0467
2011,5,24,7.7671
2011,5,25,7.6879
2011,5,26,7.2701
2011,5,27,7.1597
2011,5,28,7.6003
2011,5,29,6.8645
2011,5,30,7.6603
2011,5,31,7.7222
2011,6,1,6.1886
2011,6,2,8.5236
2011,6,3,8.4161
2011,6,4,7.8782
2011,6,5,5.8615
2011,6,6,8.2814
2011,6,7,8.1763
2011,6,8,7.981
2011,6,9,7.903
2011,6,10,7.8862
2011,6,11,7.998
2011,6,12,8.147
2011,6,13,8.1449
2011,6,14,8.3014
2011,6,15,8.0609
2011,6,16,8.2543
2011,6,17,7.9277
2011,6,18,7.8924
2011,6,19,8.383
2011,6,20,6.493
2011,6,21,5.9362
2011,6,22,5.0568
2011,6,23,6.4404
2011,6,24,5.4218
2011,6,25,6.8748
2011,6,26,4.4369
2011,6,27,7.6716
2011,6,28,6.4555
2011,6,29,4.8622
2011,6,30,3.1459
2011,7,1,1.7273
2011,7,2,3.059
2011,7,3,3.6137
2011,7,4,7.2005
2011,7,5,7.2953
2011,7,6,7.6356
2011,7,7,7.3625
2011,7,8,6.9936
2011,7,9,6.463
2011,7,10,5.4475
2011,7,11,6.3576
2011,7,12,6.3559
2011,7,13,6.6026
2011,7,14,6.0014
2011,7,15,6.751
2011,7,16,6.4723
2011,7,17,2.6683
2011,7,18,5.2106
2011,7,19,7.7926
2011,7,20,7.5053
2011,7,21,6.5712
2011,7,22,5.5709
2011,7,23,6.9806
2011,7,24,7.5492
2011,7,25,7.6886
2011,7,26,7.6344
2011,7,27,7.9339
2011,7,28,7.4002
2011,7,29,6.7183
2011,7,30,5.1408
2011,7,31,5.2975
2011,8,1,6.1442
2011,8,2,7.0586
2011,8,3,6.7802
2011,8,4,5.9976
2011,8,5,7.633
2011,8,6,7.2466
2011,8,7,7.0339
2011,8,8,6.9718
2011,8,9,6.5897
2011,8,10,7.6044
2011,8,11,7.6265
2011,8,12,7.0099
2011,8,13,7.5895
2011,8,14,6.7246
2011,8,15,7.3342
2011,8,16,7.7494
2011,8,17,7.5737
2011,8,18,7.7431
2011,8,19,7.8946
2011,8,20,7.5878
2011,8,21,6.4788
2011,8,22,5.0268
2011,8,23,5.8181
2011,8,24,7.4321
2011,8,25,6.4351
2011,8,26,5.8145
2011,8,27,6.2021
2011,8,28,6.0814
2011,8,29,7.344
2011,8,30,7.223
2011,8,31,4.8113
2011,9,1,4.8581
2011,9,2,6.6178
2011,9,3,4.8672
2011,9,4,4.781
2011,9,5,5.3616
2011,9,6,5.7374
2011,9,7,7.5677
2011,9,8,7.8053
2011,9,9,7.6726
2011,9,10,7.3877
2011,9,11,5.2423
2011,9,12,6.4375
2011,9,13,7.3435
2011,9,14,7.3068
2011,9,15,6.6257
2011,9,16,5.1007
2011,9,17,4.6879
2011,9,18,6.0439
2011,9,19,5.6779
2011,9,20,5.3782
2011,9,21,6.3192
2011,9,22,6.3242
2011,9,23,5.9606
2011,9,24,5.3717
2011,9,25,6.2554
2011,9,26,6.7536
2011,9,27,6.5899
2011,9,28,5.6621
2011,9,29,5.8786
2011,9,30,4.6716
2011,10,1,3.9698
2011,10,2,4.3764
2011,10,3,4.5185
2011,10,4,3.5496
2011,10,5,6.0487
2011,10,6,6.4102
2011,10,7,5.9352
2011,10,8,4.3798
2011,10,9,5.4778
2011,10,10,3.6833
2011,10,11,3.0742
2011,10,12,4.193
2011,10,13,3.5952
2011,10,14,5.0462
2011,10,15,6.2016
2011,10,16,6.5698
2011,10,17,6.3763
2011,10,18,6.3792
2011,10,19,6.4121
2011,10,20,6.4375
2011,10,21,6.3259
2011,10,22,6.2114
2011,10,23,6.1788
2011,10,24,6.3583
2011,10,25,6.295
2011,10,26,6.2599
2011,10,27,6.1488
2011,10,28,5.2142
2011,10,29,5.3237
2011,10,30,5.8289
2011,10,31,5.7576
2011,11,1,6.1248
2011,11,2,5.9354
2011,11,3,5.5656
2011,11,4,5.2442
2011,11,5,4.9579
2011,11,6,5.1574
2011,11,7,5.0443
2011,11,8,5.0112
2011,11,9,3.4325
2011,11,10,1.1496
2011,11,11,5.2968
2011,11,12,5.567
2011,11,13,5.6285
2011,11,14,4.4477
2011,11,15,5.6129
2011,11,16,5.6126
2011,11,17,2.5442
2011,11,18,4.879
2011,11,19,4.789
2011,11,20,5.045
2011,11,21,4.6846
2011,11,22,5.1247
2011,11,23,4.9723
2011,11,24,5.2769
2011,11,25,5.1257
2011,11,26,4.0322
2011,11,27,2.5886
2011,11,28,5.6441
2011,11,29,5.6064
2011,11,30,5.2154
2011,12,1,5.2193
2011,12,2,5.0558
2011,12,3,4.8398
2011,12,4,5.117
2011,12,5,5.0678
2011,12,6,3.4308
2011,12,7,2.1288
2011,12,8,4.6903
2011,12,9,4.8641
2011,12,10,2.5944
2011,12,11,3.4958
2011,12,12,4.5278
2011,12,13,4.6404
2011,12,14,4.6942
2011,12,15,4.963
2011,12,16,3.1222
2011,12,17,1.711
2011,12,18,3.3658
2011,12,19,4.8034
2011,12,20,4.9949
