-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  24.8   longitude -107.39 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 208.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.6802
2011,1,2,4.7642
2011,1,3,4.3471
2011,1,4,4.6435
2011,1,5,4.4306
2011,1,6,2.6484
2011,1,7,4.3202
2011,1,8,3.9386
2011,1,9,5.003
2011,1,10,5.0105
2011,1,11,4.9248
2011,1,12,4.903
2011,1,13,5.0136
2011,1,14,4.9411
2011,1,15,5.0141
2011,1,16,4.6999
2011,1,17,4.9133
2011,1,18,4.9176
2011,1,19,4.8458
2011,1,20,5.0417
2011,1,21,5.0942
2011,1,22,5.2226
2011,1,23,5.0959
2011,1,24,5.2495
2011,1,25,5.4132
2011,1,26,4.1237
2011,1,27,2.7679
2011,1,28,1.3548
2011,1,29,4.002
2011,1,30,5.315
2011,1,31,4.5739
2011,2,1,5.4749
2011,2,2,5.6328
2011,2,3,5.6546
2011,2,4,5.8166
2011,2,5,5.8685
2011,2,6,5.8877
2011,2,7,5.9146
2011,2,8,5.779
2011,2,9,4.5655
2011,2,10,5.8879
2011,2,11,5.7175
2011,2,12,5.9206
2011,2,13,5.9227
2011,2,14,6.0218
2011,2,15,6.0173
2011,2,16,5.611
2011,2,17,5.7526
2011,2,18,5.9071
2011,2,19,5.8898
2011,2,20,6.239
2011,2,21,6.1505
2011,2,22,6.1013
2011,2,23,6.2081
2011,2,24,6.5426
2011,2,25,6.6535
2011,2,26,6.5201
2011,2,27,5.8867
2011,2,28,6.48
2011,3,1,6.5719
2011,3,2,6.6403
2011,3,3,6.4706
2011,3,4,6.683
2011,3,5,6.7584
2011,3,6,6.6682
2011,3,7,6.6492
2011,3,8,6.8172
2011,3,9,6.9619
2011,3,10,6.9437
2011,3,11,7.0207
2011,3,12,7.0198
2011,3,13,6.4567
2011,3,14,7.2182
2011,3,15,7.0644
2011,3,16,7.0222
2011,3,17,6.8604
2011,3,18,7.0692
2011,3,19,6.9806
2011,3,20,5.9494
2011,3,21,6.5959
2011,3,22,7.157
2011,3,23,7.4362
2011,3,24,7.0063
2011,3,25,7.3092
2011,3,26,5.6148
2011,3,27,7.6339
2011,3,28,7.079
2011,3,29,6.8746
2011,3,30,7.6138
2011,3,31,7.6894
2011,4,1,7.5086
2011,4,2,7.3394
2011,4,3,7.529
2011,4,4,6.0216
2011,4,5,6.3542
2011,4,6,7.0241
2011,4,7,7.5713
2011,4,8,7.3752
2011,4,9,7.4042
2011,4,10,7.6524
2011,4,11,7.7086
2011,4,12,7.7198
2011,4,13,7.2262
2011,4,14,6.8326
2011,4,15,7.3514
2011,4,16,7.4717
2011,4,17,7.5883
2011,4,18,7.7371
2011,4,19,7.9308
2011,4,20,8.0506
2011,4,21,7.9337
2011,4,22,8.0018
2011,4,23,6.9353
2011,4,24,7.4102
2011,4,25,8.1756
2011,4,26,8.0018
2011,4,27,7.9651
2011,4,28,8.0503
2011,4,29,7.8331
2011,4,30,7.6356
2011,5,1,8.1684
2011,5,2,8.311
2011,5,3,6.6566
2011,5,4,7.5175
2011,5,5,7.6788
2011,5,6,8.1919
2011,5,7,7.3349
2011,5,8,7.9802
2011,5,9,7.7933
2011,5,10,7.8552
2011,5,11,8.3549
2011,5,12,8.585
2011,5,13,7.8156
2011,5,14,8.1986
2011,5,15,8.1245
2011,5,16,8.2217
2011,5,17,8.4679
2011,5,18,8.4641
2011,5,19,8.419
2011,5,20,8.2848
2011,5,21,8.1588
2011,5,22,7.6118
2011,5,23,8.2306
2011,5,24,8.4026
2011,5,25,7.8979
2011,5,26,8.1876
2011,5,27,8.0808
2011,5,28,7.8946
2011,5,29,7.927
2011,5,30,7.8367
2011,5,31,6.6156
2011,6,1,7.5962
2011,6,2,7.739
2011,6,3,7.6471
2011,6,4,7.8302
2011,6,5,7.7609
2011,6,6,7.5823
2011,6,7,7.5895
2011,6,8,7.6704
2011,6,9,7.721
2011,6,10,7.7544
2011,6,11,7.9486
2011,6,12,7.6406
2011,6,13,7.9411
2011,6,14,7.697
2011,6,15,7.4402
2011,6,16,7.0766
2011,6,17,7.3274
2011,6,18,7.3918
2011,6,19,7.5972
2011,6,20,6.193
2011,6,21,6.7531
2011,6,22,6.5813
2011,6,23,6.3713
2011,6,24,6.924
2011,6,25,7.7868
