-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  29.07   longitude -110.96 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 165.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.1261
2011,1,2,4.2641
2011,1,3,4.2686
2011,1,4,4.0142
2011,1,5,2.5018
2011,1,6,2.6537
2011,1,7,4.2096
2011,1,8,4.2758
2011,1,9,4.315
2011,1,10,4.3757
2011,1,11,4.3879
2011,1,12,4.4155
2011,1,13,4.4674
2011,1,14,4.4758
2011,1,15,4.4645
2011,1,16,4.3987
2011,1,17,4.3896
2011,1,18,4.4602
2011,1,19,4.4518
2011,1,20,4.469
2011,1,21,4.6198
2011,1,22,4.7119
2011,1,23,4.698
2011,1,24,4.7966
2011,1,25,4.865
2011,1,26,4.7458
2011,1,27,4.5514
2011,1,28,4.5989
2011,1,29,4.0466
2011,1,30,4.9118
2011,1,31,4.4851
2011,2,1,5.0417
2011,2,2,5.3333
2011,2,3,5.3837
2011,2,4,5.329
2011,2,5,5.2608
2011,2,6,5.1468
2011,2,7,5.4178
2011,2,8,4.8941
2011,2,9,5.3179
2011,2,10,5.478
2011,2,11,5.5922
2011,2,12,5.6623
2011,2,13,5.5608
2011,2,14,5.514
2011,2,15,5.6292
2011,2,16,5.173
2011,2,17,5.2771
2011,2,18,5.6023
2011,2,19,5.6954
2011,2,20,4.4724
2011,2,21,5.8116
2011,2,22,5.9537
2011,2,23,6.0221
2011,2,24,6.102
2011,2,25,6.1968
2011,2,26,5.6887
2011,2,27,3.4404
2011,2,28,6.3619
2011,3,1,6.2916
2011,3,2,6.2515
2011,3,3,6.089
2011,3,4,6.0859
2011,3,5,6.3972
2011,3,6,6.0528
2011,3,7,5.6611
2011,3,8,6.215
2011,3,9,6.7238
2011,3,10,6.4334
2011,3,11,6.673
2011,3,12,5.8469
2011,3,13,6.779
2011,3,14,6.8834
2011,3,15,6.8698
2011,3,16,6.9029
2011,3,17,6.9614
2011,3,18,6.9326
2011,3,19,7.1054
2011,3,20,7.1136
2011,3,21,6.8196
2011,3,22,7.2535
2011,3,23,7.315
2011,3,24,7.2907
2011,3,25,7.3346
2011,3,26,7.3855
2011,3,27,7.3651
2011,3,28,7.3949
2011,3,29,7.4443
2011,3,30,7.4342
2011,3,31,7.3908
2011,4,1,7.4722
2011,4,2,7.405
2011,4,3,6.8326
2011,4,4,7.1796
2011,4,5,7.2785
2011,4,6,4.8382
2011,4,7,7.595
2011,4,8,7.5564
2011,4,9,5.7259
2011,4,10,7.8914
2011,4,11,7.9387
2011,4,12,8.0366
2011,4,13,7.7897
2011,4,14,8.1914
2011,4,15,8.1814
2011,4,16,8.1598
2011,4,17,8.0071
2011,4,18,8.0974
2011,4,19,7.296
2011,4,20,8.0676
2011,4,21,8.2154
2011,4,22,8.2094
2011,4,23,7.8924
2011,4,24,8.0537
2011,4,25,8.1062
2011,4,26,8.3604
2011,4,27,8.4662
2011,4,28,8.4696
2011,4,29,8.4823
2011,4,30,8.2932
2011,5,1,8.9062
2011,5,2,8.9052
2011,5,3,8.0885
2011,5,4,5.9496
2011,5,5,8.4982
2011,5,6,8.5793
2011,5,7,8.3489
2011,5,8,8.4799
2011,5,9,8.2891
2011,5,10,8.5704
2011,5,11,8.7614
2011,5,12,8.6978
2011,5,13,8.7115
2011,5,14,8.7132
2011,5,15,8.7194
2011,5,16,8.7418
2011,5,17,8.6266
2011,5,18,8.4442
2011,5,19,7.7779
2011,5,20,8.857
2011,5,21,8.7775
2011,5,22,8.7026
2011,5,23,8.7749
2011,5,24,8.9131
2011,5,25,9.0509
2011,5,26,8.8774
2011,5,27,9.0017
2011,5,28,8.7113
2011,5,29,8.5313
2011,5,30,8.1151
2011,5,31,8.0693
2011,6,1,6.7826
2011,6,2,7.9049
2011,6,3,8.5258
2011,6,4,8.5858
2011,6,5,8.5361
2011,6,6,7.8278
2011,6,7,8.5678
2011,6,8,8.7437
2011,6,9,8.9215
2011,6,10,9.0881
2011,6,11,8.8694
2011,6,12,8.8142
2011,6,13,8.3038
2011,6,14,8.611
2011,6,15,8.664
2011,6,16,8.3683
2011,6,17,8.2121
2011,6,18,8.279
2011,6,19,8.3237
2011,6,20,8.5951
2011,6,21,8.5435
2011,6,22,8.3794
2011,6,23,8.1864
2011,6,24,8.2536
2011,6,25,8.339
2011,6,26,8.3244
2011,6,27,8.2339
2011,6,28,7.9855
2011,6,29,7.9884
2011,6,30,8.0102
2011,7,1,7.4568
2011,7,2,6.6696
2011,7,3,5.3909
2011,7,4,7.325
2011,7,5,7.8792
2011,7,6,8.1005
2011,7,7,7.8216
2011,7,8,7.6898
2011,7,9,7.1813
2011,7,10,7.0171
2011,7,11,4.829
2011,7,12,8.1722
2011,7,13,8.3614
2011,7,14,8.4835
2011,7,15,8.5822
2011,7,16,8.1542
2011,7,17,7.4738
2011,7,18,7.7782
2011,7,19,5.6602
2011,7,20,6.2074
2011,7,21,7.2991
2011,7,22,6.5004
2011,7,23,4.9277
2011,7,24,7.3514
2011,7,25,7.505
2011,7,26,6.9166
2011,7,27,7.7686
2011,7,28,5.8015
2011,7,29,6.9598
2011,7,30,7.5228
2011,7,31,6.7841
2011,8,1,7.7544
2011,8,2,7.4659
2011,8,3,7.7189
2011,8,4,5.2954
2011,8,5,5.7182
2011,8,6,5.4619
2011,8,7,5.0676
2011,8,8,6.7829
2011,8,9,5.3323
2011,8,10,4.1614
2011,8,11,6.6502
2011,8,12,7.1215
2011,8,13,7.3572
2011,8,14,6.175
2011,8,15,4.5439
2011,8,16,7.2418
2011,8,17,7.5367
2011,8,18,6.5158
2011,8,19,7.0699
2011,8,20,7.1856
2011,8,21,7.122
2011,8,22,7.3973
2011,8,23,7.2014
2011,8,24,6.3622
2011,8,25,7.0855
2011,8,26,6.869
2011,8,27,7.037
2011,8,28,7.0193
2011,8,29,7.0776
2011,8,30,6.8117
2011,8,31,6.8141
2011,9,1,5.9551
2011,9,2,6.9254
2011,9,3,6.9338
2011,9,4,6.6274
