-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  17.99   longitude -92.93 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 50.56 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,5.1886
2011,1,2,2.6887
2011,1,3,2.1005
2011,1,4,5.1182
2011,1,5,5.394
2011,1,6,4.2286
2011,1,7,4.3409
2011,1,8,5.2438
2011,1,9,5.3093
2011,1,10,4.8115
2011,1,11,2.6426
2011,1,12,1.6805
2011,1,13,1.4059
2011,1,14,4.5204
2011,1,15,4.6039
2011,1,16,4.9426
2011,1,17,4.5931
2011,1,18,5.5255
2011,1,19,3.1642
2011,1,20,4.9613
2011,1,21,2.8202
2011,1,22,2.0333
2011,1,23,3.7123
2011,1,24,5.2637
2011,1,25,4.883
2011,1,26,1.0992
2011,1,27,1.5487
2011,1,28,3.1874
2011,1,29,4.8012
2011,1,30,5.6062
2011,1,31,5.051
2011,2,1,5.8207
2011,2,2,2.443
2011,2,3,2.1926
2011,2,4,1.8511
2011,2,5,2.7862
2011,2,6,4.8019
2011,2,7,2.8546
2011,2,8,2.1965
2011,2,9,5.8291
2011,2,10,1.5053
2011,2,11,1.6409
2011,2,12,1.5852
2011,2,13,1.7554
2011,2,14,4.2379
2011,2,15,4.4719
2011,2,16,6.299
2011,2,17,6.0626
2011,2,18,5.7278
2011,2,19,5.334
2011,2,20,6.0569
2011,2,21,6.3175
2011,2,22,5.885
2011,2,23,6.0446
2011,2,24,6.3262
2011,2,25,6.3293
2011,2,26,6.031
2011,2,27,6.4087
2011,2,28,6.3665
2011,3,1,3.0307
2011,3,2,4.6512
2011,3,3,5.2234
2011,3,4,6.6768
2011,3,5,6.5863
2011,3,6,3.1997
2011,3,7,5.2526
2011,3,8,6.7663
2011,3,9,6.7596
2011,3,10,3.2863
2011,3,11,1.4851
2011,3,12,5.5507
2011,3,13,6.3958
2011,3,14,6.8206
2011,3,15,5.6707
2011,3,16,5.1564
2011,3,17,5.7319
2011,3,18,6.5897
2011,3,19,6.3595
2011,3,20,5.9006
2011,3,21,6.1207
2011,3,22,7.1899
2011,3,23,7.1208
2011,3,24,6.2105
2011,3,25,6.7565
2011,3,26,6.7891
2011,3,27,6.8678
2011,3,28,6.6413
2011,3,29,6.6029
2011,3,30,6.5083
2011,3,31,6.108
2011,4,1,5.4293
