-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  23.74   longitude -99.14 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1135.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.9666
2011,1,2,2.7919
2011,1,3,4.5494
2011,1,4,4.5295
2011,1,5,4.4618
2011,1,6,4.619
2011,1,7,3.871
2011,1,8,4.152
2011,1,9,5.0443
2011,1,10,5.0914
2011,1,11,2.0318
2011,1,12,2.1734
2011,1,13,2.3062
2011,1,14,3.9422
2011,1,15,3.1891
2011,1,16,3.9086
2011,1,17,5.1578
2011,1,18,5.2886
2011,1,19,5.1814
2011,1,20,5.1475
2011,1,21,5.022
2011,1,22,5.3004
2011,1,23,5.4869
2011,1,24,5.159
2011,1,25,3.8023
2011,1,26,4.6982
2011,1,27,2.9376
2011,1,28,3.2676
2011,1,29,4.2091
2011,1,30,5.2061
2011,1,31,5.005
2011,2,1,4.3471
2011,2,2,2.8488
2011,2,3,2.2788
2011,2,4,4.1201
2011,2,5,4.6135
2011,2,6,5.7737
2011,2,7,6.061
2011,2,8,5.7233
2011,2,9,5.7298
2011,2,10,4.9668
2011,2,11,5.2159
2011,2,12,3.3005
2011,2,13,5.9266
2011,2,14,6.2232
2011,2,15,6.0902
2011,2,16,5.9198
2011,2,17,5.8507
2011,2,18,5.8934
2011,2,19,6.1526
2011,2,20,6.1118
2011,2,21,6.2537
2011,2,22,5.633
2011,2,23,5.863
2011,2,24,5.9664
2011,2,25,4.3222
2011,2,26,5.8032
2011,2,27,6.143
2011,2,28,6.7243
2011,3,1,6.8148
2011,3,2,6.7951
2011,3,3,6.6379
2011,3,4,6.2143
2011,3,5,4.1911
2011,3,6,6.4836
2011,3,7,6.6799
2011,3,8,7.0596
2011,3,9,6.0756
2011,3,10,5.7902
2011,3,11,7.0409
2011,3,12,6.3778
2011,3,13,5.3218
2011,3,14,3.751
2011,3,15,5.3866
2011,3,16,5.9998
2011,3,17,6.2808
2011,3,18,6.2323
2011,3,19,6.0893
2011,3,20,6.3194
2011,3,21,6.9902
2011,3,22,7.2828
2011,3,23,6.8822
2011,3,24,6.8666
2011,3,25,6.7582
2011,3,26,6.1435
2011,3,27,6.312
2011,3,28,5.2819
2011,3,29,5.9621
2011,3,30,4.0822
2011,3,31,6.7385
2011,4,1,6.4164
2011,4,2,5.5567
2011,4,3,5.5927
2011,4,4,6.8194
2011,4,5,7.5293
2011,4,6,6.9161
2011,4,7,6.5978
2011,4,8,6.8995
2011,4,9,6.9062
2011,4,10,7.1342
2011,4,11,7.0807
2011,4,12,7.8139
2011,4,13,7.1484
2011,4,14,5.4715
2011,4,15,5.4374
2011,4,16,6.1015
2011,4,17,6.0384
2011,4,18,7.3066
2011,4,19,6.9922
2011,4,20,5.1324
2011,4,21,6.0067
2011,4,22,5.4989
2011,4,23,5.5078
2011,4,24,6.3768
2011,4,25,7.1568
2011,4,26,8.2598
2011,4,27,7.7959
2011,4,28,7.3711
2011,4,29,6.919
2011,4,30,5.6818
2011,5,1,6.3427
2011,5,2,4.5103
2011,5,3,6.2256
2011,5,4,6.3977
2011,5,5,7.1863
2011,5,6,6.3972
2011,5,7,6.786
2011,5,8,5.4634
2011,5,9,6.1555
2011,5,10,5.9002
2011,5,11,6.269
2011,5,12,6.5479
2011,5,13,5.8807
2011,5,14,4.8514
2011,5,15,3.9545
2011,5,16,4.4033
2011,5,17,6.2897
2011,5,18,6.1678
2011,5,19,8.298
2011,5,20,8.2536
2011,5,21,6.0314
2011,5,22,5.79
2011,5,23,6.7819
2011,5,24,7.0246
2011,5,25,6.6454
2011,5,26,6.0204
2011,5,27,6.6682
2011,5,28,6.9043
2011,5,29,6.487
2011,5,30,7.4791
2011,5,31,7.2326
2011,6,1,6.0427
2011,6,2,8.2123
2011,6,3,7.5518
2011,6,4,6.8153
2011,6,5,6.2314
2011,6,6,8.0722
2011,6,7,7.4729
2011,6,8,7.043
2011,6,9,7.4002
2011,6,10,7.4868
2011,6,11,7.4926
2011,6,12,7.3375
2011,6,13,8.166
2011,6,14,8.2519
2011,6,15,7.7453
2011,6,16,7.8936
2011,6,17,8.0364
2011,6,18,8.0813
2011,6,19,8.3357
2011,6,20,7.6339
2011,6,21,5.321
2011,6,22,3.0682
2011,6,23,4.9421
2011,6,24,4.2905
2011,6,25,5.6772
2011,6,26,5.0527
2011,6,27,7.7714
2011,6,28,5.4473
2011,6,29,4.2278
2011,6,30,2.4048
2011,7,1,2.1418
2011,7,2,3.0602
2011,7,3,4.871
2011,7,4,7.4455
2011,7,5,7.2734
2011,7,6,7.6066
2011,7,7,7.4155
2011,7,8,7.5566
2011,7,9,7.319
2011,7,10,6.3938
2011,7,11,7.0375
2011,7,12,7.5079
2011,7,13,7.1856
2011,7,14,7.0562
2011,7,15,7.7546
2011,7,16,6.8971
2011,7,17,3.5938
2011,7,18,4.6334
2011,7,19,7.4086
2011,7,20,7.0514
2011,7,21,5.2608
2011,7,22,5.8894
2011,7,23,6.7726
2011,7,24,7.0426
2011,7,25,7.17
2011,7,26,7.4359
2011,7,27,7.6106
2011,7,28,7.5398
2011,7,29,5.8082
2011,7,30,6.055
2011,7,31,6.0427
2011,8,1,7.3759
2011,8,2,7.2511
2011,8,3,7.5048
2011,8,4,6.4152
2011,8,5,7.3834
2011,8,6,7.157
2011,8,7,7.205
2011,8,8,6.881
2011,8,9,6.4903
2011,8,10,6.5282
2011,8,11,7.4249
2011,8,12,6.8556
2011,8,13,7.2974
2011,8,14,6.9473
2011,8,15,7.513
2011,8,16,7.6937
2011,8,17,7.6973
2011,8,18,7.7251
2011,8,19,7.6414
2011,8,20,6.9893
2011,8,21,6.7529
2011,8,22,4.6147
2011,8,23,7.1431
2011,8,24,7.1186
2011,8,25,5.1026
2011,8,26,4.9382
2011,8,27,5.4782
2011,8,28,7.4897
2011,8,29,7.4981
2011,8,30,6.8546
2011,8,31,4.6279
2011,9,1,5.3138
2011,9,2,5.9014
2011,9,3,4.0334
2011,9,4,5.3542
2011,9,5,4.5271
2011,9,6,6.1879
2011,9,7,7.6325
2011,9,8,7.4774
2011,9,9,7.3692
2011,9,10,7.3416
2011,9,11,5.6222
2011,9,12,6.641
2011,9,13,6.984
2011,9,14,6.7222
2011,9,15,6.6065
2011,9,16,6.5995
2011,9,17,5.6683
2011,9,18,5.5918
2011,9,19,4.5098
2011,9,20,5.1122
2011,9,21,5.76
2011,9,22,6.1174
2011,9,23,5.8709
2011,9,24,6.0252
2011,9,25,6.4944
2011,9,26,6.7874
2011,9,27,6.054
2011,9,28,6.1498
2011,9,29,5.1967
2011,9,30,4.5235
2011,10,1,4.447
2011,10,2,4.0877
2011,10,3,4.9262
2011,10,4,4.8504
2011,10,5,5.9561
2011,10,6,6.551
2011,10,7,6.0689
2011,10,8,5.1194
2011,10,9,4.5202
2011,10,10,4.2113
2011,10,11,3.5158
2011,10,12,3.5405
2011,10,13,4.5492
2011,10,14,5.3839
2011,10,15,6.1013
2011,10,16,6.3437
2011,10,17,6.4363
2011,10,18,6.1356
2011,10,19,5.8039
2011,10,20,6.4013
2011,10,21,6.228
2011,10,22,6.0458
2011,10,23,5.7262
2011,10,24,6.0595
2011,10,25,6.121
2011,10,26,6.012
2011,10,27,5.941
2011,10,28,5.1883
2011,10,29,5.6671
2011,10,30,5.7192
2011,10,31,5.7382
2011,11,1,5.9794
2011,11,2,5.873
2011,11,3,4.535
2011,11,4,5.0894
2011,11,5,4.9574
2011,11,6,4.3178
2011,11,7,4.4105
2011,11,8,4.757
2011,11,9,1.9814
2011,11,10,1.6409
2011,11,11,4.8331
2011,11,12,5.3465
2011,11,13,5.2826
2011,11,14,3.683
2011,11,15,5.3026
2011,11,16,5.089
2011,11,17,3.0602
2011,11,18,4.9642
2011,11,19,4.5876
2011,11,20,4.9745
2011,11,21,4.758
2011,11,22,4.3349
2011,11,23,5.1077
