-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  19.05   longitude -96.15 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 84.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.2607
2011,1,2,3.7831
2011,1,3,3.0686
2011,1,4,4.6654
2011,1,5,5.0042
2011,1,6,3.9665
2011,1,7,4.8098
2011,1,8,4.6339
2011,1,9,3.7322
2011,1,10,3.5873
2011,1,11,3.2251
2011,1,12,2.1293
2011,1,13,1.8818
2011,1,14,2.2824
2011,1,15,3.6564
2011,1,16,4.0973
2011,1,17,4.95
2011,1,18,4.9649
2011,1,19,4.2866
2011,1,20,4.9538
2011,1,21,1.9214
2011,1,22,2.2042
2011,1,23,5.0054
2011,1,24,4.0394
2011,1,25,3.7116
2011,1,26,1.3349
2011,1,27,2.1377
2011,1,28,1.626
2011,1,29,4.0963
2011,1,30,5.0122
2011,1,31,5.1485
2011,2,1,4.9615
2011,2,2,1.7138
2011,2,3,2.293
2011,2,4,1.5802
2011,2,5,2.3971
2011,2,6,4.6862
2011,2,7,3.8741
2011,2,8,5.2442
2011,2,9,5.106
2011,2,10,1.5775
2011,2,11,3.2542
2011,2,12,2.555
2011,2,13,3.9523
2011,2,14,5.5776
2011,2,15,4.433
2011,2,16,5.7967
2011,2,17,5.3556
2011,2,18,5.6047
2011,2,19,5.5562
2011,2,20,5.1202
2011,2,21,5.735
2011,2,22,5.6292
2011,2,23,5.286
2011,2,24,5.1494
2011,2,25,5.3256
2011,2,26,5.3268
2011,2,27,5.6393
2011,2,28,5.573
2011,3,1,6.3041
2011,3,2,6.6866
2011,3,3,6.39
2011,3,4,6.1176
2011,3,5,5.8332
2011,3,6,3.8959
2011,3,7,6.2789
2011,3,8,6.3809
2011,3,9,6.0782
2011,3,10,4.7364
2011,3,11,6.7039
2011,3,12,6.7627
2011,3,13,6.3401
2011,3,14,5.2375
2011,3,15,5.9347
2011,3,16,6.1133
2011,3,17,5.5882
2011,3,18,4.9447
2011,3,19,5.8848
2011,3,20,6.2242
2011,3,21,6.5047
2011,3,22,6.3761
2011,3,23,6.3211
2011,3,24,4.7335
2011,3,25,6.3989
2011,3,26,6.5309
2011,3,27,6.27
2011,3,28,5.8195
2011,3,29,5.785
2011,3,30,5.3988
2011,3,31,2.4636
