-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  20.97   longitude -89.62 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 11.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,4.6702
2011,1,2,4.1213
2011,1,3,4.4654
2011,1,4,4.9788
2011,1,5,5.1062
2011,1,6,4.337
2011,1,7,5.2229
2011,1,8,5.1818
2011,1,9,4.6903
2011,1,10,3.8189
2011,1,11,3.3694
2011,1,12,1.3342
2011,1,13,3.3058
2011,1,14,3.7469
2011,1,15,4.2689
2011,1,16,3.9773
2011,1,17,4.0658
2011,1,18,4.7402
2011,1,19,4.2674
2011,1,20,4.3452
2011,1,21,3.1848
2011,1,22,3.4894
2011,1,23,5.1389
2011,1,24,4.1942
2011,1,25,4.3464
2011,1,26,3.5947
2011,1,27,2.2985
2011,1,28,5.0357
2011,1,29,5.5147
2011,1,30,5.3126
2011,1,31,5.5586
2011,2,1,5.3954
2011,2,2,4.8458
2011,2,3,4.0819
2011,2,4,4.35
2011,2,5,2.1821
2011,2,6,4.8314
2011,2,7,4.6188
2011,2,8,3.8196
2011,2,9,5.3707
2011,2,10,3.2088
2011,2,11,1.219
2011,2,12,2.2214
2011,2,13,3.2287
2011,2,14,6.097
2011,2,15,6.0396
2011,2,16,6.3365
2011,2,17,6.2882
2011,2,18,5.7113
2011,2,19,6.1337
2011,2,20,5.3134
2011,2,21,5.4595
2011,2,22,5.2236
2011,2,23,5.7439
2011,2,24,6.216
2011,2,25,6.2806
2011,2,26,5.4365
2011,2,27,6.0996
2011,2,28,6.1925
2011,3,1,6.0199
2011,3,2,5.3755
2011,3,3,5.149
2011,3,4,6.0566
2011,3,5,5.6962
2011,3,6,3.3538
2011,3,7,5.4991
2011,3,8,6.1368
2011,3,9,6.432
2011,3,10,3.2683
2011,3,11,6.193
2011,3,12,7.0625
2011,3,13,7.1215
2011,3,14,7.0754
2011,3,15,5.7058
2011,3,16,5.6201
2011,3,17,5.6566
2011,3,18,5.3988
2011,3,19,6.1378
2011,3,20,6.4514
2011,3,21,6.1802
2011,3,22,5.8478
2011,3,23,6.3346
2011,3,24,4.6378
2011,3,25,5.6813
