-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: latitude  22.77   longitude -102.57 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2139.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2011,1,1,5.057
2011,1,2,4.339
2011,1,3,4.3704
2011,1,4,4.9824
2011,1,5,4.8989
2011,1,6,4.9243
2011,1,7,4.0397
2011,1,8,4.9049
2011,1,9,5.5524
2011,1,10,5.58
2011,1,11,5.1773
2011,1,12,5.0926
2011,1,13,5.143
2011,1,14,5.3767
2011,1,15,5.3544
2011,1,16,5.6165
2011,1,17,5.6714
2011,1,18,5.5987
2011,1,19,5.6465
2011,1,20,5.3724
2011,1,21,5.6498
2011,1,22,5.8174
2011,1,23,5.8783
2011,1,24,5.7413
2011,1,25,5.4662
2011,1,26,5.1295
2011,1,27,4.1066
2011,1,28,4.6046
2011,1,29,5.7298
2011,1,30,5.9441
2011,1,31,5.4562
2011,2,1,5.2601
2011,2,2,5.0914
2011,2,3,4.4395
2011,2,4,6.0509
2011,2,5,5.3381
2011,2,6,6.4061
2011,2,7,6.2993
2011,2,8,6.054
2011,2,9,6.2395
2011,2,10,6.1663
2011,2,11,6.348
2011,2,12,6.3163
2011,2,13,6.347
2011,2,14,6.5179
2011,2,15,6.5446
2011,2,16,6.5275
2011,2,17,6.4908
2011,2,18,6.4961
2011,2,19,6.5227
2011,2,20,6.6266
2011,2,21,6.6797
2011,2,22,6.6034
2011,2,23,6.6811
2011,2,24,6.7349
2011,2,25,6.8306
2011,2,26,6.7073
2011,2,27,6.9
2011,2,28,7.0961
2011,3,1,6.9787
2011,3,2,7.061
2011,3,3,7.0325
2011,3,4,7.0534
2011,3,5,7.1278
2011,3,6,6.8237
2011,3,7,7.295
2011,3,8,7.247
2011,3,9,7.4623
2011,3,10,6.9994
2011,3,11,6.5611
2011,3,12,7.081
2011,3,13,6.9922
2011,3,14,6.3881
2011,3,15,6.1562
2011,3,16,5.8694
2011,3,17,6.0055
2011,3,18,6.9902
2011,3,19,7.0558
2011,3,20,7.1558
2011,3,21,7.4052
2011,3,22,7.4472
2011,3,23,7.1945
2011,3,24,7.2211
2011,3,25,7.8336
2011,3,26,7.6051
2011,3,27,7.5703
2011,3,28,8.1094
2011,3,29,6.7548
2011,3,30,5.6417
2011,3,31,7.8358
2011,4,1,6.4142
2011,4,2,7.1268
2011,4,3,7.921
2011,4,4,8.1317
2011,4,5,7.3901
2011,4,6,7.3546
2011,4,7,6.6156
2011,4,8,8.0124
2011,4,9,7.9421
2011,4,10,7.9243
2011,4,11,8.3059
2011,4,12,7.663
2011,4,13,7.5108
2011,4,14,7.0855
2011,4,15,6.3866
2011,4,16,6.2652
2011,4,17,7.4791
2011,4,18,8.3218
2011,4,19,8.2999
2011,4,20,8.5992
2011,4,21,8.1629
2011,4,22,8.1948
2011,4,23,8.4571
2011,4,24,8.3758
2011,4,25,8.3611
2011,4,26,8.6933
2011,4,27,8.7103
2011,4,28,7.5989
2011,4,29,6.4853
2011,4,30,7.7846
2011,5,1,8.3045
2011,5,2,8.0261
2011,5,3,5.723
2011,5,4,6.6761
2011,5,5,7.2053
2011,5,6,6.8974
2011,5,7,7.8586
2011,5,8,5.9215
2011,5,9,7.501
2011,5,10,7.5578
2011,5,11,8.5927
2011,5,12,8.7554
2011,5,13,8.6786
2011,5,14,8.6112
2011,5,15,8.2111
2011,5,16,8.6047
2011,5,17,8.7674
2011,5,18,8.6182
2011,5,19,8.6006
2011,5,20,8.7331
2011,5,21,8.5286
2011,5,22,7.86
2011,5,23,8.5106
2011,5,24,8.7086
2011,5,25,8.5471
2011,5,26,7.7009
2011,5,27,6.7598
2011,5,28,7.4054
2011,5,29,7.0843
2011,5,30,7.2665
2011,5,31,8.4274
2011,6,1,8.5032
2011,6,2,8.6839
2011,6,3,7.8425
2011,6,4,8.1118
2011,6,5,7.2206
2011,6,6,7.6721
2011,6,7,8.1305
2011,6,8,8.2574
2011,6,9,7.3483
2011,6,10,7.1441
2011,6,11,7.5895
2011,6,12,8.3026
2011,6,13,8.0369
2011,6,14,7.9133
2011,6,15,8.2944
2011,6,16,7.9886
2011,6,17,8.2694
2011,6,18,8.7007
2011,6,19,8.5855
2011,6,20,6.5311
2011,6,21,5.5246
2011,6,22,5.6143
2011,6,23,5.9935
2011,6,24,6.8794
2011,6,25,7.2394
2011,6,26,6.8954
2011,6,27,6.2326
2011,6,28,8.0904
2011,6,29,6.0595
2011,6,30,5.1442
2011,7,1,2.6203
2011,7,2,3.5383
2011,7,3,3.5791
2011,7,4,5.3047
2011,7,5,6.4097
2011,7,6,7.4611
2011,7,7,7.4422
2011,7,8,4.0644
2011,7,9,4.3085
2011,7,10,4.6277
2011,7,11,5.3542
2011,7,12,6.8237
2011,7,13,6.5549
2011,7,14,7.1158
2011,7,15,7.2384
2011,7,16,7.8782
2011,7,17,3.4922
2011,7,18,5.9201
2011,7,19,7.3481
2011,7,20,7.3534
2011,7,21,5.4938
2011,7,22,4.6855
2011,7,23,5.6167
2011,7,24,7.255
2011,7,25,7.6944
2011,7,26,6.5026
2011,7,27,5.8392
2011,7,28,7.2648
2011,7,29,6.642
2011,7,30,4.549
2011,7,31,6.2474
2011,8,1,7.3646
2011,8,2,7.3836
2011,8,3,8.005
2011,8,4,5.1955
2011,8,5,7.1446
2011,8,6,6.7442
2011,8,7,7.5422
2011,8,8,5.9254
2011,8,9,6.8657
2011,8,10,7.1009
2011,8,11,6.7128
2011,8,12,7.021
2011,8,13,6.8246
2011,8,14,7.2074
2011,8,15,7.7342
2011,8,16,7.8924
2011,8,17,7.6975
2011,8,18,8.0659
2011,8,19,7.6296
2011,8,20,6.966
2011,8,21,7.6178
2011,8,22,6.311
2011,8,23,5.2418
2011,8,24,7.0783
2011,8,25,6.8498
2011,8,26,5.8298
2011,8,27,5.0198
2011,8,28,5.2802
2011,8,29,7.5706
2011,8,30,7.7954
2011,8,31,5.021
2011,9,1,3.3478
2011,9,2,5.1742
2011,9,3,4.6642
2011,9,4,5.2536
2011,9,5,6.3542
2011,9,6,5.3306
2011,9,7,7.8317
2011,9,8,8.035
2011,9,9,7.7986
2011,9,10,7.613
2011,9,11,7.2338
2011,9,12,5.9256
2011,9,13,7.3555
2011,9,14,7.1374
2011,9,15,6.6022
2011,9,16,6.8357
2011,9,17,5.641
2011,9,18,5.9558
2011,9,19,4.769
2011,9,20,6.3038
2011,9,21,6.649
2011,9,22,6.9269
2011,9,23,6.5858
2011,9,24,5.5805
2011,9,25,6.1111
2011,9,26,6.6859
2011,9,27,6.3326
2011,9,28,4.4138
2011,9,29,5.7533
2011,9,30,5.6297
2011,10,1,5.1982
2011,10,2,5.838
2011,10,3,6.3509
2011,10,4,6.3355
2011,10,5,6.0475
2011,10,6,6.6091
2011,10,7,6.2789
2011,10,8,4.98
2011,10,9,5.1214
2011,10,10,4.0838
2011,10,11,2.6762
2011,10,12,2.064
2011,10,13,3.2892
2011,10,14,5.8649
2011,10,15,6.6996
2011,10,16,6.6665
2011,10,17,6.7517
2011,10,18,6.5362
2011,10,19,6.4378
2011,10,20,6.4505
2011,10,21,6.4294
2011,10,22,5.7732
2011,10,23,6.1747
2011,10,24,6.2753
2011,10,25,6.4639
2011,10,26,6.3619
2011,10,27,6.0617
2011,10,28,5.646
2011,10,29,5.7372
2011,10,30,4.987
2011,10,31,6.0626
2011,11,1,6.12
2011,11,2,5.9316
2011,11,3,6.0293
2011,11,4,5.5044
2011,11,5,5.123
2011,11,6,5.622
2011,11,7,5.275
2011,11,8,5.7252
2011,11,9,5.7785
2011,11,10,5.1307
2011,11,11,5.5334
2011,11,12,5.6813
2011,11,13,5.7305
2011,11,14,5.1847
2011,11,15,5.6998
2011,11,16,5.8099
2011,11,17,4.9428
2011,11,18,5.0316
2011,11,19,4.8446
2011,11,20,5.3071
2011,11,21,4.7258
2011,11,22,5.2272
2011,11,23,4.9975
2011,11,24,5.2901
2011,11,25,5.1895
2011,11,26,3.5808
2011,11,27,3.8954
2011,11,28,5.7775
2011,11,29,5.7684
2011,11,30,5.5015
2011,12,1,5.239
2011,12,2,5.1302
2011,12,3,5.1658
2011,12,4,5.1588
2011,12,5,5.214
2011,12,6,4.993
2011,12,7,4.6843
2011,12,8,5.016
2011,12,9,5.0347
2011,12,10,4.7263
2011,12,11,4.8845
2011,12,12,4.614
2011,12,13,4.873
2011,12,14,5.099
2011,12,15,5.1773
2011,12,16,4.8749
2011,12,17,4.4705
2011,12,18,4.4974
2011,12,19,4.919
2011,12,20,4.885
2011,12,21,4.7395
2011,12,22,4.5826
2011,12,23,4.9265
2011,12,24,5.0542
2011,12,25,5.0616
2011,12,26,4.3915
2011,12,27,4.8365
2011,12,28,5.0376
2011,12,29,4.5098
2011,12,30,4.451
2011,12,31,4.2101
2012,1,1,4.3762
2012,1,2,3.0458
2012,1,3,4.9483
